בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under a Threat of Extinction: Three cheetah cubs were born in Iran	yes
באופן אישי, הייתי מעדיף שהחברה תאפשר לשנות את פעילות החוגה על מנת שאוכל לשלוט בווליום של הסמארטפון, שכן אני יכול לנווט גם באמצעות מסך המגע.	Personally, I would prefer if the company allowed the option to customize the knob's function so that I could control the smartphone's volume, as I can navigate using the touchscreen as well.	no
אולי זה יתאפשר בעדכון גרסה עתידי.	Perhaps this will be possible in a future version update.	no
המכשיר מגיע בקופסת קרטון קטנה ומינימליסטית, הכוללת בין היתר כבל USB Type C ומתאמים שונים להתקנתו.	The device comes in a small and minimalist cardboard box, which includes, among other things, a USB Type-C cable and various adapters for its installation.	no
רבים מכם בטח זוכרים כיצד בעבר היינו נוהגים לנתק את מכשירי הרדיו ולהחביא אותם במגירה אחרי היציאה מהרכב.	Many of you probably remember how we used to unplug our radio devices and hide them in a drawer after getting out of the car.	no
ה-Car Thing ללא ספק מחזיר את ההרגשה הזאת עם צורת הבנייה שלו.	Without a doubt, the Car Thing brings back that feeling with its construction.	no
כלל המתאמים התחברו לגוף המכשיר באמצעות מגנט שהיה חזק מאוד, מה שמנע ממנו ליפול גם בעת נסיעה על כבישי עפר.	All the adapters connected to the device body through a very strong magnet, preventing it from falling even during off-road drives.	no
נוסף על כך, לאורך כל חלקו העליון ניתן למצוא כפתורים קטנים, אותם אפשר להגדיר בקלות להפעלת פלייליסטים שונים או פודקאסטים.	In addition, along its top edge, you can find small buttons that can be easily configured to control different playlists or podcasts.	no
באמצעות לחיצה ארוכה על אחד מהכפתורים בזמן השמיעה, או באמצעות בקשה מהעוזרת הקולית, הגדרתי כמה פלייליסטים שאני שומע באופן תכוף ואת תכנית הרדיו שאני מאזין לה מדי בוקר בדרכים.	By pressing and holding one of the buttons during playback or by requesting through the voice assistant, I set up several playlists that I listen to frequently, as well as my morning radio show that I tune into during my commutes.	no
בכך, הפיצ'ר גרם לי להרגיש שה-Car Thing הוא יותר כמו רדיו לרכב מאשר הרחבה של הסמארטפון שלי.	In this way, the feature made me feel that the Car Thing is more like a car radio rather than an extension of my smartphone.	no
מרכב ישן לרכב חכם	From an Old Car to a Smart Car	no
אחרי התקנה פיזית פשוטה למדי, חיברתי את ה-Car Thing לחשמל.	After a fairly straightforward physical installation, I connected the Car Thing to the power source.	no
הופתעתי לטובה מתהליך ההגדרה.	I was pleasantly surprised by the setup process.	no
ההוראות היו ברורות, החיבור לאפליקציית ספוטיפיי לקח פחות מ-5 דקות, וכמה רגעים לאחר מכן הגעתי למסך הבית.	The instructions were clear, connecting to the Spotify app took less than 5 minutes, and a few moments later, I arrived at the home screen.	no
למעשה, המכשיר מתחבר לסמארטפון דרך בלוטות' ושולט על האפליקציה כמו שלט, ולכן יכול להעתיק ממנה את כל המידע על החשבון שלנו.	In fact, the device connects to the smartphone via Bluetooth and controls the app like a remote control, allowing it to copy all the account information from it.	no
משמע, עדיין תהיו חייבים לחבר את הסמארטפון שלכם לרכב, בין אם דרך בלוטות' או דרך כבל AUX על מנת לשמוע את המוזיקה.	Meaning, you'll still need to connect your smartphone to the car, whether via Bluetooth or through an AUX cable, in order to listen to the music.	no
מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.	The home screen is familiar to all users of the app, as it places emphasis on album artwork and playlists, just like the smartphone application.	no
כמו כן, במסך הבית, כמו זה שבאפליקציה, תוכלו למצוא המלצות למוזיקה בהתאם לטעם שלכם, את מסך החיפוש ואת הספריה האישית שלכם.	Additionally, on the home screen, much like in the app, you can find music recommendations based on your taste, the search screen, and your personal library.	no
כאמור, תוכלו לנווט בין המסכים השונים באמצעות מסך המגע או באמצעות המחוגה הידנית.	As mentioned, you can navigate between different screens using the touchscreen or manually through the physical knob.	no
יתרה מכך, תוכלו בכל רגע נתון לקרוא לעוזרת הקולית של המכשיר באמצעות אמירת "היי ספוטיפיי".	Furthermore, at any given moment, you can summon the device's voice assistant by saying 'Hi Spotify'.	no
באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.	Through it, you can play songs, playlists, albums, and even search for podcasts.	no
מניסוני היא זיהתה די בקלות את הקול שלי גם כשהמוזיקה התנגנה ברקע והמזגן נשף ישירות על המכשיר.	From my experience, she easily recognized my voice even when music was playing in the background and the air conditioning was blowing directly on the device.	no
זאת ככל הנראה הודות לארבעת המיקרופונים שהותקנו בחלקו העליון.	This is most likely due to the four microphones installed on its top part.	no
חשוב לציין שכרגע העוזרת הקולית אינה תומכת בעברית, ונכון לעת פרסום הכתבה, אין מידע על מתי עדכון שכזה יגיע.	It's important to note that currently, the voice assistant does not support Hebrew, and as of the publication of the article, there's no information about when such an update will be available.	no
אז האם שווה לחכות לו?	So, is it worth waiting for?	no
חוויית השימוש שלי במכשיר הייתה נהדרת, וזו הפתעה חיובית בעיניי בהתחשב בכך שהוא עדיין בשלב שחרור ראשוני.	My experience with the device has been great, and it's a positive surprise for me, considering that it's still in the initial release phase.	no
גם בשימוש אינטנסיבי בנסיעות ארוכות, המכשיר המשיך לעבוד בצורה חלקה מבלי להתנתק מהסמארטפון שלי.	Even with intensive use during long trips, the device continued to function smoothly without disconnecting from my smartphone.	no
בכל זאת, מדי פעם נרשם גמגום קטן בממשק, אבל אני מאמין שספוטיפיי תטפל בבאגים שכאלה עם עדכוני גרסה עתידיים.	However, occasionally there was a minor glitch in the interface, but I believe Spotify will address such bugs with future version updates.	no
ניכר שהחברה השבדית עבדה עליו הרבה בשנים האחרונות, ומבין הגרסאות השונות שדלפו באינטרנט בתקופה הזו, העיצוב של המוצר הסופי הוא כנראה האהוב עליי.	It's evident that the Swedish company has put a lot of effort into it in recent years, and among the various leaked versions on the internet during this period, the final product design is probably the one I like the most.	no
עדיין, כשראיתי את ה-Car Thing בפעם הראשונה, תהיתי למי בדיוק החברה מנסה לייעד אותו.	Still, when I saw the Car Thing for the first time, I wondered who exactly the company is targeting with it.	no
הרי פעילותו מסתכמת בשליטה על האפליקציה בסמארטפון, ולא הרבה מעבר לזה.	After all, its activity is mainly limited to controlling the app on the smartphone, and not much beyond that.	no
מה זה שונה מלקנות מעמד לרכב בכמה שקלים ולחבר אותו כך שהסמארטפון יהיה קרוב יותר אלינו בעת נהיגה?	What's different from buying a cheap car mount and attaching it so that the smartphone is closer to us while driving?	no
השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.	The question becomes more relevant when considering that iPhones and Android devices are much more powerful than Spotify's device, and most of the time will provide the users with much more functionality.	no
למרות כל זאת, ככל שהשתמשתי ב-Car Thing יותר ויותר, הבנתי כיצד ביכולתו לשפר את חוויית הנהיגה.	But despite the above, as I used the Car Thing more and more, I realized how it can enhance the driving experience.	no
היכולת לראות את ה-Waze על גבי מסך הסמארטפון שלי ולשלוט במוזיקה על גבי מסך אחר לחלוטין, זו אחת שלמדתי להעריך בשבועיים האחרונים.	Absolutely, the ability to have Waze displayed on my smartphone screen and control the music on a separate screen has become something I've come to appreciate in the past couple of weeks.	no
שאלה אחת נותרה - האם ספוטיפיי בכלל תשיק את המכשיר לקהל הרחב?	One question remains - will Spotify even release the device to the general public?	no
ואם כן, האם הוא יושק גם כאן במדינתנו הקטנה?	And if so, will it also be launched here in our small country?	no
החברה השבדית לא מספרת כרגע הרבה.	The Swedish company is not revealing much at the moment.	no
היא אפילו לא שיתפה כמה נסיינים למכשיר היא מפעילה כרגע ברחבי העולם, וכמה היא מתכננת להוסיף בהשקה המצומצמת בארצות הברית.	The company has not shared much information about the number of testers using the device worldwide or their specific plans for the limited launch in the United States.	no
הדבר היחיד שאנו יודעים בוודאות זה המחיר שצפוי לעמוד על 79 דולרים (כ-255 שקלים).	The only thing we know for certain is the expected price, which is $79 (approximately 255 shekels).	no
לבינתיים, ה-Car Thing מספק הצצה ראשונית לקונספט שספוטיפיי מנסים לפצח כבר שנים.	For now, the Car Thing provides an initial glimpse into the concept that Spotify has been trying to crack for years.	no
מספוטיפיי ישראל נמסר כי אין מידע כרגע על תכנית להשקת המכשיר בארץ	Spotify Israel has stated that there is currently no information available about plans for launching the device in the country.	no
.	.	no
גייסתם טאלנט לחברה?	Did you recruit talent for the company?	yes
ככה תשמרו שהמתחרים לא "יחטפו" לכם אותו.	That's how you'll prevent competitors from "snatching" him/her from you.	yes
המשק עדיין נמצא בשוק עבודה שנשלט ברובו על ידי העובדים, והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר - הטאלנטים •	The job market is still primarily controlled by the workers, and this is true twice as much when it comes to the most sought-after employees - the talents.	yes
להלן כמה עצות שיעזרו לכם לשמור עליו במקום העבודה	Here are a few tips that will help you retain talent in the workplace:	yes
.	.	no
על אף העלייה שנרשמה בחודש האחרון, שיעור האבטלה בישראל ממשיך להיות מהנמוכים בעולם, ובעשירייה הראשונה מבין מדינות ה-OECD, עם שיעור של 3.5% (150.6 אלף מובטלים, על-פי הלמ"ס).	Despite the recent increase, the unemployment rate in Israel continues to remain one of the lowest in the world. Among the top ten countries in the OECD, the unemployment rate stands at 3.5% ( equivalent to 150,600 unemployed individuals, according to the Central Bureau of Statistics).	yes
כלומר, המשק עדיין נמצא בשוק עבודה שנשלט ברובו על-ידי העובדים והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר – הטאלנטים.	Meaning, the job market is still primarily controlled by the workers, and this is true twice as much when it comes to the most sought-after employees - the talents.	yes
בכל הנוגע לאותם אנשי מקצוע ומנהלים המהווים מוקדי ידע, ניסיון ויכולת מוכחים – המגמות בשוק העבודה מלמדות כי התחרות עליהם, הטאלנטים כפי שהם מכונים על-ידי המעסיקים, עדיין קיימת במלוא הכוח.	Regarding those professionals and managers who are hubs of knowledge, experience, and proven ability - labor market trends show that competition for them, the so-called "talents" as labeled by employers, still exists to its full extent.	yes
המשמעות של זה עבור מעסיקים היא שבמצב שוק העבודה הנוכחי אין להם את הלוקסוס של לנוח על זרי הדפנה אפילו דקה לאחר גיוסו של טאלנט נחשק, שכן ברגע שהוא יכנס בשערי החברה – חברה אחרת כבר תנסה לחטוף אותו אליה.	The implication for employers is that in the current labor market situation, they can not afford to rest on their laurels even a moment after recruiting a sought-after talent. Once such a talent enters the company's doors, another company will already be trying to poach them away.	yes
כלומר, התחרות על הטאלנטים כה עזה שרבים שגם לאחר גיוסם הם ימשיכו לקבל שלל הצעות עבודה מפתות, כאשר 30% מהעובדים אכן עוזבים כחודש בלבד מקבלת המשרה ותחילת העבודה.	Exactly, the competition for talent is so intense that even after recruiting, many individuals will continue to receive tempting job offers. In fact, around 30% of employees leave within the first month of receiving a job and starting work.	yes
זו הסיבה שמעסיקים נבונים יעברו באופן מידי משלב גיוס הטאלנט לשלב השימור שלו, כאשר הדרך מתחיל בראש ובראשונה בהיערכות מראש ונקיטת יצירתיות כבר בתהליך הקליטה שלו.	Indeed, that's why savvy employers will transition from the talent acquisition phase to the talent retention phase quite seamlessly. It all begins with proper planning and creativity even during the onboarding process.	no
תהליך קליטה יעיל, מובנה ומתחשב יגרום לטאלנט להתלהב ממקום העבודה החדש שלו כבר מהיום הראשון ואף לצפות לבאות.	An efficient, well-structured onboarding process will cause the talent to becomes excited about their new role from day one and can even envision a future with the company.	no
להלן מספר עצות כיצד להיערך ולנהל תהליך קליטה נכון שיסייע בשימורו של הטאלנט החדש:	Here are a few tips on how to prepare for and manage an effective onboarding process that will help preserve the new talent:	no
זה לא סוד - שיתוף ומוכנות הארגון |	It's not a secret - organization's sharing and readiness.	no
שתפו את הגורמים שיעבדו איתו על גיוסו, הסבירו להם מדוע הוא חיוני וחשוב לחברה ולתפקיד, וכיצד אתם רואים את תרומתו.	Engage the stakeholders who will work with him on his recruitment, explain to them why he is crucial and important to the company and the role, and describe how you envision his contribution.	no
עובד חדש שמגיע למקום בו מצפים לו ומבינים את ערכו, ירגיש רצוי וישאף להוכיח את הציפיות שתולים בן.	A new employee who arrives at a place where he is expected and his value is understood will feel welcome and will aspire to meet the expectations placed upon him.	no
ידע הוא כוח - תיאום ציפיות |	Knowledge is power - aligning expectations.	no
כבר ביום הראשון ערכו עם הטאלנט שיחת תיאום ציפיות.	Already on the first day, arrange a conversation to align expectations with the talent.	no
הכירו את הרקע המקצועי שלו ובדקו איפה הוא רואה את עצמו בעתיד, כדי שתוכלו להציג לו את הכלים המגוונים והייחודיים שאתם ומקום העבודה יכולים לספק לו כדי להגיע לשם.	Get to know his professional background and explore where he envisions himself in the future, so you can present to him the diverse and unique tools that you and the workplace can offer him in order to reach that point.	no
כולנו אנשים – הכרות אישית |	We are all people - personal acquaintance.	no
במהלך ימי הקליטה נסו להכיר את הטאלנט מעבר לתכונותיו המקצועיות והתעניינו בתחביבים ובתחומי העניין שלו.	During the onboarding days, try to get to know the talent beyond their professional attributes and take an interest in their hobbies and areas of interest.	no
עובד חדש שמגלים בו עניין ומאפשרים לו לממש ולבטא את עצמו מעבר לגבולות תפקידו יעריך זאת וירצה לשמור על כך.	A new employee who feels that they are interested in him at his place of work and is allowed to express themselves beyond the boundaries of their role will appreciate this and will want to maintain it.	no
הסקרנות מקדמת |	Curiosity promotes advancement.	no
כבר בשלב הקליטה אתם יכולים ליצור אטרקטיביות שתגרום לטאלנט לרצות להשתלב מהר.	Already during the onboarding stage, you can create attractiveness that will make the talent eager to integrate quickly.	no
עשו זאת לאו דווקא על-ידי שיח של בונוסים והטבות, אלא על-ידי חשיפתו לתחום מלהיב או לטכנולוגיה מעניינת, שכן גירויים מסוג זה ליצירתיות מובילים לסקרנות ולעניין גובר במקום העבודה.	Do this not necessarily through discussions about bonuses and perks, but by exposing the talent to an exciting field or interesting technology, as such stimuli for creativity lead to curiosity and a growing interest in the workplace.	no
כמו כן, עודדו את הטאלנט להשמיע את מחשבותיו ודעותיו לפרויקטים השונים בחברה והבהירו לו שהן חשובות לארגון.	Furthermore, encourage the talent to voice their thoughts and opinions on various projects within the company, and make it clear to them that these contributions are valuable to the organization.	no
הכותבת הינה מנכ"לית Manpower ישראל – חברת ההשמה וכוח האדם הגדולה בישראל	The writer is the CEO of Manpower Israel – the largest staffing and human resources company in Israel.	no
חשמול בכיס: עלות אי־סגירת התחנות הפחמיות ביוני - מיליארד שקלים	Electricity and Economy: The cost of not closing the coal-fired power stations in June - one billion shekels.	yes
דו"ח של מרכז המחקר והמידע של הכנסת: אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד  שקלים	Report from the Research and Information Center of the Knesset: The failure to close the coal-fired power stations by the scheduled date in June 2022 is estimated at around one billion shekels.	yes
• חברת החשמל: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה"	• Electricity Company: "The policy regarding fuel usage is primarily formulated by the Ministry of Energy.	yes
.	.	no
העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו"ח של מרכז המחקר והמידע של הכנסת.	The economic cost due to the failure to close the coal-fired power stations by the scheduled date in June 2022 is estimated at around one billion shekels for the year 2022, as revealed by a report from the Research and Information Center of the Knesset.	yes
לפי הדו"ח, עלות זו מגולמת בתעריף החשמל לצרכן, שכאמור צפוי לעלות בחודשים הקרובים בגלל התייקרות הפחם.	According to the report, this cost is reflected in the electricity tariff for the consumer, which is expected to rise in the coming months due to the increase in coal prices.	yes
נוסף על כך, ב־2023 צפויה כמות עודפת נוספת של שימוש בפחם של כ־900 אלף טונות, כך שהדבר יתבטא בעלות נוספת למשק החשמל בגין אי־סגירת התחנות הפחמיות, בהנחה שמחיר הגז הטבעי יישאר נמוך משמעותית ביחס למחיר הפחם.	In addition, in 2023, an additional surplus of about 900,000 tons of coal usage is expected. This will result in further costs for the electricity sector due to the failure to close the coal-fired power stations, assuming that the natural gas price remains significantly lower than the coal price.	yes
בדו"ח נכתב כי המשמעות של הפחתת כמיליארד שקלים בתעריף החשמל ב־2022 היתה הפחתה של כ־4% בתעריף צריכת החשמל לצרכן הביתי.	The report states that the implication of reducing one billion shekels from the electricity tariff in 2022 resulted in a decrease of approximately 4% in the electricity consumption tariff for household consumers.	yes
כלומר, העלות הכלכלית של אי־סגירת התחנות היא כמיליארד שקלים, וסך ההוזלה שהיתה יכולה להיות לצרכן הביתי היא כ־4%.	In other words, the economic cost of not closing the power stations is about one billion shekels, and the potential reduction that could have been for household consumers is around 4%.	yes
יש לציין כי במסגרת הרפורמה במשק החשמל הוחלט בין היתר על הקמת חברה־בת של חברת החשמל, אשר תקים יחידות המופעלות בגז טבעי, שנועדו להחליף את היחידות הפחמיות 4-1 באתר אורות רבין.	It should be noted that as part of the reform in the electricity sector, it was decided, among other things, to establish a subsidiary company of the electricity company. This subsidiary will establish natural gas-operated units intended to replace the coal-fired units 1-4 at the Orot Rabin site.	yes
בהמשך להחלטה זו התקבלה החלטת ממשלה ביולי 2018, הקובעת כי יש להפסיק את פעילותן של יחידות הייצור הפחמיות 4-1 בתחנת הכוח אורות רבין.	Following this decision, a government resolution was adopted in July 2018, stipulating the cessation of operation of the coal-fired generation units 1-4 at the Orot Rabin power station.	no
בהחלטה נקבעו לוחות זמנים, כך שהקמת היחידה הראשונה בגז טבעי תחל בינואר 2020 והפעלתה תחל ביוני 2022, ובהתאם לכך גם יחידות הייצור הפחמיות 4-1 יפסיקו לפעול במועד זה.	The decision included timelines, so that the establishment of the first natural gas unit was set to begin in January 2020 and its operation was scheduled to commence in June 2022. Accordingly, the coal-fired generation units 1-4 will also cease operating at this time.	no
מחברת החשמל נמסר בתגובה: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה.	In response, the Electricity Company stated: 'The policy regarding fuel usage is primarily formulated by the Ministry of Energy.	no
בהתאם להחלטות המשרד, מיושמת בישראל זה כמה שנים מדיניות של צמצום השימוש בפחם למינימום האפשרי גם כאשר מחיר הפחם נמוך ממחיר הגז".	In accordance with the ministry's decisions, Israel has been implementing a policy of minimizing coal usage for several years, even when the coal price is lower than the gas price.	no
משלמים את המחיר: כל מה שצריך לדעת לקראת עליית הריבית	Paying the price. Everything you need to know before the interest rate increase.	yes
גזירות ללא הרף: בשבוע הבא הריבית על השקל צפויה לעלות בחצי אחוז •	Decrees without bounds Next week, the interest rate on the shekel is expected to rise by half a percent.	yes
בכמה יתייקר התשלום על המשכנתא?	By how much will the mortgage payment increase?	yes
ומה מומלץ לעשות? •	And what is recommended to do?	yes
כל התשובות	All the answers.	yes
האינפלציה המחריפה בישראל, שכבר הגיעה לקצב של יותר מ־4% בשנה האחרונה, תאלץ את בנק ישראל להעלות את הריבית על השקל כבר בשבוע הבא.	The intensifying inflation in Israel, which has already reached a rate of over 4% in the past year, will compel the Bank of Israel to raise the interest rate on the shekel as early as next week.	yes
הערכות האנליסטים מדברות על שיעור העלאה שנע בין 0.25% ל־0.5%.	Analysts' estimates suggest an increase rate ranging from 0.25% to 0.5%.	yes
אם אכן תעלה הריבית בשיעור של חצי אחוז, היא תעמוד כבר על 1.25%, הרמה הגבוהה זה תשע שנים.	If indeed the interest rate increases by half a percent, it will stand at 1.25%, the highest level in nine years.	yes
זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.	This comes after years during which the interest rate in the economy was close to zero.	yes
