Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewalttätigem Protest vor britischem Flüchtlingshotel	yes
Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online	Vier Teenager in Angriff auf 14-Jährige, die an Selbstmord starb, nachdem Video wurde online veröffentlicht angeklagt	yes
Dad says daughter took her own life after being bullied at NJ school	Dad sagt Tochter nahm sich das Leben, nachdem sie in NJ Schule gemobbt wurde	yes
Four New Jersey teenagers have been charged in connection with the attack of a 14-year-old girl who later took her own life after video of the incident was posted on social media. One juvenile is charged with aggravated assault, two juveniles are charged with conspiracy to commit aggravated assault and one juvenile is charged with harassment, Ocean County prosecutor Bradley D. Billhimer told CBS News in an email.	Vier Teenager aus New Jersey wurden im Zusammenhang mit dem Angriff auf ein 14-jähriges Mädchen angeklagt, das sich später das Leben nahm, nachdem ein Video des Vorfalls in sozialen Medien veröffentlicht wurde. Ein Jugendlicher wird wegen schwerer Körperverletzung angeklagt, zwei Jugendliche werden wegen Verschwörung zu schwerer Körperverletzung angeklagt und ein Jugendlicher wird wegen Belästigung angeklagt, sagte der Staatsanwalt von Ocean County Bradley D. Billhimer in einer E-Mail gegenüber CBS News.	yes
Adriana Kuch, 14, was found dead in her Bayville home on February 3, two days after the disturbing video of the attack at Central Regional High School was posted online. The video showed girls throwing a drink at the teen, then kicking and dragging her down school hallways. They pushed Adriana into red lockers lining the school hallways and one of the girls in a pink shirt punched Kuch repeatedly.	Adriana Kuch, 14, wurde am 3. Februar tot in ihrem Haus in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs auf die Central Regional High School online gestellt wurde. Das Video zeigt Mädchen, die den Teenager mit einem Getränk bewarfen, sie dann traten und die Schulflure hinunter zerrten. Sie stießen Adriana in rote Spinde, die die Schulflure säumten, und eines der Mädchen in einem rosa Hemd schlug Kuch wiederholt.	yes
Another girl outside of the video frame laughed as she recorded the scene. Two adults came in to break up the attack, with one adult pulling the teens apart. Adriana lay hurt and bruised on the hallway floor as the adult tried to help her up.	Ein anderes Mädchen außerhalb des Videorahmens lachte, als sie die Szene aufnahm. Zwei Erwachsene kamen herein, um den Angriff abzubrechen, wobei ein Erwachsener die Teenager auseinanderzog. Adriana lag verletzt und mit Blutergüssen auf dem Flurboden, als der Erwachsene versuchte, ihr aufzustehen.	yes
One of the girls said, "That's what you get." "She loved life. She was the happiest kid. Everybody loved her," her father, Michael Kuch, told CBS New York on Thursday, adding that he's angry and wants everyone to see the video and what the teens did to his daughter.	Eines der Mädchen sagte: „Das ist es, was man bekommt.“ „Sie liebte das Leben. Sie war das glücklichste Kind. Jeder liebte sie,“ sagte ihr Vater, Michael Kuch, am Donnerstag gegenüber CBS New York und fügte hinzu, er sei wütend und wolle, dass jeder das Video sieht und was die Teenager seiner Tochter antaten.	no
Kuch said police should have been called immediately because the students, who he said his daughter had been having problems with, smashed her face with a 20-ounce bottle. "If they called the police and did an investigation, those girls would not have posted videos from school," Kuch said. He also said his daughter, who had bruises on her body, should've been taken to the hospital. "We always address every issue of bullying and on the day of the incident four students were suspended," Dr. Triantafillos Parlapanides, superintendent of schools, told CBS New York.	Kuch sagte, die Polizei hätte sofort gerufen werden müssen, weil die Schüler, mit denen seine Tochter Probleme hatte, ihr mit einer 20-Unzen-Flasche das Gesicht zertrümmerten. „Wenn sie die Polizei gerufen und eine Untersuchung durchgeführt hätten, hätten diese Mädchen keine Videos aus der Schule gepostet“, sagte Kuch. Er sagte auch, seine Tochter, die blaue Flecken am Körper hatte, hätte ins Krankenhaus gebracht werden sollen. „Wir sprechen immer jedes Problem von Mobbing an und am Tag des Vorfalls wurden vier Schüler suspendiert“, sagte Dr. Triantafillos Parlapanides, Leiter der Schulen, gegenüber CBS New York.	no
School officials told CBS New York that they notified the family and called Adriana's death horrible. Each teenager and their guardian was served with a copy of their complaint and were released pending future court appearances, the prosecutor told CBS News. Students at the school staged a walkout Wednesday in support of Adriana's family. If you or someone you know is in emotional distress or a suicidal crisis, you can reach the 988 Suicide & Crisis Lifeline by calling or texting 988. You can also chat with the 988 Suicide & Crisis Lifeline here. For more information about mental health care resources and support, The National Alliance on Mental Illness (NAMI) HelpLine can be reached Monday through Friday, 10 a.m.-10 p.m. ET, at 1-800-950-NAMI (6264) or email info@nami.org.	Schulbeamte sagten gegenüber CBS New York, dass sie die Familie benachrichtigt und Adrianas Tod als schrecklich bezeichnet hätten. Jedem Teenager und ihrem Vormund wurde eine Kopie ihrer Anzeige zugestellt und bis zu zukünftigen Gerichtsverhandlungen freigelassen, sagte der Staatsanwalt gegenüber CBS News. Schüler der Schule veranstalteten am Mittwoch einen Ausfall, um Adrianas Familie zu unterstützen. Wenn du oder jemand, den du kennst, sich in einer seelischen Notlage oder in einer Selbstmordkrise befindet, kannst du die 988 Suicide & Crisis Lebenslinie erreichen, indem du 988 anrufst oder eine SMS schreibst. Für weitere Informationen über psychische Gesundheitsversorgung und Unterstützung ist die Helpline der National Alliance on Mental Illness (NAMI) von Montag bis Freitag, 10.00-22.00 Uhr ET, unter 1-800-950-NAMI (6264) oder per E-Mail an info@nami.org zu erreichen.	no
I talked to 30 health, wellness professionals about avoiding burnout	Ich habe mit 30 Gesundheits- und Wellnessfachleuten über die Vermeidung von Burnout gesprochen.	yes
In our day-to-day lives, we're constantly looking for ways to increase our energy and avoid burnout, especially in our jobs. This can be extremely difficult for those in the healthcare industry, which is why I asked 30 health and wellness professionals the same question: "How do you manage your energy and not burn out in your profession?" Their careers range from infectious disease doctors to psychologists to mindfulness teachers - and they all had great advice to give on how to stay motivated and keep the ball rolling. Despite the large differences in their roles, there were several themes within their responses that stood out as ways to prevent burnout.	In unserem täglichen Leben suchen wir ständig nach Möglichkeiten, unsere Energie zu erhöhen und Burnout zu vermeiden, besonders am Arbeitsplatz. Das kann für die Gesundheitsbranche extrem schwierig sein. Deshalb habe ich 30 Gesundheits- und Wellness-Experten dieselbe Frage gestellt: „Wie steuern Sie Ihre Energie, ohne in Ihrem Beruf auszubrennen?“ Ihre Laufbahnen reichen von Ärzten für Infektionskrankheiten über Psychologen bis hin zu Achtsamkeitslehrern - und sie alle hatten großartige Ratschläge, wie man motiviert bleibt und den Ball am Laufen hält. Trotz der großen Unterschiede in ihren Rollen gab es mehrere Themen, die sich als Mittel zur Verhinderung von Burnout herausstellten.	yes
Here are the top four approaches that they use.	Hier sind die vier wichtigsten Ansätze, die sie verwenden.	yes
1.Build a strong community: As someone who works with patients who have terminal illnesses, Eufrosina Young thanks her strong support system for her ability to maintain her energy. Young is a board-certified neurologist and ALS specialist at the Upstate University Hospital's department of neurology, and says they "mobilize like an army of people" there. There isn't a cure for amyotrophic lateral sclerosis (ALS), but knowing that she isn't the only one putting in the hard work to develop treatments and provide better options for her patients, keeps Young going even on her hardest days. "We're not carrying the weight of the world, but being part of a world of people that are advocating for this work," she says.	1.Eine starke Gemeinschaft aufbauen: Als jemand, der mit unheilbar kranken Patienten arbeitet, dankt Eufrosina Young ihrem starken Unterstützungssystem für ihre Fähigkeit, ihre Energie aufrechtzuerhalten. Young ist zertifizierte Neurologin und ALS-Spezialistin an der Abteilung für Neurologie der Universitätsklinik von Upstate und sagt, dass sie dort „wie eine Armee von Menschen mobilisieren“. Für Amyotrophe Lateralsklerose (ALS) gibt es kein Heilmittel, aber das Wissen, dass sie nicht die Einzige ist, die hart daran arbeitet, Behandlungen zu entwickeln und ihren Patienten bessere Optionen zu bieten, hält Young auch an ihren schwierigsten Tagen am Leben. „Wir tragen nicht die Last der Welt, sondern sind Teil einer Welt von Menschen, die sich für diese Arbeit einsetzen“, sagt sie.	yes
2.Rest when you need to: Working two jobs as a sleep researcher and an algorithm engineer, all while taking care of a new baby, would have definitely led Raphael Vallat to burnout if he didn't rest, he says. "I feel like when I'm about to burn out, basically every task feels like a mountain that you need to climb, and feels super urgent and important," says Vallat. In those moments, "you really need to take some time off and realize that these tasks can wait." Typically, Vallat finds moments in his day where he can pause and spend time in nature to ground himself before returning to work.	2.Ruhen Sie sich aus, wenn Sie müssen: Zwei Jobs als Schlafforscher und Algorithmeningenieur zu arbeiten und sich gleichzeitig um ein neues Baby zu kümmern, hätte Raphael Vallat definitiv zum Burnout geführt, wenn er sich nicht ausruhen würde, sagt er. „Ich habe das Gefühl, wenn ich kurz davor bin, auszubrennen, fühlt sich jede Aufgabe wie ein Berg an, den man erklimmen muss, und fühlt sich super dringlich und wichtig an“, sagt Vallat. In solchen Momenten „muss man sich wirklich eine Auszeit nehmen und erkennen, dass diese Aufgaben warten können.“ Normalerweise findet Vallat an seinem Tag Momente, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er wieder arbeiten geht.	no
3.Be passionate about what you're doing and remember your purpose: Up until spring of 2022, infectious disease specialist Céline Gounder worked 100 hours a week for seven days a week. Being on the frontlines during the pandemic ate up almost all of her time, but she avoided burnout by reminding herself about why her work is important. "I don't think work feels like work when you feel like you're having an impact," says Gounder. "If you're working crazy hours doing something that has no meaning to you, I think you really do need to step back and question what you're doing."	3.Sei leidenschaftlich bei dem, was du tust, und erinnere dich an deinen Zweck: Bis zum Frühjahr 2022 arbeitete Céline Gounder, Spezialistin für Infektionskrankheiten, 100 Stunden die Woche an sieben Tagen in der Woche. Während der Pandemie an vorderster Front zu stehen, hat sie fast ihre gesamte Zeit in Anspruch genommen, aber sie vermied Burnout, indem sie sich daran erinnerte, warum ihre Arbeit so wichtig ist. „Ich glaube nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man das Gefühl hat, etwas zu bewirken“, sagt Gounder. „Wenn man verrückte Stunden für etwas arbeitet, das für einen keinen Sinn hat, dann sollte man wirklich einen Schritt zurücktreten und hinterfragen, was man tut.“	no
4.Have other joys: Across the board, each of the experts said they engage in some hobby like exercise, dancing and even playing the guitar. It's extremely important to have a life you enjoy that exceeds what you accomplish in your job, says Christina Maslach, social psychologist, retired professor of psychology at U.C. Berkeley and author of "The Burnout Challenge: Managing People's Relationships with Their Jobs." "Look at your life as a whole, and make sure there's good things about it, and make sure you have time for them."	4.Have andere Freuden: Auf der ganzen Linie sagte jeder der Experten, dass sie sich in irgendeinem Hobby wie Bewegung, Tanzen und sogar Gitarre spielen engagieren. Es ist extrem wichtig, ein Leben zu führen, das über das hinausgeht, was man in seinem Job erreicht, sagt Christina Maslach, Sozialpsychologin, Professorin für Psychologie im Ruhestand an der U.C. Berkeley und Autorin von „The Burnout Challenge: Managing People's Relationships with Their Jobs“. „Schauen Sie sich Ihr Leben als Ganzes an, und stellen Sie sicher, dass es gute Dinge gibt, und stellen Sie sicher, dass Sie Zeit dafür haben.“	no
Juvenile charged with murder in December Chicago school shooting that left 2 dead	Jugendlicher wegen Mordes im Dezember angeklagt Chicago Schule Schießerei mit 2 Toten	yes
A 16-year-old boy has been charged with murder in the fatal shooting of two students at a Chicago high school in December, police announced Friday. The suspect is charged with two counts of felony first-degree murder and two counts of felony attempted murder, Chicago Police superintendent David Brown announced. "We currently don't have a clear motive for why a 16 year old would want to shoot and kill other kids," Brown said. The suspect's name was not released Friday due to his age, although Brown said he would face the murder and attempted murder charges as an adult.	Ein 16-jähriger Junge ist wegen Mordes bei den tödlichen Schüssen auf zwei Schüler an einer Chicagoer Highschool im Dezember angeklagt worden, wie die Polizei am Freitag mitteilte. Der Verdächtige wird wegen zwei Fällen Mordes ersten Grades und zwei Fällen versuchten Mordes angeklagt, teilte der Polizeipräsident von Chicago, David Brown, mit. „Wir haben derzeit kein klares Motiv, warum ein 16-Jähriger andere Kinder erschießen und töten wollen würde“, sagte Brown. Der Name des Verdächtigen wurde am Freitag aufgrund seines Alters nicht veröffentlicht, obwohl Brown sagte, dass er sich des Mordes und des versuchten Mordes als Erwachsener stellen würde.	yes
Four teenagers were shot December 16 at Benito Juarez High School. The victims who died were both boys, aged 14 and 15, police announced at the time. Investigators say tips from the public helped lead them to the suspect, who was arrested Thursday. "We are grateful for those who have been brave enough to come forward to ensure that the offender is caught and will now be held accountable," said Cook County State's Attorney Kim Foxx. The suspect is expected to appear in Bond Court Saturday, Brown said, where more details about the evidence they have collected will be presented.	Vier Teenager wurden am 16. Dezember in der Benito Juarez High School erschossen. Die Todesopfer waren beide Jungen im Alter von 14 und 15 Jahren, wie die Polizei damals mitteilte. Die Ermittler sagen, dass Hinweise aus der Öffentlichkeit dazu beigetragen haben, sie zu dem Verdächtigen zu führen, der am Donnerstag verhaftet wurde. „Wir sind dankbar für diejenigen, die den Mut hatten, sich zu melden, um sicherzustellen, dass der Täter gefasst wird und nun zur Rechenschaft gezogen wird“, sagte Kim Foxx, Staatsanwalt des Bundesstaates Cook County. Der Verdächtige wird voraussichtlich am Samstag vor dem Bond Court erscheinen, sagte Brown, wo weitere Einzelheiten über die Beweise, die sie gesammelt haben, vorgestellt werden.	yes
Minnesota biologists rescue trapped black bear	Minnesota Biologen retten gefangenen Schwarzbären	yes
The Minnesota Department of Natural Resources came to the rescue of a bear-y unlucky bear after it became trapped in a ditch. The bear had hunkered down in a culvert alongside the road near Wannaska, Minnesota, according to a Facebook post from the department. But when the snow began to melt, the culvert started to flood, trapping the bear in deep snow and ice, according to the department. Staff from the department quickly responded to the scene and helped remove the bear. The department's bear biologist, Andrew Tri, "examined the bear and pronounced him healthy but groggy - obviously, because he'd been woken up from his winter sleep," according to the Facebook post. The department then relocated the bear to a state sanctuary to resume his hibernation. The sleepy carnivore was estimated to be 6 years old and between 375 and 400 pounds.	Das Minnesota Department of Natural Resources kam zur Rettung eines Bären-y Pechbären, nachdem er in einem Graben gefangen wurde. Der Bär hatte sich in einem Durchlass neben der Straße in der Nähe von Wannaska, Minnesota, versteckt, laut einem Facebook-Post des Departments. Doch als der Schnee zu schmelzen begann, begann das Dickicht zu überfluten und den Bären in tiefem Schnee und Eis gefangen zu haben, so die Abteilung. Mitarbeiter der Abteilung reagierten schnell auf die Szene und halfen, den Bären zu entfernen. Der Bärenbiologe der Abteilung, Andrew Tri, „untersuchte den Bären und erklärte ihn für gesund, aber groggy - offensichtlich, weil er aus seinem Winterschlaf geweckt worden war“, so der Facebook-Post. Die Abteilung brachte den Bären dann in ein staatliches Schutzgebiet, um seinen Winterschlaf wieder aufzunehmen. Der schläfrige Fleischfresser wurde auf 6 Jahre und zwischen 375 und 400 Pfund geschätzt.	yes
The department reminded residents that moving bears is a job best left to the professionals. If you're worried about a bear in your neighborhood, you should contact local authorities - not try to move or feed the sleeping giant. In this case, bystanders first tried to dig out the bear by themselves and offered him food, including Pop-Tarts, lettuce and Fancy Feast cat food. But, luckily for the well-intentioned diggers, "because bears don't have the desire to eat in the winter, the bear didn't bite." Minnesota is home to between 12,000 and 15,000 black bears, found mainly in the northern third of the state, according to the Department of Natural Resources. The predators hibernate for as long as six or seven months in the winter, during which time they do not eat and live off of their stored body fat.	Die Behörde erinnerte die Anwohner daran, dass der Umzug von Bären am besten den Profis überlassen werden sollte. Wenn Sie sich Sorgen um einen Bären in Ihrer Nachbarschaft machen, sollten Sie sich an die örtlichen Behörden wenden - nicht versuchen, den schlafenden Riesen umzuziehen oder zu füttern. In diesem Fall versuchten Umstehende zuerst, den Bären selbst auszugraben und boten ihm Futter an, darunter Pop-Tarts, Salat und Fancy Feast Katzenfutter. Aber zum Glück für die wohlmeinenden Bagger: „Weil Bären im Winter keine Lust auf Fressen haben, hat der Bär nicht gebissen.“ Minnesota ist die Heimat von 12.000 bis 15.000 Schwarzbären, die nach Angaben des Ministeriums für natürliche Ressourcen vor allem im nördlichen Drittel des Bundesstaates zu finden sind. Die Raubtiere halten im Winter sechs bis sieben Monate lang Winterschlaf, während dieser Zeit fressen sie nicht und leben von ihrem gespeicherten Körperfett.	yes
Photos: Following restorations, Egypt inaugurates the Djehuty and Hery tombs	Fotos: Ägypten weiht nach Restaurierungen die Gräber Djehuty und Hery ein	yes
The tombs of Djehuty and Hery have been inaugurated on Thursday following the completion of restoration work. The inauguration was conducted by the Secretary General of the Supreme Council of Antiquities in Egypt Mostafa Waziri, Ambassador of Span to Egypt Alvaro Iranzo, and the President of the Spanish National Research Council (CSIC), Eloísa del Pino. Waziri explained that the two tombs were discovered through the joint Egyptian-Spanish archaeological mission from the Supreme Council of Antiquities and CSIC, working since 2002. He said that the mission carried out excavation and restoration work and published research related to the tombs, which are located in the Dra Abu al-Naga area on the west bank of Luxor. They succeeded in uncovering many tombs, coffins, mummies and a funerary garden.	Die Gräber von Djehuty und Hery wurden am Donnerstag nach Abschluss der Restaurierungsarbeiten eingeweiht. Die Einweihung erfolgte durch den Generalsekretär des Obersten Rates der Altertümer in Ägypten Mostafa Waziri, den Botschafter Spaniens in Ägypten Alvaro Iranzo und die Präsidentin des Spanischen Nationalen Forschungsrates (CSIC), Eloísa del Pino. Waziri erklärte, dass die beiden Gräber durch die gemeinsame ägyptisch-spanische archäologische Mission des Obersten Rates der Altertümer und des CSIC entdeckt wurden, die seit 2002 arbeitet. Die Mission führte Ausgrabungs- und Restaurierungsarbeiten durch und veröffentlichte Forschungsarbeiten zu den Gräbern, die sich im Gebiet Dra Abu al-Naga am Westufer von Luxor befinden. Es gelang ihnen, zahlreiche Gräber, Särge, Mumien und einen Grabgarten freizulegen.	yes
Important tombs from an important era	Wichtige Gräber aus einer bedeutenden Epoche	yes
