בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under the threat of extinction: three cheetah cubs were born in Iran	yes
את הברדלסים ניתן למצוא במקומות שונים על פני הגלובוס, מהודו ועד סנגל שבמערב אפריקה.	Cheetahs can be found in various places across the globe, from India to Senegal in West Africa.	no
ספוטיפיי רוצה לשדרג לכם את הרכב: בדקנו את ה-Car Thing	Spotify wants to upgrade your car: we tested the Car Thing	yes
בשקט בשקט, ספוטיפיי החלה לנסות את מזלה גם בעולם החומרה •	Quietly, Spotify began trying to enter the hardware world as well •	yes
אחרי שנים של פיתוח - Car Thing נחשף והושק כניסוי קטן בארה"ב •	After years of development—Car Thing was revealed and launched as a small experiment in the USA •	yes
שמנו יד על המכשיר הראשון בישראל •	We got a hold on the first device in Israel •	yes
החזון: להפוך את הרכבים הישנים שלכם לחכמים	The vision: to make your old vehicles smart	yes
ה-Car Thing הוא מוצר החומרה הראשון של ספוטיפיי, ונבנה במיוחד על מנת לספק פתרון לאנשים בעלי רכבים ישנים.	The Car Thing is Spotify’s first hardware product, and was built specifically to provide a solution for people with old cars.	yes
לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה"ב, כאן בישראל.	A few weeks ago, I got an preliminary opportunity to try out the new product here in Israel, which is currently only available to individual testers in the US.	yes
עבורי, הטיימינג של המשלוח היה יוצא מן הכלל, שכן הרכב הביתי שלנו התקלקל ונאלצנו לנהוג במשך כמה ימים עם רכב חליפי בעל מערכת ישנה.	For me, the timing of the delivery was incredible, as our home vehicle broke down and we had to drive for several days with a replacement vehicle equipped with an old system.	yes
אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.	After two weeks of trying it, I came to understand how Car Thing could easily become an integral part of many people’s systems.	yes
ומנגד, עם רשימת המתנה ארוכה וחוסר וודאות בנוגע להשקה עולמית, אני מאמין שרבים יעדיפו כבר להשתמש בפתרונות אחרים.	On the other hand, with a long waiting list and uncertainty regarding a global launch, I believe that many will already prefer to use other solutions.	yes
מרעיון למציאות	From idea to reality	no
אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.	Somewhere in 2018, Spotify users began to receive an interesting offer in their email inbox—an opportunity to purchase a new device with voice control and 4th generation connectivity, which will make any old car system smart.	no
השמועות אט אט דעכו עד שנה לאחר מכן, כשאתר Financial Times חשף כי החברה מתכננת להציג בקרוב מוצר חדש לרכב המדמה רדיו חכם עם חיבוריות בלוטות'.	The rumors slowly died down until a year later, when the Financial Times website revealed that the company was planning to soon introduce a new car product simulating a smart radio with Bluetooth connectivity.	no
כמה חודשים לאחר מכן, השמועות הללו חזרו שוב לכותרות אחרי ששירות המוזיקה התעדכן עם מצב הרכב - אותו אחד שאנו מכירים כיום מהאפליקציה - המופעל ברגע שהסמארטפון מזהה חיבור למערכת באוטו.	A few months later, these rumors made headlines again after the music service was updated with the vehicle mode—the same one we know today from the app—which is activated as soon as the smartphone detects a connection to the system in the car.	no
שנתיים עברו מאז.	Two years have passed since then.	no
אחרי אינספור שמועות והדלפות, ספוטיפיי חשפה בחודש אפריל האחרון את "Car Thing", המערכת החכמה שלה לכלי רכב.	After countless rumors and leaks, Spotify revealed "Car Thing" in last April, its smart system for vehicles.	no
ספוטיפיי בחרה לשחרר את המכשיר החדש באופן מוגבל מאוד, עם רשימת המתנה ארוכה ועיכובים רבים בכל הנוגע למשלוחים.	Spotify chose to release the new device in a very limited edition, with a long waiting list and many delays when it comes to shipments.	no
אז כמובן, מיד אחרי מסיבת העיתונאים שקיימה, נכנסתי לאתר ונרשמתי.	So of course, right after the press conference that took place, I entered the website and registered.	no
חודשיים לאחר מכן, ההודעה המיוחלת הגיעה.	Two months later, the long-awaited announcement arrived.	no
התחברות מחודשת לאתר תקנה לי את האפשרות לרכוש את המכשיר עם הפתעה קטנה - הוא לא יעלה לי דבר.	Reconnecting to the website will give me the opportunity to purchase the device with a small surprise—it won’t cost me a thing.	no
אחרי חודש נוסף של המתנה, השליח סוף סוף דפק לי בדלת, מלווה בקופסה קטנה עם הלוגו של ספוטיפיי עליה.	After another month of waiting, the courier finally knocked on my door, accompanied by a small box with the Spotify logo on it.	no
ה-Car Thing	The Car Thing	no
בראש ובראשונה, המכשיר של ספוטיפיי הרשים אותי מאוד באיכות הבנייה שלו.	First and foremost, Spotify’s device impressed me greatly with its structure materials quality.	no
וא מעט יותר קטן מהאייפון 11 שלי וכולל בקדמתו מסך מגע גדול, בהיר וחד משציפיתי.	It is slightly smaller than my iPhone 11 and has a larger, brighter and sharper touch screen than I expected on its front	no
כמו כן, תוכלו למצוא לצד המסך כפתור עגול וחוגה שתוכלו לסובב כדי לנווט בין מסכי הממשק.	You will also find a round button and a dial next to the screen that allows you to navigate between the interface screens.	no
ולמרות החוגה הענקית, אותה אתם יכולים לראות בתמונות, ה-Car Thing מצליח לשמור על פרופיל דקיק יחסית ולא לבלוט יותר מדי מהדשבורד.	And despite the huge dial, which you can see in the pictures, the Car Thing manages to keep a relatively thin profile and not stand out too much from the dashboard.	no
באופן אישי, הייתי מעדיף שהחברה תאפשר לשנות את פעילות החוגה על מנת שאוכל לשלוט בווליום של הסמארטפון, שכן אני יכול לנווט גם באמצעות מסך המגע.	Personally, I would have preferred the company to allow changing the dial activity so that I’ll be able to control the smartphone volume, since I can also navigate using the touch screen.	no
אולי זה יתאפשר בעדכון גרסה עתידי.	Maybe this will be enabled in a future version update.	no
המכשיר מגיע בקופסת קרטון קטנה ומינימליסטית, הכוללת בין היתר כבל USB Type C ומתאמים שונים להתקנתו.	The device comes in a small and minimalist cardboard box, which also includes, a USB Type C cable and various adapters for its installation.	no
רבים מכם בטח זוכרים כיצד בעבר היינו נוהגים לנתק את מכשירי הרדיו ולהחביא אותם במגירה אחרי היציאה מהרכב.	Many of you probably remember how in the past we used to disconnect the radios and hide them in a drawer after leaving the car.	no
ה-Car Thing ללא ספק מחזיר את ההרגשה הזאת עם צורת הבנייה שלו.	The Car Thing certainly brings back that feeling with its construction.	no
כלל המתאמים התחברו לגוף המכשיר באמצעות מגנט שהיה חזק מאוד, מה שמנע ממנו ליפול גם בעת נסיעה על כבישי עפר.	All the adapters connected to the device with a very strong magnet, which prevented it from falling even while driving on dirt roads.	no
נוסף על כך, לאורך כל חלקו העליון ניתן למצוא כפתורים קטנים, אותם אפשר להגדיר בקלות להפעלת פלייליסטים שונים או פודקאסטים.	In addition, along its entire upper part you can find small buttons, which can be easily configured to activate different playlists or podcasts.	no
באמצעות לחיצה ארוכה על אחד מהכפתורים בזמן השמיעה, או באמצעות בקשה מהעוזרת הקולית, הגדרתי כמה פלייליסטים שאני שומע באופן תכוף ואת תכנית הרדיו שאני מאזין לה מדי בוקר בדרכים.	By long-pressing one of the buttons while listening, or by asking the voice assistant, I set some playlists that I listen to frequently and the radio program that I listen to every morning on the go.	no
בכך, הפיצ'ר גרם לי להרגיש שה-Car Thing הוא יותר כמו רדיו לרכב מאשר הרחבה של הסמארטפון שלי.	In doing so, the feature made me feel like the Car Thing is more like a car radio than an extension of my smartphone.	no
מרכב ישן לרכב חכם	From an old car to a smart one	no
אחרי התקנה פיזית פשוטה למדי, חיברתי את ה-Car Thing לחשמל.	After a fairly simple physical setup, I plugged in the Car Thing.	no
הופתעתי לטובה מתהליך ההגדרה.	I was pleasantly surprised by the setup process.	no
ההוראות היו ברורות, החיבור לאפליקציית ספוטיפיי לקח פחות מ-5 דקות, וכמה רגעים לאחר מכן הגעתי למסך הבית.	The instructions were clear, connecting to the Spotify app took less than 5 minutes, and a few moments later I reached the home screen.	no
למעשה, המכשיר מתחבר לסמארטפון דרך בלוטות' ושולט על האפליקציה כמו שלט, ולכן יכול להעתיק ממנה את כל המידע על החשבון שלנו.	In fact, the device connects to the smartphone via Bluetooth and controls the application like a remote control, and therefore can copy all the information about our account from it.	no
משמע, עדיין תהיו חייבים לחבר את הסמארטפון שלכם לרכב, בין אם דרך בלוטות' או דרך כבל AUX על מנת לשמוע את המוזיקה.	Meaning, you will still have to connect your smartphone to the car, either via Bluetooth or via an AUX cable in order to hear the music.	no
מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.	The home screen is familiar to all users of the application, since like the smartphone application, it emphasizes the album images and playlists.	no
כמו כן, במסך הבית, כמו זה שבאפליקציה, תוכלו למצוא המלצות למוזיקה בהתאם לטעם שלכם, את מסך החיפוש ואת הספריה האישית שלכם.	Also, on the home screen, like the one in the application, you can find music recommendations according to your liking, the search screen and your personal library.	no
כאמור, תוכלו לנווט בין המסכים השונים באמצעות מסך המגע או באמצעות המחוגה הידנית.	As mentioned, you can navigate between the different screens using the touch screen or the manual dial.	no
יתרה מכך, תוכלו בכל רגע נתון לקרוא לעוזרת הקולית של המכשיר באמצעות אמירת "היי ספוטיפיי".	Moreover, at any given moment, you can call the device’s voice assistant by saying "Hey Spotify".	no
באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.	Using it, you can play songs, playlists, albums and even search for podcasts.	no
מניסוני היא זיהתה די בקלות את הקול שלי גם כשהמוזיקה התנגנה ברקע והמזגן נשף ישירות על המכשיר.	In my experience, the voice assistant recognized my voice quite easily even when the music was playing in the background and the air conditioner was blowing directly on the device.	no
זאת ככל הנראה הודות לארבעת המיקרופונים שהותקנו בחלקו העליון.	This is probably thanks to the four microphones installed in the upper part.	no
חשוב לציין שכרגע העוזרת הקולית אינה תומכת בעברית, ונכון לעת פרסום הכתבה, אין מידע על מתי עדכון שכזה יגיע.	It is important to note that currently the voice assistant does not support Hebrew, and as of the time of publishing the article, there is no information on when such an update will arrive.	no
אז האם שווה לחכות לו?	So is it worth waiting for?	no
חוויית השימוש שלי במכשיר הייתה נהדרת, וזו הפתעה חיובית בעיניי בהתחשב בכך שהוא עדיין בשלב שחרור ראשוני.	My user experience of the device was great, and this is quite a surprise for me considering that this is still in an initial release stage.	no
גם בשימוש אינטנסיבי בנסיעות ארוכות, המכשיר המשיך לעבוד בצורה חלקה מבלי להתנתק מהסמארטפון שלי.	Even for intensive use on long trips, the device continued to work smoothly without disconnecting off my smartphone.	no
בכל זאת, מדי פעם נרשם גמגום קטן בממשק, אבל אני מאמין שספוטיפיי תטפל בבאגים שכאלה עם עדכוני גרסה עתידיים.	Still, every now and then a small glitch in the interface occurs, but I believe that Spotify will address such bugs in future version updates.	no
ניכר שהחברה השבדית עבדה עליו הרבה בשנים האחרונות, ומבין הגרסאות השונות שדלפו באינטרנט בתקופה הזו, העיצוב של המוצר הסופי הוא כנראה האהוב עליי.	Evidently the Swedish company has labored on the device recent years, and this final design of the product is probably my favorite among the different versions that have leaked online during this period.	no
עדיין, כשראיתי את ה-Car Thing בפעם הראשונה, תהיתי למי בדיוק החברה מנסה לייעד אותו.	Still, when I first saw the Car Thing, I wondered to whom exactly was the company trying to target it to.	no
הרי פעילותו מסתכמת בשליטה על האפליקציה בסמארטפון, ולא הרבה מעבר לזה.	After all, its activity amounts to controlling the application on the smartphone, and not much else.	no
מה זה שונה מלקנות מעמד לרכב בכמה שקלים ולחבר אותו כך שהסמארטפון יהיה קרוב יותר אלינו בעת נהיגה?	How is this different from buying a cheap car stand and connecting it so that the smartphone stands closer to us while driving?	no
השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.	This question gets crucial when considering that iPhone and Android devices are much more powerful than Spotify’s device, and in most cases will supply the user with much more functionality.	no
למרות כל זאת, ככל שהשתמשתי ב-Car Thing יותר ויותר, הבנתי כיצד ביכולתו לשפר את חוויית הנהיגה.	Despite this, as I used Car Thing more frequently, I came to understand how it may improve the driving experience.	no
היכולת לראות את ה-Waze על גבי מסך הסמארטפון שלי ולשלוט במוזיקה על גבי מסך אחר לחלוטין, זו אחת שלמדתי להעריך בשבועיים האחרונים.	Being able to view the Waze app on my smartphone screen and control the music on a completely different screen is one feature I’ve come to appreciate in the last couple of weeks.	no
שאלה אחת נותרה - האם ספוטיפיי בכלל תשיק את המכשיר לקהל הרחב?	One question remains—will Spotify even launch the device to the general public?	no
ואם כן, האם הוא יושק גם כאן במדינתנו הקטנה?	And if so, will it also be launched here in our small country?	no
החברה השבדית לא מספרת כרגע הרבה.	The Swedish company is not saying much at the moment.	no
היא אפילו לא שיתפה כמה נסיינים למכשיר היא מפעילה כרגע ברחבי העולם, וכמה היא מתכננת להוסיף בהשקה המצומצמת בארצות הברית.	It hasn’t even shared how many testers for the device it’s currently running around the world, and how many devices will Spotify add in to the limited launch in the United States.	no
הדבר היחיד שאנו יודעים בוודאות זה המחיר שצפוי לעמוד על 79 דולרים (כ-255 שקלים).	The only thing we validate is the expected price of 79 dollars (about 255 NIS).	no
לבינתיים, ה-Car Thing מספק הצצה ראשונית לקונספט שספוטיפיי מנסים לפצח כבר שנים.	Meanwhile, the Car Thing provides a first look at a concept that Spotify has been trying to crack for years.	no
מספוטיפיי ישראל נמסר כי אין מידע כרגע על תכנית להשקת המכשיר בארץ	Spotify Israel stated that there is currently no information about a plan to launch the device in Israel	no
.	.	no
גייסתם טאלנט לחברה?	Did you recruit a talent for the company?	yes
ככה תשמרו שהמתחרים לא "יחטפו" לכם אותו.	That’s how you’ll keep your competitors from "hijacking" them from you.	yes
המשק עדיין נמצא בשוק עבודה שנשלט ברובו על ידי העובדים, והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר - הטאלנטים •	The economy is still in the labor market that is largely controlled by the workers, and this is more true for the most desirable workers—the talents •	yes
להלן כמה עצות שיעזרו לכם לשמור עליו במקום העבודה	Here are some tips to help you keep the talent working for the company	yes
.	.	no
על אף העלייה שנרשמה בחודש האחרון, שיעור האבטלה בישראל ממשיך להיות מהנמוכים בעולם, ובעשירייה הראשונה מבין מדינות ה-OECD, עם שיעור של 3.5% (150.6 אלף מובטלים, על-פי הלמ"ס).	Despite the increase registered in the last month, the unemployment rate in Israel continues to be one of the lowest in the world, and in the top ten among the OECD countries, with a rate of 3.5% (150.6 thousand unemployed, according to the CBS).	yes
כלומר, המשק עדיין נמצא בשוק עבודה שנשלט ברובו על-ידי העובדים והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר – הטאלנטים.	Meaning, the economy is still in the labor market that is largely controlled by the workers, and this is more true for the most desirable workers—the talents.	yes
בכל הנוגע לאותם אנשי מקצוע ומנהלים המהווים מוקדי ידע, ניסיון ויכולת מוכחים – המגמות בשוק העבודה מלמדות כי התחרות עליהם, הטאלנטים כפי שהם מכונים על-ידי המעסיקים, עדיין קיימת במלוא הכוח.	As far as those professionals and managers, the centers of proven knowledge, experience and ability, are concerned—the trends in the labor market show that the competition for the talents—as they are named by the employers, is still on.	yes
המשמעות של זה עבור מעסיקים היא שבמצב שוק העבודה הנוכחי אין להם את הלוקסוס של לנוח על זרי הדפנה אפילו דקה לאחר גיוסו של טאלנט נחשק, שכן ברגע שהוא יכנס בשערי החברה – חברה אחרת כבר תנסה לחטוף אותו אליה.	The meaning of this for employers is that in the current state of the labor market, they do not have the luxury of resting on their laurels even a minute after the recruitment of a desirable talent, because as soon as they enter the company’s gates—another company will already try to kidnap them.	yes
כלומר, התחרות על הטאלנטים כה עזה שרבים שגם לאחר גיוסם הם ימשיכו לקבל שלל הצעות עבודה מפתות, כאשר 30% מהעובדים אכן עוזבים כחודש בלבד מקבלת המשרה ותחילת העבודה.	In other words, the competition for talent is so intense that many, even after being hired, will continue to receive a handful of tempting job offers, when 30% of employees actually leave only a month after accepting the position and starting work.	yes
זו הסיבה שמעסיקים נבונים יעברו באופן מידי משלב גיוס הטאלנט לשלב השימור שלו, כאשר הדרך מתחיל בראש ובראשונה בהיערכות מראש ונקיטת יצירתיות כבר בתהליך הקליטה שלו.	This is the reason why wise employers will immediately move from the phase of recruiting talent to the phase of retaining it, this begins first and foremost with preparation in advance and being creative early during the process of integration.	no
תהליך קליטה יעיל, מובנה ומתחשב יגרום לטאלנט להתלהב ממקום העבודה החדש שלו כבר מהיום הראשון ואף לצפות לבאות.	An efficient, structured and thoughtful integration process will make the talent enthusiastic about his/her new workplace from the very first day and even look forward to the future.	no
להלן מספר עצות כיצד להיערך ולנהל תהליך קליטה נכון שיסייע בשימורו של הטאלנט החדש:	Here are some tips on how to prepare and manage a correct integration process that will help in retaining the new talent:	no
זה לא סוד - שיתוף ומוכנות הארגון |	It’s not a secret—sharing and organization’s readiness |	no
שתפו את הגורמים שיעבדו איתו על גיוסו, הסבירו להם מדוע הוא חיוני וחשוב לחברה ולתפקיד, וכיצד אתם רואים את תרומתו.	Share the factors that will work with them on their recruitment, explain to them why they are essential and important to the company and the position, and how you see their contribution.	no
עובד חדש שמגיע למקום בו מצפים לו ומבינים את ערכו, ירגיש רצוי וישאף להוכיח את הציפיות שתולים בן.	A new employee who arrives at a place where he is expected and understands his/her value, will feel welcome and strive to prove the expectations placed on him/her.	no
ידע הוא כוח - תיאום ציפיות |	Knowledge is power—coordination of expectations |	no
כבר ביום הראשון ערכו עם הטאלנט שיחת תיאום ציפיות.	Already on the first day, have a meeting with the talent to coordinate expectations.	no
הכירו את הרקע המקצועי שלו ובדקו איפה הוא רואה את עצמו בעתיד, כדי שתוכלו להציג לו את הכלים המגוונים והייחודיים שאתם ומקום העבודה יכולים לספק לו כדי להגיע לשם.	Get to know their professional background and check where they see themselves in the future, so that you can show them the diverse and unique tools that you and the workplace can provide them to get there.	no
כולנו אנשים – הכרות אישית |	We are all people—personal acquaintance |	no
במהלך ימי הקליטה נסו להכיר את הטאלנט מעבר לתכונותיו המקצועיות והתעניינו בתחביבים ובתחומי העניין שלו.	During the days of integration, try to get to know the talent beyond their professional qualities and take an interest in their hobbies and interests.	no
עובד חדש שמגלים בו עניין ומאפשרים לו לממש ולבטא את עצמו מעבר לגבולות תפקידו יעריך זאת וירצה לשמור על כך.	A new employee who is a focus of interest and is allowed to fulfil and express himself beyond the limits of his role will appreciate it and want to keep it.	no
הסקרנות מקדמת |	Curiosity promotes |	no
כבר בשלב הקליטה אתם יכולים ליצור אטרקטיביות שתגרום לטאלנט לרצות להשתלב מהר.	within the integration phase you can create an appeal that will cause the talent to wish to integrate quickly.	no
עשו זאת לאו דווקא על-ידי שיח של בונוסים והטבות, אלא על-ידי חשיפתו לתחום מלהיב או לטכנולוגיה מעניינת, שכן גירויים מסוג זה ליצירתיות מובילים לסקרנות ולעניין גובר במקום העבודה.	Do this not necessarily by talking about bonuses and benefits, but by showing him an exciting field or an interesting technology, since this kind of stimulation for creativity leads to curiosity and increasing interest in the workplace.	no
כמו כן, עודדו את הטאלנט להשמיע את מחשבותיו ודעותיו לפרויקטים השונים בחברה והבהירו לו שהן חשובות לארגון.	In addition, encourage the talent to voice their thoughts and opinions on various projects in the company and make it clear to them that they are important to the organization.	no
הכותבת הינה מנכ"לית Manpower ישראל – חברת ההשמה וכוח האדם הגדולה בישראל	The author is the CEO of Manpower Israel—the largest placement and manpower company in Israel	no
חשמול בכיס: עלות אי־סגירת התחנות הפחמיות ביוני - מיליארד שקלים	Electrification is in your pocket: the cost of keeping the coal-based power stations open in June—one billion NIS	yes
דו"ח של מרכז המחקר והמידע של הכנסת: אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד  שקלים	The Knesset’s Research and Information Center reports: The failure to shut down the coal-based power stations by the date set in June 2022, is estimated at about one billion NIS	yes
• חברת החשמל: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה"	• The Electricity Company: "The fuel usage policy is dictated first and foremost by the Ministry of Energy"	yes
.	.	no
העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו"ח של מרכז המחקר והמידע של הכנסת.	The economic cost of not closing the coal-based power stations by the date set in June 2022 is estimated at about one billion NIS for the year 2022, according to a report by the Knesset’s Research and Information Center.	yes
לפי הדו"ח, עלות זו מגולמת בתעריף החשמל לצרכן, שכאמור צפוי לעלות בחודשים הקרובים בגלל התייקרות הפחם.	According to the report, this cost is inclusive in the consumer’s electricity tariff, which as mentioned, is expected to increase in the coming months due to the increase in the price of coal.	yes
נוסף על כך, ב־2023 צפויה כמות עודפת נוספת של שימוש בפחם של כ־900 אלף טונות, כך שהדבר יתבטא בעלות נוספת למשק החשמל בגין אי־סגירת התחנות הפחמיות, בהנחה שמחיר הגז הטבעי יישאר נמוך משמעותית ביחס למחיר הפחם.	In addition, during 2023 an additional excess amount of coal use of approximately 900 thousand tons is expected, consequently, an additional cost to the electricity sector for not closing the coal power stations is deemed necessary, assuming that the price of natural gas shall remain significantly lower than the price of coal.	yes
בדו"ח נכתב כי המשמעות של הפחתת כמיליארד שקלים בתעריף החשמל ב־2022 היתה הפחתה של כ־4% בתעריף צריכת החשמל לצרכן הביתי.	The report states that reducing approximately one billion NIS of the electricity tariff in 2022, lead to a reduction of approximately 4% in the electricity consumption tariff for the home consumer.	yes
כלומר, העלות הכלכלית של אי־סגירת התחנות היא כמיליארד שקלים, וסך ההוזלה שהיתה יכולה להיות לצרכן הביתי היא כ־4%.	That is, the economic cost of not closing the stations is about a billion NIS, and the total discount that could have been granted to the home consumer is about 4%.	yes
יש לציין כי במסגרת הרפורמה במשק החשמל הוחלט בין היתר על הקמת חברה־בת של חברת החשמל, אשר תקים יחידות המופעלות בגז טבעי, שנועדו להחליף את היחידות הפחמיות 4-1 באתר אורות רבין.	It should be noted that as part of the reform in the electricity sector, it was decided to establish a subsidiary of the Electric Company, which will build natural gas powered units intended to substitute the coal-fired units 1–4 at the Orot Rabin site.	yes
בהמשך להחלטה זו התקבלה החלטת ממשלה ביולי 2018, הקובעת כי יש להפסיק את פעילותן של יחידות הייצור הפחמיות 4-1 בתחנת הכוח אורות רבין.	Further to this decision, a government decision was made in July 2018, stating that the activity of the coal-fired production units 1–4 at the Orot Rabin power plant must be stopped.	no
בהחלטה נקבעו לוחות זמנים, כך שהקמת היחידה הראשונה בגז טבעי תחל בינואר 2020 והפעלתה תחל ביוני 2022, ובהתאם לכך גם יחידות הייצור הפחמיות 4-1 יפסיקו לפעול במועד זה.	According to time-lines established as part of the decision, the construction of the first natural gas unit will begin in January 2020 and will be fully operational in June 2022, consequently the coal-fired production units 1–4 will cease to operate at the same time.	no
מחברת החשמל נמסר בתגובה: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה.	The electricity company responded: "The fuel usage policy is dictated first and foremost by the Ministry of Energy.	no
בהתאם להחלטות המשרד, מיושמת בישראל זה כמה שנים מדיניות של צמצום השימוש בפחם למינימום האפשרי גם כאשר מחיר הפחם נמוך ממחיר הגז".	According to the ministry’s decisions, a policy of reducing the use of coal to the minimum possible has been implemented in Israel for several years, even when the price of coal is lower than the price of gas".	no
משלמים את המחיר: כל מה שצריך לדעת לקראת עליית הריבית	Paying the price: everything you need to know ahead of the interest rate hike	yes
גזירות ללא הרף: בשבוע הבא הריבית על השקל צפויה לעלות בחצי אחוז •	Constant decrees: next week the interest rate on the NIS is expected to increase by half a percent •	yes
בכמה יתייקר התשלום על המשכנתא?	How much more expensive will the mortgage payment be?	yes
ומה מומלץ לעשות? •	And what is recommended to do? •	yes
כל התשובות	all the answers	yes
האינפלציה המחריפה בישראל, שכבר הגיעה לקצב של יותר מ־4% בשנה האחרונה, תאלץ את בנק ישראל להעלות את הריבית על השקל כבר בשבוע הבא.	The worsening inflation in Israel, which has already reached a rate of more than 4% in the past year, will force the Bank of Israel to raise the interest rate on the NIS as early as next week.	yes
הערכות האנליסטים מדברות על שיעור העלאה שנע בין 0.25% ל־0.5%.	The analysts’ estimates mention an increase rate ranging from 0.25% to 0.5%.	yes
אם אכן תעלה הריבית בשיעור של חצי אחוז, היא תעמוד כבר על 1.25%, הרמה הגבוהה זה תשע שנים.	If the interest rate does rise by half a percent, it will already stand at 1.25%, the highest level in nine years.	yes
זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.	This rise, after the interest rate in the economy has been registered as close to zero for years.	yes
העלייה החדה בשיעור הריבית מייקרת במאות שקלים את החזרי המשכנתאות ומכבידה בצורה דרסטית על משקי הבית.	The sharp increase in the interest rate increases the mortgage repayments by hundreds of NIS and drastically burdens the households.	yes
