בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three bridal puppies born in Iran	yes
ספוטיפיי בחרה לשחרר את המכשיר החדש באופן מוגבל מאוד, עם רשימת המתנה ארוכה ועיכובים רבים בכל הנוגע למשלוחים.	Spotify has chosen to release the new device on a very limited basis, with a long waiting list and many delays in shipment.	no
אז כמובן, מיד אחרי מסיבת העיתונאים שקיימה, נכנסתי לאתר ונרשמתי.	So of course, right after the press conference, I went to the website and signed up.	no
חודשיים לאחר מכן, ההודעה המיוחלת הגיעה.	Two months later, the long-awaited message arrived.	no
התחברות מחודשת לאתר תקנה לי את האפשרות לרכוש את המכשיר עם הפתעה קטנה - הוא לא יעלה לי דבר.	Re-logging will buy me the device with a little surprise - it will cost me nothing.	no
אחרי חודש נוסף של המתנה, השליח סוף סוף דפק לי בדלת, מלווה בקופסה קטנה עם הלוגו של ספוטיפיי עליה.	After another month of waiting, the courier finally knocked on my door, with a small box with the Spotify logo on it.	no
ה-Car Thing	The Car Thing	no
בראש ובראשונה, המכשיר של ספוטיפיי הרשים אותי מאוד באיכות הבנייה שלו.	First of all, I was very impressed with the quality of the Spotify device.	no
וא מעט יותר קטן מהאייפון 11 שלי וכולל בקדמתו מסך מגע גדול, בהיר וחד משציפיתי.	And it's a little bit smaller than my iPhone 11 and it has a bigger, brighter, sharper touchscreen at the front than I expected.	no
כמו כן, תוכלו למצוא לצד המסך כפתור עגול וחוגה שתוכלו לסובב כדי לנווט בין מסכי הממשק.	Also, you'll find on the side of the screen a round button and a circle that you can rotate to navigate between the interface screens.	no
ולמרות החוגה הענקית, אותה אתם יכולים לראות בתמונות, ה-Car Thing מצליח לשמור על פרופיל דקיק יחסית ולא לבלוט יותר מדי מהדשבורד.	And despite the huge circle, which you can see in the photos, the Car Thing manages to keep a relatively thin profile and not stand out too much from the dashboard.	no
באופן אישי, הייתי מעדיף שהחברה תאפשר לשנות את פעילות החוגה על מנת שאוכל לשלוט בווליום של הסמארטפון, שכן אני יכול לנווט גם באמצעות מסך המגע.	Personally, I would prefer that the company let me change the circuit activity so that I can control the volume on the smartphone, since I can also navigate using the touch screen.	no
אולי זה יתאפשר בעדכון גרסה עתידי.	Maybe this will be possible in a future update.	no
המכשיר מגיע בקופסת קרטון קטנה ומינימליסטית, הכוללת בין היתר כבל USB Type C ומתאמים שונים להתקנתו.	The device comes in a small, minimalist cardboard box, including a USB Type C cable and various adapters for its installation.	no
רבים מכם בטח זוכרים כיצד בעבר היינו נוהגים לנתק את מכשירי הרדיו ולהחביא אותם במגירה אחרי היציאה מהרכב.	Many of you may remember how in the past we used to turn off our radios and hide them in the drawer when we got out of the car.	no
ה-Car Thing ללא ספק מחזיר את ההרגשה הזאת עם צורת הבנייה שלו.	The Car Thing certainly brings that feeling back with its construction.	no
כלל המתאמים התחברו לגוף המכשיר באמצעות מגנט שהיה חזק מאוד, מה שמנע ממנו ליפול גם בעת נסיעה על כבישי עפר.	All the adaptations were attached to the body of the device by a very strong magnet, which prevented it from falling off even while driving on dirt roads.	no
נוסף על כך, לאורך כל חלקו העליון ניתן למצוא כפתורים קטנים, אותם אפשר להגדיר בקלות להפעלת פלייליסטים שונים או פודקאסטים.	Also, along the entire top there are little buttons that can be easily set to play different playlists or podcasts.	no
באמצעות לחיצה ארוכה על אחד מהכפתורים בזמן השמיעה, או באמצעות בקשה מהעוזרת הקולית, הגדרתי כמה פלייליסטים שאני שומע באופן תכוף ואת תכנית הרדיו שאני מאזין לה מדי בוקר בדרכים.	By long pressing one of the buttons while playing, or by requesting a voice assistant, I set some of the playlists that I hear most often and the radio show that I listen to every morning on the highway.	no
בכך, הפיצ'ר גרם לי להרגיש שה-Car Thing הוא יותר כמו רדיו לרכב מאשר הרחבה של הסמארטפון שלי.	In doing so, Fisher made me feel that the Car Thing is more like a car radio than an extension of my smartphone.	no
מרכב ישן לרכב חכם	From an old car to a smart car	no
אחרי התקנה פיזית פשוטה למדי, חיברתי את ה-Car Thing לחשמל.	After a fairly simple physical installation, I connected the Car Thing to the power.	no
הופתעתי לטובה מתהליך ההגדרה.	I was pleasantly surprised by the process of definition.	no
ההוראות היו ברורות, החיבור לאפליקציית ספוטיפיי לקח פחות מ-5 דקות, וכמה רגעים לאחר מכן הגעתי למסך הבית.	The instructions were clear, connecting to the Spotify app took less than five minutes, and a few moments later I was on my home screen.	no
למעשה, המכשיר מתחבר לסמארטפון דרך בלוטות' ושולט על האפליקציה כמו שלט, ולכן יכול להעתיק ממנה את כל המידע על החשבון שלנו.	In fact, the device connects to the smartphone through a glutton and controls the app like a controller, so it can copy all of our account data from it.	no
משמע, עדיין תהיו חייבים לחבר את הסמארטפון שלכם לרכב, בין אם דרך בלוטות' או דרך כבל AUX על מנת לשמוע את המוזיקה.	So, you'll still have to connect your smartphone to the car, whether it's through a gloppy or an AUX cable to hear the music.	no
מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.	The home screen is familiar to all app users, as like the smartphone app, it puts an emphasis on album photos and playlists.	no
כמו כן, במסך הבית, כמו זה שבאפליקציה, תוכלו למצוא המלצות למוזיקה בהתאם לטעם שלכם, את מסך החיפוש ואת הספריה האישית שלכם.	Also on the home screen, like the one in the app, you can find music recommendations to suit your taste, the search screen, and your personal library.	no
כאמור, תוכלו לנווט בין המסכים השונים באמצעות מסך המגע או באמצעות המחוגה הידנית.	As mentioned, you can navigate between different screens using the touch screen or by using the handheld display.	no
יתרה מכך, תוכלו בכל רגע נתון לקרוא לעוזרת הקולית של המכשיר באמצעות אמירת "היי ספוטיפיי".	Furthermore, you can call the device's voice assistant at any time by saying "Hey Spotify".	no
באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.	With it, you can play songs, playlists, albums and even search for podcasts.	no
מניסוני היא זיהתה די בקלות את הקול שלי גם כשהמוזיקה התנגנה ברקע והמזגן נשף ישירות על המכשיר.	In my experience, she recognized my voice pretty easily even when the music was playing in the background and the air conditioner was blowing directly on the instrument.	no
זאת ככל הנראה הודות לארבעת המיקרופונים שהותקנו בחלקו העליון.	It's probably due to the four microphones that are mounted on the top of it.	no
חשוב לציין שכרגע העוזרת הקולית אינה תומכת בעברית, ונכון לעת פרסום הכתבה, אין מידע על מתי עדכון שכזה יגיע.	It is important to note that right now the voice assistant does not support Hebrew, and at the time of publishing, there is no information about when such an update will arrive.	no
אז האם שווה לחכות לו?	So is it worth waiting for?	no
חוויית השימוש שלי במכשיר הייתה נהדרת, וזו הפתעה חיובית בעיניי בהתחשב בכך שהוא עדיין בשלב שחרור ראשוני.	And my experience with the device has been great, and that's a positive surprise to me considering it's still in the early release phases.	no
גם בשימוש אינטנסיבי בנסיעות ארוכות, המכשיר המשיך לעבוד בצורה חלקה מבלי להתנתק מהסמארטפון שלי.	Even with heavy use on long trips, the device continued to work smoothly without disconnecting from my smartphone.	no
בכל זאת, מדי פעם נרשם גמגום קטן בממשק, אבל אני מאמין שספוטיפיי תטפל בבאגים שכאלה עם עדכוני גרסה עתידיים.	Nevertheless, occasionally a little bit of a glitch occurred in the interface, but I believe that Spotify will address those bugs with future updates.	no
ניכר שהחברה השבדית עבדה עליו הרבה בשנים האחרונות, ומבין הגרסאות השונות שדלפו באינטרנט בתקופה הזו, העיצוב של המוצר הסופי הוא כנראה האהוב עליי.	Obviously, the Swedish company had been working on it a lot over the last few years, and of the various versions that have leaked online over that period, the design of the final product is probably my favorite.	no
עדיין, כשראיתי את ה-Car Thing בפעם הראשונה, תהיתי למי בדיוק החברה מנסה לייעד אותו.	Still, when I first saw the Car Thing, I wondered exactly who the company was trying to target.	no
הרי פעילותו מסתכמת בשליטה על האפליקציה בסמארטפון, ולא הרבה מעבר לזה.	'Cause its activity boils down to controlling the app on the smartphone, and not much else.	no
מה זה שונה מלקנות מעמד לרכב בכמה שקלים ולחבר אותו כך שהסמארטפון יהיה קרוב יותר אלינו בעת נהיגה?	What's different than buying a car for a few bucks and plugging it in so that your smartphone is closer to you while you're driving?	no
השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.	That question gets stronger when you consider that iPhones and Android devices are much more powerful than Spotify, and will typically buy you a lot more functionality.	no
למרות כל זאת, ככל שהשתמשתי ב-Car Thing יותר ויותר, הבנתי כיצד ביכולתו לשפר את חוויית הנהיגה.	Nevertheless, the more I used the Car Thing, the more I realized how it could improve the driving experience.	no
היכולת לראות את ה-Waze על גבי מסך הסמארטפון שלי ולשלוט במוזיקה על גבי מסך אחר לחלוטין, זו אחת שלמדתי להעריך בשבועיים האחרונים.	The ability to see the Waze on my smartphone screen and control the music on a completely different screen is something that I've learned to appreciate in the last two weeks.	no
שאלה אחת נותרה - האם ספוטיפיי בכלל תשיק את המכשיר לקהל הרחב?	One question remains -- will Spotify ever release the device to the general public?	no
ואם כן, האם הוא יושק גם כאן במדינתנו הקטנה?	And if so, will it be established here in our little country?	no
החברה השבדית לא מספרת כרגע הרבה.	The Swedish society isn't saying much right now.	no
היא אפילו לא שיתפה כמה נסיינים למכשיר היא מפעילה כרגע ברחבי העולם, וכמה היא מתכננת להוסיף בהשקה המצומצמת בארצות הברית.	She didn't even share how many new features for the device she is currently rolling out around the world, and how many she plans to add in the limited launch in the United States.	no
הדבר היחיד שאנו יודעים בוודאות זה המחיר שצפוי לעמוד על 79 דולרים (כ-255 שקלים).	The only thing we know for sure is that the price is expected to be $79.	no
לבינתיים, ה-Car Thing מספק הצצה ראשונית לקונספט שספוטיפיי מנסים לפצח כבר שנים.	Meanwhile, the Car Thing provides a first glimpse into a concept that Spotify has been trying to crack for years.	no
מספוטיפיי ישראל נמסר כי אין מידע כרגע על תכנית להשקת המכשיר בארץ	Spotify Israel reported that there is no information currently on a plan to launch the device in the country.	no
.	I know.	no
גייסתם טאלנט לחברה?	Did you recruit talent for the company?	yes
ככה תשמרו שהמתחרים לא "יחטפו" לכם אותו.	That way you can make sure your competitors don't get it from you.	yes
המשק עדיין נמצא בשוק עבודה שנשלט ברובו על ידי העובדים, והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר - הטאלנטים •	The economy is still in a labour market dominated by workers, and this is also true when it comes to the most desirable workers - talent •	yes
להלן כמה עצות שיעזרו לכם לשמור עליו במקום העבודה	Here are some tips to help you keep it in your workplace	yes
.	I know.	no
על אף העלייה שנרשמה בחודש האחרון, שיעור האבטלה בישראל ממשיך להיות מהנמוכים בעולם, ובעשירייה הראשונה מבין מדינות ה-OECD, עם שיעור של 3.5% (150.6 אלף מובטלים, על-פי הלמ"ס).	Despite the increase registered last month, the unemployment rate in Israel remains one of the lowest in the world, and in the top ten among OECD countries, with a rate of 3.5% (150.6 thousand people unemployed, according to the ILO).	yes
כלומר, המשק עדיין נמצא בשוק עבודה שנשלט ברובו על-ידי העובדים והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר – הטאלנטים.	That is, the economy is still in a labor market dominated by workers, and this is particularly true for the most desirable  talented workers.	yes
בכל הנוגע לאותם אנשי מקצוע ומנהלים המהווים מוקדי ידע, ניסיון ויכולת מוכחים – המגמות בשוק העבודה מלמדות כי התחרות עליהם, הטאלנטים כפי שהם מכונים על-ידי המעסיקים, עדיין קיימת במלוא הכוח.	As for those professionals and managers who are sources of knowledge, experience and proven capacity, the trends in the labour market show that competition for these, the talents as they are called by employers, is still in full swing.	yes
המשמעות של זה עבור מעסיקים היא שבמצב שוק העבודה הנוכחי אין להם את הלוקסוס של לנוח על זרי הדפנה אפילו דקה לאחר גיוסו של טאלנט נחשק, שכן ברגע שהוא יכנס בשערי החברה – חברה אחרת כבר תנסה לחטוף אותו אליה.	What this means for employers is that in the current state of the job market, they don't have the luxury of resting on the sidelines even a minute after recruiting a desired talent, because as soon as he walks through the company's doors another company is already trying to snatch him in.	yes
כלומר, התחרות על הטאלנטים כה עזה שרבים שגם לאחר גיוסם הם ימשיכו לקבל שלל הצעות עבודה מפתות, כאשר 30% מהעובדים אכן עוזבים כחודש בלבד מקבלת המשרה ותחילת העבודה.	In other words, the competition for talent is so intense that many even after recruitment will continue to receive a barrage of enticing job offers, with 30% of employees indeed leaving within one month of being hired and starting.	yes
זו הסיבה שמעסיקים נבונים יעברו באופן מידי משלב גיוס הטאלנט לשלב השימור שלו, כאשר הדרך מתחיל בראש ובראשונה בהיערכות מראש ונקיטת יצירתיות כבר בתהליך הקליטה שלו.	That's why smart employers will immediately move from talent recruitment to talent retention, starting first and foremost by planning in advance and being creative in the hiring process.	no
תהליך קליטה יעיל, מובנה ומתחשב יגרום לטאלנט להתלהב ממקום העבודה החדש שלו כבר מהיום הראשון ואף לצפות לבאות.	An efficient, structured and thoughtful recruitment process will make the talent excited about their new workplace from day one and even look forward to the future.	no
להלן מספר עצות כיצד להיערך ולנהל תהליך קליטה נכון שיסייע בשימורו של הטאלנט החדש:	Here are some tips on how to set up and run a proper hiring process to help retain new talent:	no
זה לא סוד - שיתוף ומוכנות הארגון |	It's not a secret -- sharing and organizing.	no
שתפו את הגורמים שיעבדו איתו על גיוסו, הסבירו להם מדוע הוא חיוני וחשוב לחברה ולתפקיד, וכיצד אתם רואים את תרומתו.	Share the factors that will work with him on his recruitment, explain to them why he's vital and important to the company and the role, and how you see his contribution.	no
עובד חדש שמגיע למקום בו מצפים לו ומבינים את ערכו, ירגיש רצוי וישאף להוכיח את הציפיות שתולים בן.	A new employee who arrives where he is expected and understands his value will feel wanted and will strive to prove his expected.	no
ידע הוא כוח - תיאום ציפיות |	Knowledge is power -- align expectations.	no
כבר ביום הראשון ערכו עם הטאלנט שיחת תיאום ציפיות.	On the first day, they had a talent coordination expectation call.	no
הכירו את הרקע המקצועי שלו ובדקו איפה הוא רואה את עצמו בעתיד, כדי שתוכלו להציג לו את הכלים המגוונים והייחודיים שאתם ומקום העבודה יכולים לספק לו כדי להגיע לשם.	Get to know his professional background and find out where he sees himself in the future, so that you can show him the diverse and unique tools that you and the workplace can provide him to get there.	no
כולנו אנשים – הכרות אישית |	We are all people -- personal acquaintances.	no
במהלך ימי הקליטה נסו להכיר את הטאלנט מעבר לתכונותיו המקצועיות והתעניינו בתחביבים ובתחומי העניין שלו.	During the recording days we tried to get to know the talent beyond his professional qualities and were interested in his hobbies and interests.	no
עובד חדש שמגלים בו עניין ומאפשרים לו לממש ולבטא את עצמו מעבר לגבולות תפקידו יעריך זאת וירצה לשמור על כך.	A new employee who is interested and allowed to express himself beyond the confines of his job will appreciate that and want to keep it that way.	no
הסקרנות מקדמת |	Curiosity comes first.	no
כבר בשלב הקליטה אתם יכולים ליצור אטרקטיביות שתגרום לטאלנט לרצות להשתלב מהר.	Even at the intake stage, you can create an attraction that will make the talent want to fit in quickly.	no
עשו זאת לאו דווקא על-ידי שיח של בונוסים והטבות, אלא על-ידי חשיפתו לתחום מלהיב או לטכנולוגיה מעניינת, שכן גירויים מסוג זה ליצירתיות מובילים לסקרנות ולעניין גובר במקום העבודה.	And do it not by talking about bonuses and perks, but by exposing him to an exciting field or an interesting technology, because that kind of stimulation of creativity leads to curiosity and increased interest in the workplace.	no
כמו כן, עודדו את הטאלנט להשמיע את מחשבותיו ודעותיו לפרויקטים השונים בחברה והבהירו לו שהן חשובות לארגון.	Also, encourage talent to voice their thoughts and opinions about the various projects in the company and make it clear that they are important to the organization.	no
הכותבת הינה מנכ"לית Manpower ישראל – חברת ההשמה וכוח האדם הגדולה בישראל	The writer is the CEO of Manpower Israel  Israel's largest human resources and inspiration company	no
חשמול בכיס: עלות אי־סגירת התחנות הפחמיות ביוני - מיליארד שקלים	Pocket electricity: The cost of not closing coal stations in June - NIS 1 billion	yes
דו"ח של מרכז המחקר והמידע של הכנסת: אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד  שקלים	Knesset Research and Information Center report: Failure to close coal plants by June 2022 estimated at NIS 1 billion	yes
• חברת החשמל: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה"	• Power company: "Fuel policy is written primarily by the Department of Energy"	yes
.	I know.	no
העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו"ח של מרכז המחקר והמידע של הכנסת.	The economic cost of not closing coal stations by the June 2022 deadline is estimated at NIS 1 billion for 2022, according to a report by the Knesset Research and Information Center.	yes
לפי הדו"ח, עלות זו מגולמת בתעריף החשמל לצרכן, שכאמור צפוי לעלות בחודשים הקרובים בגלל התייקרות הפחם.	According to the report, this cost is reflected in the consumer electricity tariff, which is expected to rise in the coming months due to the rise in coal prices.	yes
נוסף על כך, ב־2023 צפויה כמות עודפת נוספת של שימוש בפחם של כ־900 אלף טונות, כך שהדבר יתבטא בעלות נוספת למשק החשמל בגין אי־סגירת התחנות הפחמיות, בהנחה שמחיר הגז הטבעי יישאר נמוך משמעותית ביחס למחיר הפחם.	Moreover, by 2023, an additional surplus of some 900,000 tons of coal is expected to be used, so that this could be reflected in an additional cost to the electricity industry due to the continuation of coal plants, assuming that the price of natural gas remains significantly lower than the price of coal.	yes
בדו"ח נכתב כי המשמעות של הפחתת כמיליארד שקלים בתעריף החשמל ב־2022 היתה הפחתה של כ־4% בתעריף צריכת החשמל לצרכן הביתי.	The report said that the approximately $4.5 billion reduction in electricity rates by 2022 would mean a reduction in the cost of electricity to the home user of about 4 percent.	yes
כלומר, העלות הכלכלית של אי־סגירת התחנות היא כמיליארד שקלים, וסך ההוזלה שהיתה יכולה להיות לצרכן הביתי היא כ־4%.	In other words, the economic cost of not closing the stations is about $8 million, and the total reduction for home customers would be about 4 percent.	yes
יש לציין כי במסגרת הרפורמה במשק החשמל הוחלט בין היתר על הקמת חברה־בת של חברת החשמל, אשר תקים יחידות המופעלות בגז טבעי, שנועדו להחליף את היחידות הפחמיות 4-1 באתר אורות רבין.	It should be noted that as part of the electricity sector reform, it was decided, among other things, to create a subsidiary of the electricity company, which will establish natural gas-powered units, intended to replace the 4-1 coal units at the Rabin Light site.	yes
בהמשך להחלטה זו התקבלה החלטת ממשלה ביולי 2018, הקובעת כי יש להפסיק את פעילותן של יחידות הייצור הפחמיות 4-1 בתחנת הכוח אורות רבין.	Following this decision, a government decision was adopted in July 2018, determining that the activities of the 4-1 coal production units at the Oruç Rabin power plant should be discontinued.	no
בהחלטה נקבעו לוחות זמנים, כך שהקמת היחידה הראשונה בגז טבעי תחל בינואר 2020 והפעלתה תחל ביוני 2022, ובהתאם לכך גם יחידות הייצור הפחמיות 4-1 יפסיקו לפעול במועד זה.	The decision established timetables, so that the construction of the first unit with natural gas will begin in January 2020 and its operation will start in June 2022, and accordingly the 4-1 coal production units will also cease to operate at that date.	no
מחברת החשמל נמסר בתגובה: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה.	The utility responded: "The fuel policy is written primarily by the Department of Energy.	no
בהתאם להחלטות המשרד, מיושמת בישראל זה כמה שנים מדיניות של צמצום השימוש בפחם למינימום האפשרי גם כאשר מחיר הפחם נמוך ממחיר הגז".	In accordance with the decisions of the Ministry, a policy of reducing the use of coal to the minimum possible has been implemented in Israel for several years, even when the price of coal is lower than the price of gas".	no
משלמים את המחיר: כל מה שצריך לדעת לקראת עליית הריבית	Paying the Price: Everything You Need to Know About Rising Interest Rates	yes
גזירות ללא הרף: בשבוע הבא הריבית על השקל צפויה לעלות בחצי אחוז •	Continuing cuts: Next week interest on the shekel is expected to rise by half a percent	yes
בכמה יתייקר התשלום על המשכנתא?	How much will the mortgage payment cost?	yes
ומה מומלץ לעשות? •	• What is the best way to avoid conflict?	yes
כל התשובות	All the answers.	yes
האינפלציה המחריפה בישראל, שכבר הגיעה לקצב של יותר מ־4% בשנה האחרונה, תאלץ את בנק ישראל להעלות את הריבית על השקל כבר בשבוע הבא.	Rising inflation in Israel, which has already reached a rate of more than 4% in the past year, will force the Bank of Israel to raise interest rates on the shekel as early as next week.	yes
הערכות האנליסטים מדברות על שיעור העלאה שנע בין 0.25% ל־0.5%.	Analyst estimates speak of a rate of increase ranging from 0.25% to 0.5%.	yes
אם אכן תעלה הריבית בשיעור של חצי אחוז, היא תעמוד כבר על 1.25%, הרמה הגבוהה זה תשע שנים.	If you actually raise the interest rate by half a percent, it would stand at 1.25%, the high level it's been at for nine years.	yes
זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.	That's after years of near zero interest rates on the economy.	yes
העלייה החדה בשיעור הריבית מייקרת במאות שקלים את החזרי המשכנתאות ומכבידה בצורה דרסטית על משקי הבית.	The sharp rise in interest rates is raising mortgage repayments by hundreds of shekels and putting a drastic burden on households.	yes
בעזרת שי צרור, מומחה למשכנתאות, בדקנו כמה נשלם יותר ומה מומלץ לעשות כבר עכשיו.	With the help of Shae Zarror, a mortgage expert, we looked at how much more we could pay and what to do right now.	no
אם הריבית תעלה בחצי אחוז - בכמה יתייקר התשלום החודשי על המשכנתא?	If the interest rate goes up by a half a percent, how much will the monthly mortgage payment cost?	no
במשכנתא בסכום של 1.2 מיליון שקל, שמורכבת מ־40% מסלול ריבית פריים, ההחזר החודשי יעלה ב־125 שקלים.	On a mortgage of $1,200,000, consisting of a 40 percent rate, the monthly payment will be $1.40.	no
בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?	What was the average mortgage since the beginning of the year?	no
