בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three cheetah cubs were born in Iran.	yes
באופן אישי, הייתי מעדיף שהחברה תאפשר לשנות את פעילות החוגה על מנת שאוכל לשלוט בווליום של הסמארטפון, שכן אני יכול לנווט גם באמצעות מסך המגע.	Personally, I would prefer if the company allowed to change the dial function so I could control the smartphone's volume, as I can also navigate using the touch screen.	no
אולי זה יתאפשר בעדכון גרסה עתידי.	Maybe it will be possible in a future version update.	no
המכשיר מגיע בקופסת קרטון קטנה ומינימליסטית, הכוללת בין היתר כבל USB Type C ומתאמים שונים להתקנתו.	The device comes in a small, minimalist cardboard box, which includes among other things a USB Type C cable and various adapters for its installation.	no
רבים מכם בטח זוכרים כיצד בעבר היינו נוהגים לנתק את מכשירי הרדיו ולהחביא אותם במגירה אחרי היציאה מהרכב.	Many of you probably remember how in the past we used to disconnect the radio devices and hide them in the drawer after leaving the car.	no
ה-Car Thing ללא ספק מחזיר את ההרגשה הזאת עם צורת הבנייה שלו.	The Car Thing definitely brings back that feeling with its construction.	no
כלל המתאמים התחברו לגוף המכשיר באמצעות מגנט שהיה חזק מאוד, מה שמנע ממנו ליפול גם בעת נסיעה על כבישי עפר.	All the adapters were connected to the device body using a very strong magnet, which prevented it from falling even when driving on dirt roads.	no
נוסף על כך, לאורך כל חלקו העליון ניתן למצוא כפתורים קטנים, אותם אפשר להגדיר בקלות להפעלת פלייליסטים שונים או פודקאסטים.	In addition, along its top part, you can find small buttons, which can be easily set to play different playlists or podcasts.	no
באמצעות לחיצה ארוכה על אחד מהכפתורים בזמן השמיעה, או באמצעות בקשה מהעוזרת הקולית, הגדרתי כמה פלייליסטים שאני שומע באופן תכוף ואת תכנית הרדיו שאני מאזין לה מדי בוקר בדרכים.	By long pressing one of the buttons during playback, or by asking the voice assistant, I set up several playlists that I listen to frequently and the radio program that I listen to every morning on the road.	no
בכך, הפיצ'ר גרם לי להרגיש שה-Car Thing הוא יותר כמו רדיו לרכב מאשר הרחבה של הסמארטפון שלי.	In doing so, the feature made me feel like the Car Thing is more like a car radio rather than an extension of my smartphone.	no
מרכב ישן לרכב חכם	From an old vehicle to a smart car.	no
אחרי התקנה פיזית פשוטה למדי, חיברתי את ה-Car Thing לחשמל.	After a simple physical installation, I connected the Car Thing to the power.	no
הופתעתי לטובה מתהליך ההגדרה.	I was pleasantly surprised by the setup process.	no
ההוראות היו ברורות, החיבור לאפליקציית ספוטיפיי לקח פחות מ-5 דקות, וכמה רגעים לאחר מכן הגעתי למסך הבית.	The instructions were clear, connecting to the Spotify app took less than 5 minutes, and a few moments later I reached the home screen.	no
למעשה, המכשיר מתחבר לסמארטפון דרך בלוטות' ושולט על האפליקציה כמו שלט, ולכן יכול להעתיק ממנה את כל המידע על החשבון שלנו.	In fact, the device connects to the smartphone via Bluetooth and controls the app like a remote, therefore it can copy all the information about our account.	no
משמע, עדיין תהיו חייבים לחבר את הסמארטפון שלכם לרכב, בין אם דרך בלוטות' או דרך כבל AUX על מנת לשמוע את המוזיקה.	Meaning, you will still need to connect your smartphone to the car, whether via Bluetooth or an AUX cable, in order to listen to the music.	no
מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.	The home screen is familiar to all app users, as like the smartphone application, it emphasizes album pictures and playlists.	no
כמו כן, במסך הבית, כמו זה שבאפליקציה, תוכלו למצוא המלצות למוזיקה בהתאם לטעם שלכם, את מסך החיפוש ואת הספריה האישית שלכם.	Also, on the home screen, like in the app, you can find music recommendations according to your taste, the search screen, and your personal library.	no
כאמור, תוכלו לנווט בין המסכים השונים באמצעות מסך המגע או באמצעות המחוגה הידנית.	As mentioned, you can navigate between the different screens using the touch screen or the manual dial.	no
יתרה מכך, תוכלו בכל רגע נתון לקרוא לעוזרת הקולית של המכשיר באמצעות אמירת "היי ספוטיפיי".	Moreover, at any given moment, you can call the device's voice assistant by saying "Hey Spotify".	no
באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.	With it, you can play songs, playlists, albums and even search for podcasts.	no
מניסוני היא זיהתה די בקלות את הקול שלי גם כשהמוזיקה התנגנה ברקע והמזגן נשף ישירות על המכשיר.	From my experience, it easily recognized my voice even when music was playing in the background and the air conditioner was blowing directly on the device.	no
זאת ככל הנראה הודות לארבעת המיקרופונים שהותקנו בחלקו העליון.	This is probably thanks to the four microphones installed in its upper part.	no
חשוב לציין שכרגע העוזרת הקולית אינה תומכת בעברית, ונכון לעת פרסום הכתבה, אין מידע על מתי עדכון שכזה יגיע.	It's important to note that currently the voice assistant does not support Hebrew, and as of the time of publishing this article, there is no information on when such an update will arrive.	no
אז האם שווה לחכות לו?	So, is it worth waiting for him?	no
חוויית השימוש שלי במכשיר הייתה נהדרת, וזו הפתעה חיובית בעיניי בהתחשב בכך שהוא עדיין בשלב שחרור ראשוני.	My user experience with the device was great, and it was a positive surprise for me considering it is still in its initial release stage.	no
גם בשימוש אינטנסיבי בנסיעות ארוכות, המכשיר המשיך לעבוד בצורה חלקה מבלי להתנתק מהסמארטפון שלי.	Even with intensive use on long trips, the device continued to work smoothly without disconnecting from my smartphone.	no
בכל זאת, מדי פעם נרשם גמגום קטן בממשק, אבל אני מאמין שספוטיפיי תטפל בבאגים שכאלה עם עדכוני גרסה עתידיים.	Nevertheless, occasionally there is a minor glitch in the interface, but I believe that Spotify will address such bugs with future version updates.	no
ניכר שהחברה השבדית עבדה עליו הרבה בשנים האחרונות, ומבין הגרסאות השונות שדלפו באינטרנט בתקופה הזו, העיצוב של המוצר הסופי הוא כנראה האהוב עליי.	It's clear that the Swedish company has worked a lot on it in recent years, and among the various versions that leaked on the internet during this period, the design of the final product is probably my favorite.	no
עדיין, כשראיתי את ה-Car Thing בפעם הראשונה, תהיתי למי בדיוק החברה מנסה לייעד אותו.	Still, when I first saw the Car Thing, I wondered exactly who the company was trying to target with it.	no
הרי פעילותו מסתכמת בשליטה על האפליקציה בסמארטפון, ולא הרבה מעבר לזה.	After all, his activity is summed up in controlling the application on the smartphone, and not much beyond that.	no
מה זה שונה מלקנות מעמד לרכב בכמה שקלים ולחבר אותו כך שהסמארטפון יהיה קרוב יותר אלינו בעת נהיגה?	What's the difference between buying a car mount for a few shekels and connecting it so that the smartphone is closer to us while driving?	no
השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.	This question becomes stronger when considering that iPhone and Android devices are much more powerful than Spotify's, and most of the time they will provide the user with much more functionality.	no
למרות כל זאת, ככל שהשתמשתי ב-Car Thing יותר ויותר, הבנתי כיצד ביכולתו לשפר את חוויית הנהיגה.	Despite all this, the more I used the Car Thing, the more I understood how it could improve the driving experience.	no
היכולת לראות את ה-Waze על גבי מסך הסמארטפון שלי ולשלוט במוזיקה על גבי מסך אחר לחלוטין, זו אחת שלמדתי להעריך בשבועיים האחרונים.	The ability to see Waze on my smartphone screen and control the music on a completely different screen is something I've come to appreciate in the last two weeks.	no
שאלה אחת נותרה - האם ספוטיפיי בכלל תשיק את המכשיר לקהל הרחב?	One question remains - will Spotify even launch the device to the general public?	no
ואם כן, האם הוא יושק גם כאן במדינתנו הקטנה?	So, will it also be launched here in our small country?	no
החברה השבדית לא מספרת כרגע הרבה.	The Swedish company is not currently saying much.	no
היא אפילו לא שיתפה כמה נסיינים למכשיר היא מפעילה כרגע ברחבי העולם, וכמה היא מתכננת להוסיף בהשקה המצומצמת בארצות הברית.	She didn't even share how many trials for the device she is currently running worldwide, and how many she plans to add in the limited launch in the United States.	no
הדבר היחיד שאנו יודעים בוודאות זה המחיר שצפוי לעמוד על 79 דולרים (כ-255 שקלים).	The only thing we know for sure is that the price is expected to be 79 dollars (about 255 shekels).	no
לבינתיים, ה-Car Thing מספק הצצה ראשונית לקונספט שספוטיפיי מנסים לפצח כבר שנים.	Meanwhile, the Car Thing provides a first glimpse into the concept that Spotify has been trying to crack for years.	no
מספוטיפיי ישראל נמסר כי אין מידע כרגע על תכנית להשקת המכשיר בארץ	From Spotify Israel it was reported that there is currently no information about a plan to launch the device in the country.	no
.	.	no
גייסתם טאלנט לחברה?	Did you recruit talent for the company?	yes
ככה תשמרו שהמתחרים לא "יחטפו" לכם אותו.	This way you will ensure that competitors do not "snatch" it from you.	yes
המשק עדיין נמצא בשוק עבודה שנשלט ברובו על ידי העובדים, והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר - הטאלנטים •	The economy is still in a labor market that is mostly controlled by the workers, and this is especially true when it comes to the most sought-after workers - the talents.	yes
להלן כמה עצות שיעזרו לכם לשמור עליו במקום העבודה	Here are some tips that will help you maintain it at the workplace.	yes
.	.	no
על אף העלייה שנרשמה בחודש האחרון, שיעור האבטלה בישראל ממשיך להיות מהנמוכים בעולם, ובעשירייה הראשונה מבין מדינות ה-OECD, עם שיעור של 3.5% (150.6 אלף מובטלים, על-פי הלמ"ס).	Despite the increase recorded in the last month, the unemployment rate in Israel continues to be one of the lowest in the world, and in the top tenth among OECD countries, with a rate of 3.5% (150.6 thousand unemployed, according to the CBS).	yes
כלומר, המשק עדיין נמצא בשוק עבודה שנשלט ברובו על-ידי העובדים והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר – הטאלנטים.	In other words, the economy is still in a labor market that is mostly controlled by the workers, and this is especially true when it comes to the most sought-after workers - the talents.	yes
בכל הנוגע לאותם אנשי מקצוע ומנהלים המהווים מוקדי ידע, ניסיון ויכולת מוכחים – המגמות בשוק העבודה מלמדות כי התחרות עליהם, הטאלנטים כפי שהם מכונים על-ידי המעסיקים, עדיין קיימת במלוא הכוח.	Regarding those professionals and managers who are centers of knowledge, experience, and proven ability - the trends in the job market indicate that the competition for them, the talents as they are called by employers, still exists in full force.	yes
המשמעות של זה עבור מעסיקים היא שבמצב שוק העבודה הנוכחי אין להם את הלוקסוס של לנוח על זרי הדפנה אפילו דקה לאחר גיוסו של טאלנט נחשק, שכן ברגע שהוא יכנס בשערי החברה – חברה אחרת כבר תנסה לחטוף אותו אליה.	The implication for employers is that in the current job market, they do not have the luxury of resting on their laurels even for a minute after recruiting a desired talent, as the moment he enters the company's gates - another company will already try to snatch him away.	yes
כלומר, התחרות על הטאלנטים כה עזה שרבים שגם לאחר גיוסם הם ימשיכו לקבל שלל הצעות עבודה מפתות, כאשר 30% מהעובדים אכן עוזבים כחודש בלבד מקבלת המשרה ותחילת העבודה.	In other words, the competition for talents is so fierce that many will continue to receive a variety of tempting job offers even after they have been hired, with 30% of employees indeed leaving just a month after accepting the job and starting work.	yes
זו הסיבה שמעסיקים נבונים יעברו באופן מידי משלב גיוס הטאלנט לשלב השימור שלו, כאשר הדרך מתחיל בראש ובראשונה בהיערכות מראש ונקיטת יצירתיות כבר בתהליך הקליטה שלו.	That's why smart employers will immediately transition from the talent recruitment stage to its retention stage, starting primarily with advanced preparation and creativity already in the onboarding process.	no
תהליך קליטה יעיל, מובנה ומתחשב יגרום לטאלנט להתלהב ממקום העבודה החדש שלו כבר מהיום הראשון ואף לצפות לבאות.	An efficient, thoughtful and well-structured onboarding process will make the talent excited about their new workplace from the first day and even look forward to the future.	no
להלן מספר עצות כיצד להיערך ולנהל תהליך קליטה נכון שיסייע בשימורו של הטאלנט החדש:	Here are some tips on how to prepare and manage a proper onboarding process that will help retain the new talent:	no
זה לא סוד - שיתוף ומוכנות הארגון |	It's no secret - the organization's collaboration and readiness.	no
שתפו את הגורמים שיעבדו איתו על גיוסו, הסבירו להם מדוע הוא חיוני וחשוב לחברה ולתפקיד, וכיצד אתם רואים את תרומתו.	Share with the stakeholders who will work with him on his recruitment, explain to them why he is vital and important to the company and the role, and how you see his contribution.	no
עובד חדש שמגיע למקום בו מצפים לו ומבינים את ערכו, ירגיש רצוי וישאף להוכיח את הציפיות שתולים בן.	A new employee who arrives at a place where he is expected and his value is understood, will feel wanted and will strive to meet the expectations placed on him.	no
ידע הוא כוח - תיאום ציפיות |	Knowledge is power - coordinating expectations.	no
כבר ביום הראשון ערכו עם הטאלנט שיחת תיאום ציפיות.	On the first day, they had an expectation coordination conversation with the talent.	no
הכירו את הרקע המקצועי שלו ובדקו איפה הוא רואה את עצמו בעתיד, כדי שתוכלו להציג לו את הכלים המגוונים והייחודיים שאתם ומקום העבודה יכולים לספק לו כדי להגיע לשם.	Get to know his professional background and check where he sees himself in the future, so you can present him with the diverse and unique tools that you and the workplace can provide him to get there.	no
כולנו אנשים – הכרות אישית |	We are all people - Personal acquaintance |	no
במהלך ימי הקליטה נסו להכיר את הטאלנט מעבר לתכונותיו המקצועיות והתעניינו בתחביבים ובתחומי העניין שלו.	During the onboarding days, they tried to get to know the talent beyond his professional qualities and were interested in his hobbies and areas of interest.	no
עובד חדש שמגלים בו עניין ומאפשרים לו לממש ולבטא את עצמו מעבר לגבולות תפקידו יעריך זאת וירצה לשמור על כך.	A new employee who is shown interest and allowed to express and realize himself beyond his role will appreciate it and want to maintain it.	no
הסקרנות מקדמת |	Curiosity promotes |	no
כבר בשלב הקליטה אתם יכולים ליצור אטרקטיביות שתגרום לטאלנט לרצות להשתלב מהר.	Already at the recruitment stage, you can create attractiveness that will make the talent want to integrate quickly.	no
עשו זאת לאו דווקא על-ידי שיח של בונוסים והטבות, אלא על-ידי חשיפתו לתחום מלהיב או לטכנולוגיה מעניינת, שכן גירויים מסוג זה ליצירתיות מובילים לסקרנות ולעניין גובר במקום העבודה.	They did this not necessarily through a discourse of bonuses and benefits, but by exposing him to an exciting field or interesting technology, as such stimuli for creativity lead to curiosity and increased interest in the workplace.	no
כמו כן, עודדו את הטאלנט להשמיע את מחשבותיו ודעותיו לפרויקטים השונים בחברה והבהירו לו שהן חשובות לארגון.	Also, they encouraged the talent to voice his thoughts and opinions on the various projects in the company, making it clear that they are important to the organization.	no
הכותבת הינה מנכ"לית Manpower ישראל – חברת ההשמה וכוח האדם הגדולה בישראל	The author is the CEO of Manpower Israel - the largest recruitment and human resources company in Israel.	no
חשמול בכיס: עלות אי־סגירת התחנות הפחמיות ביוני - מיליארד שקלים	Electricity in the pocket: The cost of not closing the coal plants in June - one billion shekels.	yes
דו"ח של מרכז המחקר והמידע של הכנסת: אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד  שקלים	A report from the Knesset's Research and Information Center: The estimated cost of not closing the coal stations by the set date in June 2022 is about one billion shekels.	yes
• חברת החשמל: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה"	The Electric Company: "The policy of fuel usage is primarily dictated by the Ministry of Energy."	yes
.	.	no
העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו"ח של מרכז המחקר והמידע של הכנסת.	The economic cost of not closing the coal stations by the set date in June 2022 is estimated at about one billion shekels for the year 2022, as revealed by a report from the Research and Information Center of the Knesset.	yes
לפי הדו"ח, עלות זו מגולמת בתעריף החשמל לצרכן, שכאמור צפוי לעלות בחודשים הקרובים בגלל התייקרות הפחם.	According to the report, this cost is reflected in the electricity tariff for consumers, which is expected to rise in the coming months due to the increase in coal prices.	yes
נוסף על כך, ב־2023 צפויה כמות עודפת נוספת של שימוש בפחם של כ־900 אלף טונות, כך שהדבר יתבטא בעלות נוספת למשק החשמל בגין אי־סגירת התחנות הפחמיות, בהנחה שמחיר הגז הטבעי יישאר נמוך משמעותית ביחס למחיר הפחם.	In addition, in 2023, there is expected to be an additional surplus of about 900,000 tons of coal usage, which will result in additional costs to the electricity market due to the non-closure of coal plants, assuming that the price of natural gas will remain significantly lower than the price of coal.	yes
בדו"ח נכתב כי המשמעות של הפחתת כמיליארד שקלים בתעריף החשמל ב־2022 היתה הפחתה של כ־4% בתעריף צריכת החשמל לצרכן הביתי.	The report stated that a reduction of about one billion shekels in the electricity tariff in 2022 would mean a reduction of about 4% in the electricity consumption tariff for the domestic consumer.	yes
כלומר, העלות הכלכלית של אי־סגירת התחנות היא כמיליארד שקלים, וסך ההוזלה שהיתה יכולה להיות לצרכן הביתי היא כ־4%.	In other words, the economic cost of not closing the stations is about a billion shekels, and the total discount that could have been for the domestic consumer is about 4%.	yes
יש לציין כי במסגרת הרפורמה במשק החשמל הוחלט בין היתר על הקמת חברה־בת של חברת החשמל, אשר תקים יחידות המופעלות בגז טבעי, שנועדו להחליף את היחידות הפחמיות 4-1 באתר אורות רבין.	It should be noted that as part of the electricity market reform, among other things, it was decided to establish a subsidiary of the Electric Company, which will build units powered by natural gas, intended to replace coal units 1-4 at the Orot Rabin site.	yes
בהמשך להחלטה זו התקבלה החלטת ממשלה ביולי 2018, הקובעת כי יש להפסיק את פעילותן של יחידות הייצור הפחמיות 4-1 בתחנת הכוח אורות רבין.	Following this decision, a government resolution was adopted in July 2018, stating that the operation of coal production units 1-4 at the Orot Rabin power station should be ceased.	no
בהחלטה נקבעו לוחות זמנים, כך שהקמת היחידה הראשונה בגז טבעי תחל בינואר 2020 והפעלתה תחל ביוני 2022, ובהתאם לכך גם יחידות הייצור הפחמיות 4-1 יפסיקו לפעול במועד זה.	The decision set timelines, so the construction of the first natural gas unit will begin in January 2020 and its operation will start in June 2022, and accordingly, the coal production units 1-4 will also cease to operate at this time.	no
מחברת החשמל נמסר בתגובה: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה.	The Electric Company responded: "The policy of fuel usage is primarily dictated by the Ministry of Energy.	no
בהתאם להחלטות המשרד, מיושמת בישראל זה כמה שנים מדיניות של צמצום השימוש בפחם למינימום האפשרי גם כאשר מחיר הפחם נמוך ממחיר הגז".	In accordance with the ministry's decisions, a policy of minimizing the use of coal to the lowest possible level has been implemented in Israel for several years, even when the price of coal is lower than the price of gas.	no
משלמים את המחיר: כל מה שצריך לדעת לקראת עליית הריבית	Paying the price: Everything you need to know ahead of the interest rate hike.	yes
גזירות ללא הרף: בשבוע הבא הריבית על השקל צפויה לעלות בחצי אחוז •	Continuous cuts: Next week, the interest rate on the shekel is expected to rise by half a percent.	yes
בכמה יתייקר התשלום על המשכנתא?	How much will the mortgage payment increase?	yes
ומה מומלץ לעשות? •	And what is recommended to do? •	yes
כל התשובות	All the answers.	yes
האינפלציה המחריפה בישראל, שכבר הגיעה לקצב של יותר מ־4% בשנה האחרונה, תאלץ את בנק ישראל להעלות את הריבית על השקל כבר בשבוע הבא.	The sharp inflation in Israel, which has already reached a rate of over 4% in the last year, will force the Bank of Israel to raise the interest rate on the shekel as early as next week.	yes
הערכות האנליסטים מדברות על שיעור העלאה שנע בין 0.25% ל־0.5%.	The analysts' estimates talk about an increase rate ranging between 0.25% to 0.5%.	yes
אם אכן תעלה הריבית בשיעור של חצי אחוז, היא תעמוד כבר על 1.25%, הרמה הגבוהה זה תשע שנים.	If indeed the interest rate increases by half a percent, it will already stand at 1.25%, the highest level in nine years.	yes
זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.	This, after for years the interest rate in the economy was close to zero.	yes
העלייה החדה בשיעור הריבית מייקרת במאות שקלים את החזרי המשכנתאות ומכבידה בצורה דרסטית על משקי הבית.	The sharp increase in the interest rate significantly raises the mortgage repayments by hundreds of shekels and drastically burdens the household economy.	yes
בעזרת שי צרור, מומחה למשכנתאות, בדקנו כמה נשלם יותר ומה מומלץ לעשות כבר עכשיו.	With the help of Shai Tzror, a mortgage expert, we checked how much more we will pay and what is recommended to do right now.	no
