בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three cheetah cubs were born in Iran.	yes
בחודש ינואר האחרון אמר סגן השר לענייני סביבה באיראן, חסן אכברי, כי אוכלוסיית הברדלסים במדינה הצטמצמה באופן דרמטי מ-100 ברדלסים בשנת 2010 ל-12 ברדלסים בלבד.	Last January, Iran's deputy environment minister, Hassan Akbari, said Iran's cheetah population had dramatically reduced from 100 cheetahs in 2010 to just 12 cheetahs in the country.	no
"המצב שלהם חמור באופן קיצוני", אמר אכברי וציין כי הברדלסים נפלו קורבן לבצורת באזורי המחיה שלהם, לציד ואף לתאונות דרכים.	"Their situation is extremely serious, " Akbari said, noting that cheetahs have fallen victim to drought in their living areas, hunting and even traffic accidents.	no
הברדלס נחשב לחיה המהירה בעולם שמסוגלת להגיע למהירות של כ-100 קמ"ש.	The cheetah is considered the fastest animal in the world capable of reaching speeds of about 100 km/h ( 75 mph) .	no
את הברדלסים ניתן למצוא במקומות שונים על פני הגלובוס, מהודו ועד סנגל שבמערב אפריקה.	Cheetahs can be found in various places around the globe, from India to Senegal in West Africa.	no
ספוטיפיי רוצה לשדרג לכם את הרכב: בדקנו את ה-Car Thing	Spotify wants to upgrade your car: We tested the Car Thing.	yes
בשקט בשקט, ספוטיפיי החלה לנסות את מזלה גם בעולם החומרה •	Quietly, Spotify began to try its luck in the world of hardware as well.	yes
אחרי שנים של פיתוח - Car Thing נחשף והושק כניסוי קטן בארה"ב •	After years of development, Car Thing was revealed and launched as a small experiment in the USA•	yes
שמנו יד על המכשיר הראשון בישראל •	We got our hands on the first device in Israel•	yes
החזון: להפוך את הרכבים הישנים שלכם לחכמים	Vision: Make your old vehicles smart.	yes
ה-Car Thing הוא מוצר החומרה הראשון של ספוטיפיי, ונבנה במיוחד על מנת לספק פתרון לאנשים בעלי רכבים ישנים.	The Car Thing is Spotify's first hardware product, built specifically to provide a solution for people who own older cars.	yes
לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה"ב, כאן בישראל.	A few weeks ago, I got an initial opportunity to try the new product, which is currently only available to individual experimenters in the US, here in Israel, and now in Israel.	yes
עבורי, הטיימינג של המשלוח היה יוצא מן הכלל, שכן הרכב הביתי שלנו התקלקל ונאלצנו לנהוג במשך כמה ימים עם רכב חליפי בעל מערכת ישנה.	For me, the timing of the delivery was outstanding, as our home car broke down and we had to drive for several days with a replacement vehicle with an old system.	yes
אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.	After two weeks of playing around, I realized how the Car Thing could easily become an integral part of many people's systems.	yes
ומנגד, עם רשימת המתנה ארוכה וחוסר וודאות בנוגע להשקה עולמית, אני מאמין שרבים יעדיפו כבר להשתמש בפתרונות אחרים.	On the other hand, with a long waiting list and uncertainty regarding a global launch, I believe that many will already prefer to use other solutions.	yes
מרעיון למציאות	From idea to reality, it's from reality.	no
אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.	Somewhere in 2018, Spotify users began to receive an interesting offer in their email inbox  the possibility of purchasing a new device with voice control and fourth-generation connectivity, which will make any old car system smart, making any old car system smart and smart.	no
השמועות אט אט דעכו עד שנה לאחר מכן, כשאתר Financial Times חשף כי החברה מתכננת להציג בקרוב מוצר חדש לרכב המדמה רדיו חכם עם חיבוריות בלוטות'.	The rumors slowly faded until a year later, when the Financial Times website revealed that the company plans to soon introduce a new car product that simulates a smart radio with Bluetooth connectivity.	no
כמה חודשים לאחר מכן, השמועות הללו חזרו שוב לכותרות אחרי ששירות המוזיקה התעדכן עם מצב הרכב - אותו אחד שאנו מכירים כיום מהאפליקציה - המופעל ברגע שהסמארטפון מזהה חיבור למערכת באוטו.	A few months later, these rumors made headlines again after the music service updated with the vehicle mode - the same one we know today from the app - which is activated as soon as the smartphone detects a connection to the system in the car in the car.	no
שנתיים עברו מאז.	Two years have passed since then.	no
אחרי אינספור שמועות והדלפות, ספוטיפיי חשפה בחודש אפריל האחרון את "Car Thing", המערכת החכמה שלה לכלי רכב.	After countless rumors and leaks, Spotify unveiled Car Thing, its smart car system, in April.	no
ספוטיפיי בחרה לשחרר את המכשיר החדש באופן מוגבל מאוד, עם רשימת המתנה ארוכה ועיכובים רבים בכל הנוגע למשלוחים.	Spotify chose to release the new device in a very limited way, with a long waiting list and many delays when it comes to deliveries.	no
אז כמובן, מיד אחרי מסיבת העיתונאים שקיימה, נכנסתי לאתר ונרשמתי.	So of course, right after the press conference she held, I went to the website and signed up.	no
חודשיים לאחר מכן, ההודעה המיוחלת הגיעה.	Two months later, the long-awaited announcement arrived.	no
התחברות מחודשת לאתר תקנה לי את האפשרות לרכוש את המכשיר עם הפתעה קטנה - הוא לא יעלה לי דבר.	Reconnecting to the site will give me the opportunity to purchase the device with a small surprise - it won't cost me anything.	no
אחרי חודש נוסף של המתנה, השליח סוף סוף דפק לי בדלת, מלווה בקופסה קטנה עם הלוגו של ספוטיפיי עליה.	After another month of waiting, the courier finally knocked on my door, accompanied by a small box with the Spotify logo on it.	no
ה-Car Thing	The Car Thing is the one.	no
בראש ובראשונה, המכשיר של ספוטיפיי הרשים אותי מאוד באיכות הבנייה שלו.	First and foremost, Spotify's device impressed me greatly with its build quality.	no
וא מעט יותר קטן מהאייפון 11 שלי וכולל בקדמתו מסך מגע גדול, בהיר וחד משציפיתי.	And it's slightly smaller than my iPhone 11 and has a big, bright and sharp touch screen on the front than I expected.	no
כמו כן, תוכלו למצוא לצד המסך כפתור עגול וחוגה שתוכלו לסובב כדי לנווט בין מסכי הממשק.	Also, you will find next to the screen a round button and a dial that you can rotate to navigate between the interface screens.	no
ולמרות החוגה הענקית, אותה אתם יכולים לראות בתמונות, ה-Car Thing מצליח לשמור על פרופיל דקיק יחסית ולא לבלוט יותר מדי מהדשבורד.	And despite the huge dial, which you can see in the pictures, the Car Thing manages to maintain a relatively thin profile and not stand out too much from the dashboard.	no
באופן אישי, הייתי מעדיף שהחברה תאפשר לשנות את פעילות החוגה על מנת שאוכל לשלוט בווליום של הסמארטפון, שכן אני יכול לנווט גם באמצעות מסך המגע.	Personally, I would prefer the company to allow changing the activity of the dial so that I can control the volume of the smartphone, since I can also navigate using the touch screen.	no
אולי זה יתאפשר בעדכון גרסה עתידי.	Perhaps this will be possible in a future version update.	no
המכשיר מגיע בקופסת קרטון קטנה ומינימליסטית, הכוללת בין היתר כבל USB Type C ומתאמים שונים להתקנתו.	The device comes in a small, minimalist cardboard box, which includes, among other things, a USB Type C cable and various adapters for its installation.	no
רבים מכם בטח זוכרים כיצד בעבר היינו נוהגים לנתק את מכשירי הרדיו ולהחביא אותם במגירה אחרי היציאה מהרכב.	Many of you probably remember how in the past we used to disconnect the radios and hide them in a drawer after leaving the car from the car.	no
ה-Car Thing ללא ספק מחזיר את ההרגשה הזאת עם צורת הבנייה שלו.	The Car Thing undoubtedly brings that feeling back with its construction form.	no
כלל המתאמים התחברו לגוף המכשיר באמצעות מגנט שהיה חזק מאוד, מה שמנע ממנו ליפול גם בעת נסיעה על כבישי עפר.	All adapters were connected to the body of the device using a magnet that was very strong, which prevented it from falling even when driving on dirt roads.	no
נוסף על כך, לאורך כל חלקו העליון ניתן למצוא כפתורים קטנים, אותם אפשר להגדיר בקלות להפעלת פלייליסטים שונים או פודקאסטים.	On top of that, along the entire top you can find small buttons, which you can easily set up to play different playlists or podcasts.	no
באמצעות לחיצה ארוכה על אחד מהכפתורים בזמן השמיעה, או באמצעות בקשה מהעוזרת הקולית, הגדרתי כמה פלייליסטים שאני שומע באופן תכוף ואת תכנית הרדיו שאני מאזין לה מדי בוקר בדרכים.	By long pressing one of the buttons while listening, or by asking my voice assistant, I set up some playlists that I listen to frequently and the radio show that I listen to every morning on the go.	no
בכך, הפיצ'ר גרם לי להרגיש שה-Car Thing הוא יותר כמו רדיו לרכב מאשר הרחבה של הסמארטפון שלי.	In doing so, the feature made me feel that the Car Thing is more like a car radio than an extension of my smartphone.	no
מרכב ישן לרכב חכם	An old automobile for a smart car.	no
אחרי התקנה פיזית פשוטה למדי, חיברתי את ה-Car Thing לחשמל.	After a fairly simple physical setup, I plugged the Car Thing in.	no
הופתעתי לטובה מתהליך ההגדרה.	I was pleasantly surprised by the setup process.	no
ההוראות היו ברורות, החיבור לאפליקציית ספוטיפיי לקח פחות מ-5 דקות, וכמה רגעים לאחר מכן הגעתי למסך הבית.	The instructions were clear, connecting to the Spotify app took less than 5 minutes, and a few moments later I reached the home screen.	no
למעשה, המכשיר מתחבר לסמארטפון דרך בלוטות' ושולט על האפליקציה כמו שלט, ולכן יכול להעתיק ממנה את כל המידע על החשבון שלנו.	In fact, the device connects to the smartphone via Bluetooth and controls the application like a remote control, and therefore can copy all the information about our account from it.	no
משמע, עדיין תהיו חייבים לחבר את הסמארטפון שלכם לרכב, בין אם דרך בלוטות' או דרך כבל AUX על מנת לשמוע את המוזיקה.	That means you'll still have to connect your smartphone to your car, either via Bluetooth or AUX cable in order to hear the music.	no
מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.	The home screen is familiar to all users of the application, since like the application on the smartphone, it emphasizes the photos of the albums and the playlists.	no
כמו כן, במסך הבית, כמו זה שבאפליקציה, תוכלו למצוא המלצות למוזיקה בהתאם לטעם שלכם, את מסך החיפוש ואת הספריה האישית שלכם.	Also, on the home screen, like the one in the app, you can find music recommendations according to your taste, the search screen and your personal library.	no
כאמור, תוכלו לנווט בין המסכים השונים באמצעות מסך המגע או באמצעות המחוגה הידנית.	As mentioned above, you can navigate between the different screens using the touch screen or using the manual dial.	no
יתרה מכך, תוכלו בכל רגע נתון לקרוא לעוזרת הקולית של המכשיר באמצעות אמירת "היי ספוטיפיי".	Moreover, at any given moment, you can call the device's voice assistant by saying "Hey Spotify" by saying "Hey Spotify".	no
באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.	Using it, you can play songs, playlists, albums and even search for podcasts.	no
מניסוני היא זיהתה די בקלות את הקול שלי גם כשהמוזיקה התנגנה ברקע והמזגן נשף ישירות על המכשיר.	In my experience, she recognized my voice quite easily even when the music was playing in the background and the air conditioner blew directly on the device.	no
זאת ככל הנראה הודות לארבעת המיקרופונים שהותקנו בחלקו העליון.	This is probably thanks to the four microphones installed at the top.	no
חשוב לציין שכרגע העוזרת הקולית אינה תומכת בעברית, ונכון לעת פרסום הכתבה, אין מידע על מתי עדכון שכזה יגיע.	It is important to note that at the moment the voice assistant does not support Hebrew, and as of the time of publication of the article, there is no information on when such an update will arrive.	no
אז האם שווה לחכות לו?	So, is it worth waiting for him?	no
חוויית השימוש שלי במכשיר הייתה נהדרת, וזו הפתעה חיובית בעיניי בהתחשב בכך שהוא עדיין בשלב שחרור ראשוני.	My experience using the device has been great, which is a positive surprise to me given that it is still in the initial release phase.	no
גם בשימוש אינטנסיבי בנסיעות ארוכות, המכשיר המשיך לעבוד בצורה חלקה מבלי להתנתק מהסמארטפון שלי.	Even in intensive use on long trips, the device continued to work smoothly without disconnecting from my smartphone.	no
בכל זאת, מדי פעם נרשם גמגום קטן בממשק, אבל אני מאמין שספוטיפיי תטפל בבאגים שכאלה עם עדכוני גרסה עתידיים.	Still, occasionally a small stutter is recorded in the interface, but I believe Spotify will address such bugs with future version updates.	no
ניכר שהחברה השבדית עבדה עליו הרבה בשנים האחרונות, ומבין הגרסאות השונות שדלפו באינטרנט בתקופה הזו, העיצוב של המוצר הסופי הוא כנראה האהוב עליי.	It is evident that the Swedish company has worked on it a lot in recent years, and among the different versions that leaked online during this period, the design of the final product is probably my favorite.	no
עדיין, כשראיתי את ה-Car Thing בפעם הראשונה, תהיתי למי בדיוק החברה מנסה לייעד אותו.	Still, when I saw the Car Thing for the first time, I wondered to whom exactly the company was trying to designate it for.	no
הרי פעילותו מסתכמת בשליטה על האפליקציה בסמארטפון, ולא הרבה מעבר לזה.	After all, his activity amounts to controlling the application on a smartphone, and not much beyond that.	no
מה זה שונה מלקנות מעמד לרכב בכמה שקלים ולחבר אותו כך שהסמארטפון יהיה קרוב יותר אלינו בעת נהיגה?	What is different from buying a car stand for a few shekels and connecting it so that the smartphone will be closer to us when driving.	no
השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.	This question is reinforced when considering that iPhones and Android devices are much more powerful than Spotify's, and in most cases will give the user much more functionality.	no
למרות כל זאת, ככל שהשתמשתי ב-Car Thing יותר ויותר, הבנתי כיצד ביכולתו לשפר את חוויית הנהיגה.	Despite all this, as I used Car Thing more and more, I realized how it could improve the driving experience.	no
היכולת לראות את ה-Waze על גבי מסך הסמארטפון שלי ולשלוט במוזיקה על גבי מסך אחר לחלוטין, זו אחת שלמדתי להעריך בשבועיים האחרונים.	Being able to see Waze on my smartphone screen and control music on a completely different screen is one I've come to appreciate over the past two weeks.	no
שאלה אחת נותרה - האם ספוטיפיי בכלל תשיק את המכשיר לקהל הרחב?	One question remains  will Spotify even launch the device to the general public?	no
ואם כן, האם הוא יושק גם כאן במדינתנו הקטנה?	And if so, will it also be launched here in our small country?	no
החברה השבדית לא מספרת כרגע הרבה.	The Swedish company doesn't say much at the moment.	no
היא אפילו לא שיתפה כמה נסיינים למכשיר היא מפעילה כרגע ברחבי העולם, וכמה היא מתכננת להוסיף בהשקה המצומצמת בארצות הברית.	It hasn't even shared how many experimenters for the device it currently operates around the world, and how much it plans to add in its limited launch in the United States.	no
הדבר היחיד שאנו יודעים בוודאות זה המחיר שצפוי לעמוד על 79 דולרים (כ-255 שקלים).	The only thing we know for sure is the price that is expected to be 79 dollars ( about NIS 255) .	no
לבינתיים, ה-Car Thing מספק הצצה ראשונית לקונספט שספוטיפיי מנסים לפצח כבר שנים.	Meanwhile, the Car Thing provides an initial glimpse into a concept Spotify has been trying to crack for years.	no
מספוטיפיי ישראל נמסר כי אין מידע כרגע על תכנית להשקת המכשיר בארץ	Spotify Israel said there is currently no information about a plan to launch the device in Israel.	no
.		no
גייסתם טאלנט לחברה?	You recruited talent for the company.	yes
ככה תשמרו שהמתחרים לא "יחטפו" לכם אותו.	That's how you'll keep your competitors from "hijacking" it from you guys.	yes
המשק עדיין נמצא בשוק עבודה שנשלט ברובו על ידי העובדים, והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר - הטאלנטים •	The economy is still in a labor market that is largely dominated by workers, and this is doubly true when it comes to the most desirable workers  talent.	yes
להלן כמה עצות שיעזרו לכם לשמור עליו במקום העבודה	Here are some tips to help you maintain it in the workplace.	yes
.		no
על אף העלייה שנרשמה בחודש האחרון, שיעור האבטלה בישראל ממשיך להיות מהנמוכים בעולם, ובעשירייה הראשונה מבין מדינות ה-OECD, עם שיעור של 3.5% (150.6 אלף מובטלים, על-פי הלמ"ס).	Despite the increase recorded in the past month, the unemployment rate in Israel continues to be among the lowest in the world, and in the top ten among the OECD countries, with a rate of 3, with a rate of 3, the first among the OECD countries. 5% ( 150) 6, 000 unemployed, according to the CBS) .	yes
כלומר, המשק עדיין נמצא בשוק עבודה שנשלט ברובו על-ידי העובדים והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר – הטאלנטים.	That is, the economy is still in a labor market that is largely dominated by workers, and this is doubly true when it comes to the most desirable workers  the Talents.	yes
בכל הנוגע לאותם אנשי מקצוע ומנהלים המהווים מוקדי ידע, ניסיון ויכולת מוכחים – המגמות בשוק העבודה מלמדות כי התחרות עליהם, הטאלנטים כפי שהם מכונים על-ידי המעסיקים, עדיין קיימת במלוא הכוח.	With regard to those professionals and managers who are proven centers of knowledge, experience and ability  the trends in the labor market teach that competition for them, the talents as they are called by employers, still exists in full force.	yes
המשמעות של זה עבור מעסיקים היא שבמצב שוק העבודה הנוכחי אין להם את הלוקסוס של לנוח על זרי הדפנה אפילו דקה לאחר גיוסו של טאלנט נחשק, שכן ברגע שהוא יכנס בשערי החברה – חברה אחרת כבר תנסה לחטוף אותו אליה.	This means for employers that in the current state of the labor market, they do not have the luxury of resting on their laurels even a minute after recruiting a desirable talent, since once he enters the company gates  another company will already try to kidnap him at that point.	yes
כלומר, התחרות על הטאלנטים כה עזה שרבים שגם לאחר גיוסם הם ימשיכו לקבל שלל הצעות עבודה מפתות, כאשר 30% מהעובדים אכן עוזבים כחודש בלבד מקבלת המשרה ותחילת העבודה.	In other words, the competition for talent is so fierce that even after their recruitment they will continue to receive a variety of tempting job offers, with 30% of employees actually leaving only a month after receiving the job and starting work, only when the job begins.	yes
זו הסיבה שמעסיקים נבונים יעברו באופן מידי משלב גיוס הטאלנט לשלב השימור שלו, כאשר הדרך מתחיל בראש ובראשונה בהיערכות מראש ונקיטת יצירתיות כבר בתהליך הקליטה שלו.	This is why wise employers will immediately move from the phase of recruiting talent to its preservation phase, when the path begins, first and foremost, with preparation in advance and taking creativity already in its absorption process.	no
תהליך קליטה יעיל, מובנה ומתחשב יגרום לטאלנט להתלהב ממקום העבודה החדש שלו כבר מהיום הראשון ואף לצפות לבאות.	An efficient, structured and thoughtful onboarding process will make Talent enthusiastic about its new workplace from day one and even look forward to the next.	no
להלן מספר עצות כיצד להיערך ולנהל תהליך קליטה נכון שיסייע בשימורו של הטאלנט החדש:	Here are some tips on how to prepare and manage a proper absorption process that will help preserve the new talent:	no
זה לא סוד - שיתוף ומוכנות הארגון |	It's no secret- the organization's willingness and willingness to share.	no
שתפו את הגורמים שיעבדו איתו על גיוסו, הסבירו להם מדוע הוא חיוני וחשוב לחברה ולתפקיד, וכיצד אתם רואים את תרומתו.	Share with the people who will work with him on his recruitment, explain to them why he is vital and important to the company and the position, and how you see his contribution.	no
עובד חדש שמגיע למקום בו מצפים לו ומבינים את ערכו, ירגיש רצוי וישאף להוכיח את הציפיות שתולים בן.	A new employee who arrives at a place where he is expected and understands his value will feel desirable and will strive to prove the expectations placed by a son.	no
ידע הוא כוח - תיאום ציפיות |	Knowledge is power  coordinating expectations |	no
כבר ביום הראשון ערכו עם הטאלנט שיחת תיאום ציפיות.	Already on the first day, a conversation was held with the talent to coordinate expectations.	no
הכירו את הרקע המקצועי שלו ובדקו איפה הוא רואה את עצמו בעתיד, כדי שתוכלו להציג לו את הכלים המגוונים והייחודיים שאתם ומקום העבודה יכולים לספק לו כדי להגיע לשם.	Get to know his professional background and see where he sees himself in the future, so you can show him the diverse and unique tools that you and the workplace can provide him with to get there.	no
כולנו אנשים – הכרות אישית |	We are all people  personal acquaintance |	no
במהלך ימי הקליטה נסו להכיר את הטאלנט מעבר לתכונותיו המקצועיות והתעניינו בתחביבים ובתחומי העניין שלו.	During the days of absorption try to get to know the talent beyond his professional qualities and take an interest in his hobbies and interests.	no
עובד חדש שמגלים בו עניין ומאפשרים לו לממש ולבטא את עצמו מעבר לגבולות תפקידו יעריך זאת וירצה לשמור על כך.	A new employee who shows interest in him and allows him to realize and express himself beyond the boundaries of his position will appreciate it and will want to maintain it.	no
הסקרנות מקדמת |	Curiosity advances |	no
כבר בשלב הקליטה אתם יכולים ליצור אטרקטיביות שתגרום לטאלנט לרצות להשתלב מהר.	Already in the absorption phase, you can create an attractiveness that will make the talent want to integrate quickly.	no
עשו זאת לאו דווקא על-ידי שיח של בונוסים והטבות, אלא על-ידי חשיפתו לתחום מלהיב או לטכנולוגיה מעניינת, שכן גירויים מסוג זה ליצירתיות מובילים לסקרנות ולעניין גובר במקום העבודה.	Do this not necessarily by talking about bonuses and benefits, but by exposing it to an exciting field or interesting technology, as such stimuli for creativity lead to curiosity and growing interest in the workplace.	no
כמו כן, עודדו את הטאלנט להשמיע את מחשבותיו ודעותיו לפרויקטים השונים בחברה והבהירו לו שהן חשובות לארגון.	In addition, encourage the talent to voice his thoughts and opinions for the various projects in the company and make it clear to him that they are important to the organization.	no
הכותבת הינה מנכ"לית Manpower ישראל – חברת ההשמה וכוח האדם הגדולה בישראל	The author is the CEO of Manpower Israel  the largest placement and manpower company in Israel.	no
חשמול בכיס: עלות אי־סגירת התחנות הפחמיות ביוני - מיליארד שקלים	Electrification in your pocket: The cost of not closing the coal-fired stations in June  NIS 1 billion.	yes
דו"ח של מרכז המחקר והמידע של הכנסת: אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד  שקלים	Report of the Knesset Research and Information Center: The failure to close the coal-fired stations on the date set in June 2022 is estimated at NIS 1 billion.	yes
• חברת החשמל: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה"	• Israel Electric Corporation: "The policy on the use of fuels is dictated first and foremost by the Ministry of Energy"	yes
.		no
העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו"ח של מרכז המחקר והמידע של הכנסת.	The economic cost of not closing the coal-fired stations on the date set in June 2022 is estimated at NIS 1 billion for 2022, according to a report by the Knesset Research and Information Center, the Knesset Research and Information Center.	yes
לפי הדו"ח, עלות זו מגולמת בתעריף החשמל לצרכן, שכאמור צפוי לעלות בחודשים הקרובים בגלל התייקרות הפחם.	According to the report, this cost is embodied in the consumer electricity tariff, which, as mentioned, is expected to increase in the coming months due to the increase in the price of coal.	yes
נוסף על כך, ב־2023 צפויה כמות עודפת נוספת של שימוש בפחם של כ־900 אלף טונות, כך שהדבר יתבטא בעלות נוספת למשק החשמל בגין אי־סגירת התחנות הפחמיות, בהנחה שמחיר הגז הטבעי יישאר נמוך משמעותית ביחס למחיר הפחם.	In addition, in 2023, an additional excess of coal use of about 900, 000 tons is expected, so that this will be reflected in an additional cost to the electricity sector for not closing the coal-fired stations, assuming that the price of natural gas remains significantly lower than the price of coal-fired gas.	yes
בדו"ח נכתב כי המשמעות של הפחתת כמיליארד שקלים בתעריף החשמל ב־2022 היתה הפחתה של כ־4% בתעריף צריכת החשמל לצרכן הביתי.	The report states that the NIS 1 billion reduction in the electricity tariff in 2022 meant a 4% reduction in the electricity consumption tariff for the home consumer.	yes
כלומר, העלות הכלכלית של אי־סגירת התחנות היא כמיליארד שקלים, וסך ההוזלה שהיתה יכולה להיות לצרכן הביתי היא כ־4%.	That is, the economic cost of not closing the stations is about NIS 1 billion, and the total reduction that could have been for the home consumer is about 4%, that is.	yes
יש לציין כי במסגרת הרפורמה במשק החשמל הוחלט בין היתר על הקמת חברה־בת של חברת החשמל, אשר תקים יחידות המופעלות בגז טבעי, שנועדו להחליף את היחידות הפחמיות 4-1 באתר אורות רבין.	It should be noted that as part of the reform in the electricity sector, it was decided, among other things, to establish a subsidiary of the IEC, which will build units powered by natural gas, intended to replace the coal-fired units 1-4 at the Orot Rabin site.	yes
בהמשך להחלטה זו התקבלה החלטת ממשלה ביולי 2018, הקובעת כי יש להפסיק את פעילותן של יחידות הייצור הפחמיות 4-1 בתחנת הכוח אורות רבין.	Further to this decision, a government decision was made in July 2018, stating that the 4-1 coal-fired production units at the Orot Rabin power plant should be discontinued.	no
בהחלטה נקבעו לוחות זמנים, כך שהקמת היחידה הראשונה בגז טבעי תחל בינואר 2020 והפעלתה תחל ביוני 2022, ובהתאם לכך גם יחידות הייצור הפחמיות 4-1 יפסיקו לפעול במועד זה.	Schedules have been set in the decision, so that the construction of the first natural gas unit will begin in January 2020 and operation will begin in June 2022, and accordingly, the coal-fired production units 1-4 will also cease to operate at that time.	no
מחברת החשמל נמסר בתגובה: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה.	The IEC said in response: “ The policy on the use of fuels is dictated first and foremost by the Department of Energy.	no
בהתאם להחלטות המשרד, מיושמת בישראל זה כמה שנים מדיניות של צמצום השימוש בפחם למינימום האפשרי גם כאשר מחיר הפחם נמוך ממחיר הגז".	In accordance with the ministry's decisions, a policy of reducing the use of coal to the minimum possible has been implemented in Israel for several years, even when the price of coal is lower than the price of gas.	no
משלמים את המחיר: כל מה שצריך לדעת לקראת עליית הריבית	Pay the price: Everything you need to know ahead of the interest rate hike.	yes
גזירות ללא הרף: בשבוע הבא הריבית על השקל צפויה לעלות בחצי אחוז •	Constant decrees: Next week, the interest rate on the shekel is expected to increase by half a percent.	yes
בכמה יתייקר התשלום על המשכנתא?	How expensive the mortgage payment will be.	yes
ומה מומלץ לעשות? •	And what is recommended to do? •	yes
כל התשובות	All the answers.	yes
האינפלציה המחריפה בישראל, שכבר הגיעה לקצב של יותר מ־4% בשנה האחרונה, תאלץ את בנק ישראל להעלות את הריבית על השקל כבר בשבוע הבא.	The worsening inflation in Israel, which has already reached a rate of more than 4% in the past year, will force the Bank of Israel to raise the interest rate on the shekel as early as next week.	yes
הערכות האנליסטים מדברות על שיעור העלאה שנע בין 0.25% ל־0.5%.	Analysts' estimates speak of an increase rate ranging from 0 to 0. 25% for 0. 5% is.	yes
אם אכן תעלה הריבית בשיעור של חצי אחוז, היא תעמוד כבר על 1.25%, הרמה הגבוהה זה תשע שנים.	If the interest rate does indeed rise by half a percent, it will already stand at 1 at already time. 25%, the highest level is nine years.	yes
זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.	This, after for years the interest rate in the economy was close to zero.	yes
