Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewaltsamen Protesten vor einem britischen Flüchtlingshotel	yes
Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online	Vier Teenager wurden angeklagt, wegen eines Angriffs auf einen 14-Jährigen, der sich selbst erschlug, nachdem ein Video online war.	yes
Dad says daughter took her own life after being bullied at NJ school	Vater sagt, seine Tochter hat sich das Leben genommen, nachdem sie in der Schule in New Jersey gemobbt wurde.	yes
Four New Jersey teenagers have been charged in connection with the attack of a 14-year-old girl who later took her own life after video of the incident was posted on social media. One juvenile is charged with aggravated assault, two juveniles are charged with conspiracy to commit aggravated assault and one juvenile is charged with harassment, Ocean County prosecutor Bradley D. Billhimer told CBS News in an email.	Vier Teenager aus New Jersey wurden in Verbindung mit dem Angriff auf ein 14-jähriges Mädchen angeklagt, das sich später das Leben nahm, nachdem ein Video des Vorfalls auf Social Media gepostet wurde.	yes
Adriana Kuch, 14, was found dead in her Bayville home on February 3, two days after the disturbing video of the attack at Central Regional High School was posted online. The video showed girls throwing a drink at the teen, then kicking and dragging her down school hallways. They pushed Adriana into red lockers lining the school hallways and one of the girls in a pink shirt punched Kuch repeatedly.	Die 14-jährige Adriana wurde am 3. Februar tot in ihrem Haus in Bayville gefunden, zwei Tage nachdem das beunruhigende Video des Angriffs an der Central Regional High School online gepostet worden war.	yes
Another girl outside of the video frame laughed as she recorded the scene. Two adults came in to break up the attack, with one adult pulling the teens apart. Adriana lay hurt and bruised on the hallway floor as the adult tried to help her up.	Ein anderes Mädchen lachte, während es die Szene aufnahm. Zwei Erwachsene kamen herein, um den Angriff aufzuhalten, und ein Erwachsener zog die Jugendlichen auseinander. Adriana lag verletzt und mit Prellungen auf dem Flurboden, als der Erwachsene versuchte, ihr zu helfen.	yes
One of the girls said, "That's what you get." "She loved life. She was the happiest kid. Everybody loved her," her father, Michael Kuch, told CBS New York on Thursday, adding that he's angry and wants everyone to see the video and what the teens did to his daughter.	"Sie liebte das Leben. Sie war das glücklichste Kind. Alle liebten sie", sagte ihr Vater, Michael Kuch, am Donnerstag gegenüber CBS New York und fügte hinzu, dass er wütend ist und möchte, dass jeder das Video sieht, was die Jugendlichen seiner Tochter angetan haben.	no
Kuch said police should have been called immediately because the students, who he said his daughter had been having problems with, smashed her face with a 20-ounce bottle. "If they called the police and did an investigation, those girls would not have posted videos from school," Kuch said. He also said his daughter, who had bruises on her body, should've been taken to the hospital. "We always address every issue of bullying and on the day of the incident four students were suspended," Dr. Triantafillos Parlapanides, superintendent of schools, told CBS New York.	"Wenn sie die Polizei angerufen und eine Untersuchung durchgeführt hätten, hätten diese Mädchen keine Videos von der Schule gepostet", sagte Kuch. Er sagte auch, dass seine Tochter, die blaue Flecken auf dem Körper hatte, ins Krankenhaus gebracht werden sollte. "Wir beschäftigen uns immer mit allen Fragen des Mobbings, und am Tag des Vorfalls wurden vier Schüler suspendiert", sagte Dr. Triantafillos Parlapanides, Superintendent der Schulen, gegenüber CBS New York.	no
School officials told CBS New York that they notified the family and called Adriana's death horrible. Each teenager and their guardian was served with a copy of their complaint and were released pending future court appearances, the prosecutor told CBS News. Students at the school staged a walkout Wednesday in support of Adriana's family. If you or someone you know is in emotional distress or a suicidal crisis, you can reach the 988 Suicide & Crisis Lifeline by calling or texting 988. You can also chat with the 988 Suicide & Crisis Lifeline here. For more information about mental health care resources and support, The National Alliance on Mental Illness (NAMI) HelpLine can be reached Monday through Friday, 10 a.m.-10 p.m. ET, at 1-800-950-NAMI (6264) or email info@nami.org.	Wie der Staatsanwalt gegenüber CBS News mitteilte, haben die Schulbehörden die Familie benachrichtigt und Adrianas Tod als schrecklich bezeichnet. Jeder Teenager und sein Vorgesetzter erhielten eine Kopie seiner Beschwerde und wurden bis zu den künftigen Gerichtssitzungen freigelassen. Studenten der Schule führten am Mittwoch einen Auszug zur Unterstützung von Adrianas Familie durch. Wenn Sie oder jemand, den Sie kennen, in emotionaler Not oder einer selbstmordbedürftigen Krise ist, können Sie die 988 Suicide & Crisis Lifeline erreichen, indem Sie 988 anrufen oder SMS schreiben.	no
I talked to 30 health, wellness professionals about avoiding burnout	Ich sprach mit 30 Gesundheits- und Wellness-Experten über das Vermeiden von Burnout,	yes
In our day-to-day lives, we're constantly looking for ways to increase our energy and avoid burnout, especially in our jobs. This can be extremely difficult for those in the healthcare industry, which is why I asked 30 health and wellness professionals the same question: "How do you manage your energy and not burn out in your profession?" Their careers range from infectious disease doctors to psychologists to mindfulness teachers - and they all had great advice to give on how to stay motivated and keep the ball rolling. Despite the large differences in their roles, there were several themes within their responses that stood out as ways to prevent burnout.	Im Alltag suchen wir ständig nach Wegen, unsere Energie zu erhöhen und Burnout zu vermeiden, besonders in unserer Arbeit. Das kann für Leute in der Gesundheitsbranche extrem schwierig sein, deshalb fragte ich 30 Gesundheits- und Wellness-Profis die gleiche Frage: "Wie verwalten Sie Ihre Energie und verbrennen sich in Ihrem Beruf nicht aus?" Ihre Berufe reichen von Infektionskrankenärzten über Psychologen bis hin zu Achtsamkeitslehrern - und sie alle hatten großartige Tipps, wie man motiviert bleibt und den Ball rollen lässt. Trotz der großen Unterschiede in ihren Rollen waren es mehrere Themen in ihren Antworten, die sich als Möglichkeiten zur Verhinderung des Burnout auszeichneten.	yes
Here are the top four approaches that they use.	Hier sind die vier wichtigsten Ansätze, die sie anwenden.	yes
1.Build a strong community: As someone who works with patients who have terminal illnesses, Eufrosina Young thanks her strong support system for her ability to maintain her energy. Young is a board-certified neurologist and ALS specialist at the Upstate University Hospital's department of neurology, and says they "mobilize like an army of people" there. There isn't a cure for amyotrophic lateral sclerosis (ALS), but knowing that she isn't the only one putting in the hard work to develop treatments and provide better options for her patients, keeps Young going even on her hardest days. "We're not carrying the weight of the world, but being part of a world of people that are advocating for this work," she says.	1.Aufbau einer starken Gemeinschaft: Als jemand, der mit Patienten arbeitet, die an tödlichen Krankheiten leiden, dankt Eufrosina Young ihrem starken Unterstützungs-system für ihre Fähigkeit, ihre Energie aufrechtzuerhalten. Young ist eine zertifizierte Neurologin und ALS-Spezialistin an der neurologischen Abteilung des Upstate University Hospital, und sagt, dass sie sich dort "wie eine Armee von Menschen mobilisiert". Es gibt kein Heilmittel gegen amyotrophe Lateralsklerose (ALS), aber da sie weiß, dass sie nicht die einzige ist, die hart daran arbeitet, Behandlungsmethoden zu entwickeln und bessere Optionen für ihre Patienten bereitzustellen, macht Young auch in ihren schwersten Tagen weiter. "Wir tragen nicht das Gewicht der Welt, sondern sind Teil einer Welt von Menschen, die sich für diese Arbeit einsetzen", sagt sie.	yes
2.Rest when you need to: Working two jobs as a sleep researcher and an algorithm engineer, all while taking care of a new baby, would have definitely led Raphael Vallat to burnout if he didn't rest, he says. "I feel like when I'm about to burn out, basically every task feels like a mountain that you need to climb, and feels super urgent and important," says Vallat. In those moments, "you really need to take some time off and realize that these tasks can wait." Typically, Vallat finds moments in his day where he can pause and spend time in nature to ground himself before returning to work.	2.Ruh dich aus, wenn du es brauchst: Zwei Jobs als Schlafforscher und Algorithmus-Ingenieur zu haben und gleichzeitig ein neues Baby zu kümmern, hätte Raphael Vallat definitiv zum Burnout gebracht, wenn er nicht ruht, sagt er. "Ich habe das Gefühl, wenn ich kurz davor bin, mich auszubrennen, fühlt sich im Grunde jede Aufgabe wie ein Berg an, den man besteigen muss, und fühlt sich super dringend und wichtig an", sagt Vallat. In diesen Momenten "sollst du dir wirklich etwas Zeit nehmen und erkennen, dass diese Aufgaben warten können". Normalerweise findet Vallat in seinem Tag Momente, in denen er pausieren und Zeit in der Natur verbringen kann, bevor er zurückkehren kann zur Arbeit.	no
3.Be passionate about what you're doing and remember your purpose: Up until spring of 2022, infectious disease specialist Céline Gounder worked 100 hours a week for seven days a week. Being on the frontlines during the pandemic ate up almost all of her time, but she avoided burnout by reminding herself about why her work is important. "I don't think work feels like work when you feel like you're having an impact," says Gounder. "If you're working crazy hours doing something that has no meaning to you, I think you really do need to step back and question what you're doing."	3.Sei Leidenschaftlich bei dem, was du tust, und erinnere dich an deinen Zweck: Bis zum Frühjahr 2022 arbeitete die Infektionskrankheitsspezialistin Céline Gounder 100 Stunden pro Woche sieben Tage die Woche. Während der Pandemie an der Front fast ihre ganze Zeit verbrachte, doch vermied sie den Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. "Ich glaube nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man das Gefühl hat, eine Auswirkung haben zu können", sagt Gounder. "Wenn man verrückte Stunden damit verbringt, etwas zu tun, das für einen keinen Sinn hat, muss man wirklich zurücktreten und die Frage stellen, was man tut".	no
4.Have other joys: Across the board, each of the experts said they engage in some hobby like exercise, dancing and even playing the guitar. It's extremely important to have a life you enjoy that exceeds what you accomplish in your job, says Christina Maslach, social psychologist, retired professor of psychology at U.C. Berkeley and author of "The Burnout Challenge: Managing People's Relationships with Their Jobs." "Look at your life as a whole, and make sure there's good things about it, and make sure you have time for them."	4.Sind Ihnen andere Dinge am Herzen: Alle Experten sagten, sie seien in irgendeinem Hobby wie Sport, Tanz und sogar Gitarre spielen. "Es ist extrem wichtig, ein Leben zu haben, das man genießen kann und das mehr als das erreicht, was man im Berufsleben erreichen kann", sagt Christina Maslach, Sozialpsychologin, pensionierte Professorin für Psychologie an der UC Berkeley und Autorin von "The Burnout Challenge: Managing People's Relationships with Their Jobs". "Betrachte dein Leben als Ganzes, und stelle sicher, dass es gute Dinge gibt, und stelle sicher, dass du Zeit für diese hast".	no
Juvenile charged with murder in December Chicago school shooting that left 2 dead	Jugendliche angeklagt wegen Mordes im Dezember in Chicago, bei dem zwei Schüler getötet wurden.	yes
A 16-year-old boy has been charged with murder in the fatal shooting of two students at a Chicago high school in December, police announced Friday. The suspect is charged with two counts of felony first-degree murder and two counts of felony attempted murder, Chicago Police superintendent David Brown announced. "We currently don't have a clear motive for why a 16 year old would want to shoot and kill other kids," Brown said. The suspect's name was not released Friday due to his age, although Brown said he would face the murder and attempted murder charges as an adult.	Der 16-Jährige wurde wegen der tödlichen Schießerei auf zwei Studenten in einer Schule in Chicago im Dezember angeklagt, gab die Polizei bekannt. "Wir haben derzeit kein klares Motiv dafür, warum ein 16-Jähriger andere Kinder erschießen und töten möchte", sagte Brown.	yes
Four teenagers were shot December 16 at Benito Juarez High School. The victims who died were both boys, aged 14 and 15, police announced at the time. Investigators say tips from the public helped lead them to the suspect, who was arrested Thursday. "We are grateful for those who have been brave enough to come forward to ensure that the offender is caught and will now be held accountable," said Cook County State's Attorney Kim Foxx. The suspect is expected to appear in Bond Court Saturday, Brown said, where more details about the evidence they have collected will be presented.	Zwei Jugendliche wurden am 16. Dezember in Benito Juarez High School erschossen. Die beiden Toten waren Jungen im Alter von 14 und 15 Jahren, teilte die Polizei damals mit. Nach Angaben der Ermittler haben die Informationen der Öffentlichkeit geholfen, sie zum Verdächtigen zu führen, der am Donnerstag verhaftet wurde. "Wir sind dankbar für diejenigen, die mutig genug waren, sich zu melden, um sicherzustellen, dass der Täter erwischt wird und nun zur Rechenschaft gezogen wird", sagte der Staatsanwalt von Cook County, Kim Foxx.	yes
Minnesota biologists rescue trapped black bear	Biologen aus Minnesota retten einen eingeschlossenen Bären	yes
The Minnesota Department of Natural Resources came to the rescue of a bear-y unlucky bear after it became trapped in a ditch. The bear had hunkered down in a culvert alongside the road near Wannaska, Minnesota, according to a Facebook post from the department. But when the snow began to melt, the culvert started to flood, trapping the bear in deep snow and ice, according to the department. Staff from the department quickly responded to the scene and helped remove the bear. The department's bear biologist, Andrew Tri, "examined the bear and pronounced him healthy but groggy - obviously, because he'd been woken up from his winter sleep," according to the Facebook post. The department then relocated the bear to a state sanctuary to resume his hibernation. The sleepy carnivore was estimated to be 6 years old and between 375 and 400 pounds.	Das Minnesota Department of Natural Resources kam dem Bären der Flucht zu Rettung, nachdem er in einem Graben gefangen war. Der Bär hatte sich in einem Kanal neben der Straße in der Nähe von Wannaska, Minnesota, nach einer Facebook-Bezeichnung des Departements hunkerte. Aber als der Schnee zu schmelzen begann, begann der Kanal überflutet zu werden, was den Bären in tiefen Schnee und Eis gefangen hielt. Mitarbeiter der Abteilung reagierten schnell auf den Tatort und half, den Bären zu entfernen. Der Bärbiologe des Departments, Tri Andrew, "untersuchte den Bären und erklärte ihn gesund, aber groggy - offensichtlich, weil er aus seinem Winterschlaf geweckt worden war", wie der Facebook-Beitrag sagt.	yes
The department reminded residents that moving bears is a job best left to the professionals. If you're worried about a bear in your neighborhood, you should contact local authorities - not try to move or feed the sleeping giant. In this case, bystanders first tried to dig out the bear by themselves and offered him food, including Pop-Tarts, lettuce and Fancy Feast cat food. But, luckily for the well-intentioned diggers, "because bears don't have the desire to eat in the winter, the bear didn't bite." Minnesota is home to between 12,000 and 15,000 black bears, found mainly in the northern third of the state, according to the Department of Natural Resources. The predators hibernate for as long as six or seven months in the winter, during which time they do not eat and live off of their stored body fat.	Das Department erinnerte die Bewohner daran, dass das Umbringen von Bären am besten einem Fachmann überlassen wird. Wenn Sie sich Sorgen um einen Bären in Ihrer Nachbarschaft machen, sollten Sie Kontakt mit den örtlichen Behörden aufnehmen - nicht versuchen, den schlafenden Riesen zu bewegen oder zu füttern. In diesem Fall versuchten Umstehende zuerst, den Bären selbst auszugraben und boten ihm Nahrung an, einschließlich Pop-Tarts, Salat und Katzenfutter aus Fancy Feast. Aber zum Glück für die gutmeinenden Graber, "weil Bären im Winter nicht den Wunsch haben zu essen, biss der Bär nicht". Minnesota ist laut dem Department of Natural Resources Heimat von zwischen 12.000 und 15.000 Schwarzbären, die hauptsächlich im nördlichen Drittel des Staates leben.	yes
Photos: Following restorations, Egypt inaugurates the Djehuty and Hery tombs	Fotos: Ägypten eröffnet nach Restaurationen die Gräber von Djehuty und Hery	yes
The tombs of Djehuty and Hery have been inaugurated on Thursday following the completion of restoration work. The inauguration was conducted by the Secretary General of the Supreme Council of Antiquities in Egypt Mostafa Waziri, Ambassador of Span to Egypt Alvaro Iranzo, and the President of the Spanish National Research Council (CSIC), Eloísa del Pino. Waziri explained that the two tombs were discovered through the joint Egyptian-Spanish archaeological mission from the Supreme Council of Antiquities and CSIC, working since 2002. He said that the mission carried out excavation and restoration work and published research related to the tombs, which are located in the Dra Abu al-Naga area on the west bank of Luxor. They succeeded in uncovering many tombs, coffins, mummies and a funerary garden.	Die Gräber von Djehuty und Hery wurden am Donnerstag nach Abschluss der Restaurierungsarbeiten eröffnet. Die Einweihung wurde vom Generalsekretär des Obersten Rates für Antiquitäten in Ägypten Mostafa Waziri, dem Botschafter Spaniens in Ägypten Alvaro Iranzo und dem Präsidenten des Spanischen Nationalen Forschungsrats (CSIC), Eloísa del Pino, durchgeführt.	yes
Important tombs from an important era	Wichtige Gräber aus einer wichtigen Epoche	yes
Wazir explained that these two tombs belong to prominent people, who lived during the beginning of the 18th dynasty of the New Kingdom - one of the most important eras of ancient Egypt. He said that the layout of the tombs are T-shaped, a style commonly used in tombs from the 18th dynasty. These consistent of an entrance, a column hall leading to a burial shaft, and walls featuring distinct inscriptions. Waziri added that Djehuty was supervisor of the state treasury and overviewed works of craftsmen and artists during the reign of Queen Hatshepsut.	Weizir erklärte, dass diese beiden Gräber prominenten Menschen gehören, die am Anfang der 18. Dynastie des Neuen Königreichs lebten - eine der wichtigsten Epochen des alten Ägypten. Er sagte, dass das Layout der Gräber T-förmig sei, ein Stil, der häufig in Gräbern aus der 18. Dynastie verwendet wird. Diese bestehen aus einem Eingang, einer Säulenhalle, die zu einem Grabschacht führt, und Wände mit verschiedenen Inschriften.	yes
Djehuty was also responsible for recording Hatshepsut's journey to Puntland, and providing electrum (a mixture of gold and silver) for covering the top of the obelisks that she placed in the Karnak temples. In addition, he was in charge of the process of moving the obelisks. The room that precedes the Djehuty's burial chamber features inscriptions engraved with 43 chapters of the Book of the Dead, the first time that the chapters of the book were written on the walls of tombs before being written on linen and papyrus. Hery, held the position of superintendent of the royal stores of the sacred royal wife and mother, Ahhotep.	Djehuty war auch verantwortlich für die Aufzeichnung von Hatschepsuts Reise nach Puntland, und für die Bereitstellung von Elektrum (einer Mischung aus Gold und Silber), um die Oberseite der Obelisken zu bedecken, die sie in den Karnak-Tempeln platziert hatte. Darüber hinaus war er verantwortlich für den Prozess der Bewegung der Obelisken. Im Raum vor Djehuty's Grabkammer befinden sich Inschriften mit 43 Kapiteln des Buches der Toten, das erste Mal, dass die Kapitel des Buches an die Wand von Gräbern geschrieben wurden, bevor sie auf Leinen und Papyrus geschrieben wurden.	no
Jared O'Mara should never have been a Labour candidate, says Rachel Reeves	Jared O'Mara hätte nie Labour-Kandidat sein sollen, sagt Rachel Reeves	yes
The disgraced former MP Jared O'Mara "should never have been selected as a Labour candidate" and deserves his four-year jail sentence, the shadow chancellor has said. Rachel Reeves was talking to the Guardian in the Bolton North East constituency on Friday, hours after key figures in the local party quit in protest at how Labour's national executive committee (NEC) was controlling the parliamentary selection process for the next general election.	Die Schattenkanzlerin hat erklärt, dass der in Ungnade gefallene frühere Abgeordnete Jared O'Mara "niemals als Labour-Kandidat ausgewählt worden sein sollte" und seine vierjährige Haftstrafe verdiente. Rachel Reeves sprach am Freitag im Wahlkreis Bolton North East mit dem Guardian, wenige Stunden nachdem Schlüsselfiguren der lokalen Partei gekündigt hatten, um zu demonstrieren, wie das nationale Exekutivkomitee (NEC) der Labour Party den parlamentarischen Auswahlprozess für die kommenden Parlamentswahlen kontrolliert.	yes
The entire selection committee in Bolton North East resigned after they were not allowed to choose the shortlist, an increasingly common practice in Keir Starmer's Labour party, saying: "Yet again, it appears that the Labour party is seeking to promote the views and attitudes of a clique in London, rather than local members in the north." They added: "This goes against the attitude necessary to win back the red wall, which is so desperately needed to deliver a Labour government." Reeves said: "I don't know what the circumstances are of what has happened in Bolton, but I do know that those being selected are strong candidates, often with very strong roots in their communities."	Der gesamte Auswahlkomitee in Bolton North East trat zurück, nachdem es ihnen nicht erlaubt war, die Vorliste zu wählen, eine zunehmend übliche Praxis in Keir Starmers Labour Party, sagte: "Auchmals scheint es, dass die Labour Party versucht, die Ansichten und Einstellungen einer Clique in London zu fördern, anstatt lokalen Mitglieder im Norden". Sie fügten hinzu: "Dies geht gegen die Haltung, die notwendig ist, um die rote Mauer zurückzugewinnen, die so dringend benötigt wird, um eine Labour-Regierung zu liefern". Reeves sagte: "Ich weiß nicht, was die Umstände dessen sind, was in Bolton passiert ist, aber ich weiß, dass die Auserwählten starke Kandidaten sind, die oft sehr starke Wurzeln in ihren Gemeinden haben".	yes
