Police arrest 15 after violent protest outside UK refugee hotel	﻿Polizeiverhaftung 15 nach gewaltsamen Protesten außerhalb des britischen Flüchtlingshotels	yes
Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online	Vier Jugendliche, die beim Angriff auf den 14-Jährigen angeklagt wurden, der nach dem Schlagen von Video an Selbstmord starben, wurden online veröffentlicht	yes
Dad says daughter took her own life after being bullied at NJ school	Papa sagt, dass Tochter ihr eigenes Leben genommen hat, nachdem sie an der NJ-Schule beschimpft wurde	yes
Four New Jersey teenagers have been charged in connection with the attack of a 14-year-old girl who later took her own life after video of the incident was posted on social media. One juvenile is charged with aggravated assault, two juveniles are charged with conspiracy to commit aggravated assault and one juvenile is charged with harassment, Ocean County prosecutor Bradley D. Billhimer told CBS News in an email.	Vier Jugendliche in New Jersey wurden im Zusammenhang mit dem Angriff eines 14-jährigen Mädchens angeklagt, das später ihr eigenes Leben nahm, nachdem Video über den Vorfall in den sozialen Medien veröffentlicht wurde. Ein Jugendlicher wird wegen Verschlechterung des Angriffs angeklagt, zwei Jugendliche werden wegen Verschwörung angeklagt und ein Jugendlicher wird wegen Belästigung angeklagt. Der Staatsanwalt des Ocean County, Bradley D. Billhimer, erzählte CBS News in einer E-Mail.	yes
Adriana Kuch, 14, was found dead in her Bayville home on February 3, two days after the disturbing video of the attack at Central Regional High School was posted online. The video showed girls throwing a drink at the teen, then kicking and dragging her down school hallways. They pushed Adriana into red lockers lining the school hallways and one of the girls in a pink shirt punched Kuch repeatedly.	Adriana Kuch, 14 Jahre alt, wurde am 3. Februar in Bayville tot aufgefunden, zwei Tage nachdem das beunruhigende Video des Angriffs auf die Central Regional High School online veröffentlicht wurde. Das Video zeigte Mädchen, die einen Drink in der Jugend werfen, dann traten und zogen ihre Schulhallen hinunter. Sie drängten Adriana in rote Schließfächer, die den Schulhallen die Türme betraten, und eines der Mädchen in einem rosa Hemd, das Kuch wiederholt schlug.	yes
Another girl outside of the video frame laughed as she recorded the scene. Two adults came in to break up the attack, with one adult pulling the teens apart. Adriana lay hurt and bruised on the hallway floor as the adult tried to help her up.	Ein weiteres Mädchen außerhalb des Videorahmens lachte, als sie die Szene aufnahm. Zwei Erwachsene kamen herein, um den Angriff aufzubrechen. Ein Erwachsener zog die Teenager auseinander. Adriana lag verletzt und brullte auf dem Flurboden, als der Erwachsene ihr helfen wollte.	yes
One of the girls said, "That's what you get." "She loved life. She was the happiest kid. Everybody loved her," her father, Michael Kuch, told CBS New York on Thursday, adding that he's angry and wants everyone to see the video and what the teens did to his daughter.	Eines der Mädchen sagte: "Das ist es, was du bekommst". "Sie liebte das Leben. Sie war das glücklichste Kind. Jeder liebte sie", sagte ihr Vater, Michael Kuch, am Donnerstag bei CBS New York und fügte hinzu, dass er wütend ist und dass jeder das Video sehen und möchte, dass die Jugendlichen seiner Tochter das Video sehen.	no
Kuch said police should have been called immediately because the students, who he said his daughter had been having problems with, smashed her face with a 20-ounce bottle. "If they called the police and did an investigation, those girls would not have posted videos from school," Kuch said. He also said his daughter, who had bruises on her body, should've been taken to the hospital. "We always address every issue of bullying and on the day of the incident four students were suspended," Dr. Triantafillos Parlapanides, superintendent of schools, told CBS New York.	Kuch sagte, dass die Polizei sofort aufgerufen werden sollte, weil die Studenten, die er sagte, seine Tochter habe Probleme gehabt, ihr Gesicht mit einer 20-Unzen-Flasche zerschlagen hätten. "Wenn sie die Polizei gerufen hätten und eine Untersuchung durchgeführt hätten, hätten diese Mädchen keine Videos von der Schule veröffentlicht", sagte Kuch. Er sagte auch, dass seine Tochter, die an ihrem Körper Blutergüsse hatte, ins Krankenhaus gebracht worden wäre. "Wir haben immer jede Frage des Mobbings angegangen und am Tag des Vorfalls wurden vier Studenten ausgesetzt", sagte Dr. Triantafillos Parlapanides, Superintendent der Schulen, CBS New York.	no
School officials told CBS New York that they notified the family and called Adriana's death horrible. Each teenager and their guardian was served with a copy of their complaint and were released pending future court appearances, the prosecutor told CBS News. Students at the school staged a walkout Wednesday in support of Adriana's family. If you or someone you know is in emotional distress or a suicidal crisis, you can reach the 988 Suicide & Crisis Lifeline by calling or texting 988. You can also chat with the 988 Suicide & Crisis Lifeline here. For more information about mental health care resources and support, The National Alliance on Mental Illness (NAMI) HelpLine can be reached Monday through Friday, 10 a.m.-10 p.m. ET, at 1-800-950-NAMI (6264) or email info@nami.org.	Sie können die 988 Suicide & Crisis Lifeline erreichen, indem Sie 988 Suicide & Crisis Lifeline anrufen oder texten 988. Sie können auch mit der 988 Suicide & Crisis Lifeline chatten. Für weitere Informationen über mentale Gesundheitsversorgungsressourcen und Unterstützung, The National Alliance on Mental Illness (NAMI) HelpLine kann Montag bis Freitag, 10 Uhr bis 22 Uhr ET, unter 1-800-950-NAMI (6264) oder per E-Mail info@nami.org erreichen.	no
I talked to 30 health, wellness professionals about avoiding burnout	Ich sprach mit 30 Gesundheits-, Wellness-Profis über die Vermeidung von Burnout	yes
In our day-to-day lives, we're constantly looking for ways to increase our energy and avoid burnout, especially in our jobs. This can be extremely difficult for those in the healthcare industry, which is why I asked 30 health and wellness professionals the same question: "How do you manage your energy and not burn out in your profession?" Their careers range from infectious disease doctors to psychologists to mindfulness teachers - and they all had great advice to give on how to stay motivated and keep the ball rolling. Despite the large differences in their roles, there were several themes within their responses that stood out as ways to prevent burnout.	In unserem täglichen Leben suchen wir ständig nach Möglichkeiten, unsere Energie zu erhöhen und Burnout zu vermeiden, vor allem in unserer Arbeit. Dies kann für diejenigen in der Gesundheitsbranche extrem schwierig sein. Deshalb habe ich 30 Gesundheits- und Wellness-Profis die gleiche Frage gestellt: "Wie gelingt es Ihnen, Ihre Energie zu verwalten und nicht in Ihrem Beruf auszubrennen?" Ihre Karriere reicht von Infektionskrankheitsärzten über Psychologen bis hin zu Achtsamkeitslehrern - und sie alle hatten großen Rat zu geben, wie sie motiviert bleiben und den Ball rollen lassen. Trotz der großen Unterschiede in ihrer Rolle gab es mehrere Themen in ihren Antworten, die sich als Wege zur Verhinderung von Burnout herausstellten.	yes
Here are the top four approaches that they use.	Hier sind die obersten vier Ansätze, die sie verwenden.	yes
1.Build a strong community: As someone who works with patients who have terminal illnesses, Eufrosina Young thanks her strong support system for her ability to maintain her energy. Young is a board-certified neurologist and ALS specialist at the Upstate University Hospital's department of neurology, and says they "mobilize like an army of people" there. There isn't a cure for amyotrophic lateral sclerosis (ALS), but knowing that she isn't the only one putting in the hard work to develop treatments and provide better options for her patients, keeps Young going even on her hardest days. "We're not carrying the weight of the world, but being part of a world of people that are advocating for this work," she says.	1.Build eine starke Gemeinschaft: Als jemand mit Patienten arbeitet, die an terminalen Krankheiten leiden, dankt Eufrosina Young ihrem starken Unterstützungssystem für ihre Fähigkeit, ihre Energie zu erhalten. Young ist ein Board-zertifizierter Neurologe und ALS-Spezialist an der Abteilung für Neurologie des Upstate University Hospitals und sagt, dass sie dort "mobilisieren wie eine Armee von Menschen" ist. Es gibt keine Heilung für amyotrophe laterale Sklerose (ALS), aber wissend, dass sie nicht die einzige ist, die harte Arbeit in die Entwicklung von Behandlungen und bessere Optionen für ihre Patienten setzt, hält Young sogar an ihren schwierigsten Tagen. "Wir tragen nicht das Gewicht der Welt, sondern sind Teil einer Welt von Menschen, die für diese Arbeit eintreten", sagt sie.	yes
2.Rest when you need to: Working two jobs as a sleep researcher and an algorithm engineer, all while taking care of a new baby, would have definitely led Raphael Vallat to burnout if he didn't rest, he says. "I feel like when I'm about to burn out, basically every task feels like a mountain that you need to climb, and feels super urgent and important," says Vallat. In those moments, "you really need to take some time off and realize that these tasks can wait." Typically, Vallat finds moments in his day where he can pause and spend time in nature to ground himself before returning to work.	2.Rest, wenn du zwei Jobs als Schlafforscher und Algorithmeningenieur arbeitest, während du dich um ein neues Baby kümmerst, hätte Raphael Vallat definitiv zum Burnout geführt, wenn er nicht ruht, sagt er. "Ich fühle mich wie ein Berg, den du klettern musst, und fühlt dich super dringlich und wichtig an", sagt Vallat. "In diesen Momenten muss man sich etwas Zeit nehmen und erkennen, dass diese Aufgaben warten können". In diesen Momenten findet Vallat Momente in seinem Tag, in dem er Pause einlegen und Zeit in der Natur verbringen kann, um sich selbst zu erholen, bevor er zur Arbeit zurückkehrt.	no
3.Be passionate about what you're doing and remember your purpose: Up until spring of 2022, infectious disease specialist Céline Gounder worked 100 hours a week for seven days a week. Being on the frontlines during the pandemic ate up almost all of her time, but she avoided burnout by reminding herself about why her work is important. "I don't think work feels like work when you feel like you're having an impact," says Gounder. "If you're working crazy hours doing something that has no meaning to you, I think you really do need to step back and question what you're doing."	3. Seien Sie leidenschaftlich an dem, was Sie tun, und erinnern Sie sich an Ihren Zweck: Bis Frühjahr 2022 arbeitete die Spezialistin für Infektionskrankheiten, Céline Gounder, sieben Tage die Woche 100 Stunden in der Woche. Während der Pandemie war sie fast die ganze Zeit an der Front, aber sie vermeidete Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. "Ich glaube nicht, dass Arbeit wie Arbeit anfühlt, wenn Sie das Gefühl haben, dass Sie Auswirkungen haben", sagt Gounder. "Wenn Sie verrückte Stunden tun, etwas zu tun, das keine Bedeutung für Sie hat, denke ich, dass Sie wirklich zurücktreten müssen und hinterfragen müssen, was Sie tun".	no
4.Have other joys: Across the board, each of the experts said they engage in some hobby like exercise, dancing and even playing the guitar. It's extremely important to have a life you enjoy that exceeds what you accomplish in your job, says Christina Maslach, social psychologist, retired professor of psychology at U.C. Berkeley and author of "The Burnout Challenge: Managing People's Relationships with Their Jobs." "Look at your life as a whole, and make sure there's good things about it, and make sure you have time for them."	4.Hat andere Freuden: Jede der Experten sagte, dass sie ein Hobby wie Bewegung, Tanzen und sogar Gitarre spielen. Es ist extrem wichtig, ein Leben zu haben, das Sie genießen, das über Ihre Arbeit hinausgeht, sagt Christina Maslach, Sozialpsychologin, pensionierte Professorin für Psychologie bei U.C. Berkeley und Autorin von "The Burnout Challenge: Management People's Relationships with Their Jobs". "Sehen Sie sich Ihr Leben als Ganzes an und stellen Sie sicher, dass es gute Dinge darüber gibt, und stellen Sie sicher, dass Sie Zeit für sie haben".	no
Juvenile charged with murder in December Chicago school shooting that left 2 dead	Jüngling wegen Mordes im Dezember Chicago Schulschießen, das 2 Tote hinterließ	yes
A 16-year-old boy has been charged with murder in the fatal shooting of two students at a Chicago high school in December, police announced Friday. The suspect is charged with two counts of felony first-degree murder and two counts of felony attempted murder, Chicago Police superintendent David Brown announced. "We currently don't have a clear motive for why a 16 year old would want to shoot and kill other kids," Brown said. The suspect's name was not released Friday due to his age, although Brown said he would face the murder and attempted murder charges as an adult.	Ein 16-jähriger Junge wurde wegen Mordes an zwei Schülern an einer Chicago High School im Dezember angeklagt, die Polizei kündigte Freitag an. Der Verdächtige wird wegen zweier Angeklagter vor Gericht gestellt. Der Verdächtige wird wegen zweier Angeklagter vor Gericht gestellt. "Wir haben derzeit kein klares Motiv dafür, warum ein 16-Jähriger andere Kinder erschießen und töten will", sagte Brown. Der Name des Verdächtigen wurde wegen seines Alters nicht freigelassen, obwohl Brown sagte, dass er sich dem Mord und versuchten Mordvorwürfen als Erwachsener stellen werde.	yes
Four teenagers were shot December 16 at Benito Juarez High School. The victims who died were both boys, aged 14 and 15, police announced at the time. Investigators say tips from the public helped lead them to the suspect, who was arrested Thursday. "We are grateful for those who have been brave enough to come forward to ensure that the offender is caught and will now be held accountable," said Cook County State's Attorney Kim Foxx. The suspect is expected to appear in Bond Court Saturday, Brown said, where more details about the evidence they have collected will be presented.	Vier Jugendliche wurden am 16. Dezember an der Benito Juarez High School erschossen. Die Opfer, die starben, waren beide Jungen im Alter von 14 und 15 Jahren. Die Polizisten sagten, dass die Öffentlichkeit Tipps zu dem Verdächtigen, der am Donnerstag verhaftet wurde, weiterleitete. "Wir sind dankbar für diejenigen, die mutig genug waren, um zu kommen, um sicherzustellen, dass der Täter gefangen wird und nun zur Rechenschaft gezogen wird", sagte der Attorney des Cook County State, Kim Foxx. Der Verdächtige soll am Samstag im Bond Court erscheinen, sagte Brown, wo weitere Details über die Beweise, die sie gesammelt haben, präsentiert werden.	yes
Minnesota biologists rescue trapped black bear	Minnesota Biologen retten gefangenen Schwarzbären	yes
The Minnesota Department of Natural Resources came to the rescue of a bear-y unlucky bear after it became trapped in a ditch. The bear had hunkered down in a culvert alongside the road near Wannaska, Minnesota, according to a Facebook post from the department. But when the snow began to melt, the culvert started to flood, trapping the bear in deep snow and ice, according to the department. Staff from the department quickly responded to the scene and helped remove the bear. The department's bear biologist, Andrew Tri, "examined the bear and pronounced him healthy but groggy - obviously, because he'd been woken up from his winter sleep," according to the Facebook post. The department then relocated the bear to a state sanctuary to resume his hibernation. The sleepy carnivore was estimated to be 6 years old and between 375 and 400 pounds.	Das Ministerium für natürliche Ressourcen von Minnesota kam zur Rettung eines bärischen Unglücksbären, nachdem er in einem Graben gefangen wurde, nachdem er in einem Graben gefangen worden war. Der Bär hatte sich in einem Hügel neben der Straße in der Nähe von Wannaska, Minnesota, nach einem Facebook-Posten von der Abteilung niedergeschlagen, aber als der Schnee anfing zu schmelzen, fing der Bär an zu überfluten, den Bären in tiefem Schnee und Eis gefangen zu nehmen, so die Abteilung. Mitarbeiter des Departements reagierten schnell auf die Szene und halfen, den Bären zu entfernen. Der Bärenbiologe Andrew Tri, Andrew Tri, "überprüfte den Bären und erklärte ihn gesund, aber groggy - offensichtlich, weil er aus seinem Winterschlaf aufwachte", sagte der Facebook-Post. Die Abteilung verlagerte den Bären dann in ein staatliches Heiligtum, um seinen Ruhezustand wiederherzustellen.	yes
The department reminded residents that moving bears is a job best left to the professionals. If you're worried about a bear in your neighborhood, you should contact local authorities - not try to move or feed the sleeping giant. In this case, bystanders first tried to dig out the bear by themselves and offered him food, including Pop-Tarts, lettuce and Fancy Feast cat food. But, luckily for the well-intentioned diggers, "because bears don't have the desire to eat in the winter, the bear didn't bite." Minnesota is home to between 12,000 and 15,000 black bears, found mainly in the northern third of the state, according to the Department of Natural Resources. The predators hibernate for as long as six or seven months in the winter, during which time they do not eat and live off of their stored body fat.	Die Abteilung erinnerte die Bewohner daran, dass bewegliche Bären am besten den Profis überlassen bleiben. Wenn Sie sich Sorgen über einen Bären in Ihrer Nachbarschaft machen, sollten Sie sich an die lokalen Behörden wenden - nicht versuchen, sich zu bewegen oder den Schlafriesen zu ernähren. In diesem Fall versuchten die Bären zuerst, den Bären selbst zu graben und ihm Futter anzubieten, einschließlich Pop-Tarts, Salat und Fancy Feast Katzenfutter. Aber Glücklicherweise haben Bären nicht den Wunsch, im Winter zu essen, der Bär hat nicht gegessen". Minnesota ist Heimat von 12.000 bis 15.000 Schwarzbären, die hauptsächlich im nördlichen Drittel des Staates gefunden wurden, laut dem Department of Natural Resources. Die Raubtiere verweilen im Winter sechs oder sieben Monate im Winter, in dem sie nicht essen und von ihrem gelagerten Körperfett leben.	yes
Photos: Following restorations, Egypt inaugurates the Djehuty and Hery tombs	Fotos: Nach Restaurierungen eröffnet Ägypten die Gräber Djehuty und Hery	yes
The tombs of Djehuty and Hery have been inaugurated on Thursday following the completion of restoration work. The inauguration was conducted by the Secretary General of the Supreme Council of Antiquities in Egypt Mostafa Waziri, Ambassador of Span to Egypt Alvaro Iranzo, and the President of the Spanish National Research Council (CSIC), Eloísa del Pino. Waziri explained that the two tombs were discovered through the joint Egyptian-Spanish archaeological mission from the Supreme Council of Antiquities and CSIC, working since 2002. He said that the mission carried out excavation and restoration work and published research related to the tombs, which are located in the Dra Abu al-Naga area on the west bank of Luxor. They succeeded in uncovering many tombs, coffins, mummies and a funerary garden.	Die Gräber von Djehuty und Hery wurden am Donnerstag nach Abschluss der Restaurierungsarbeiten eingeweiht. Die Einweihung erfolgte durch den Generalsekretär des Obersten Rates der Antiquitäten in Ägypten Mostafa Waziri, Botschafter von Span in Ägypten Alvaro Iranzo, und den Präsidenten des spanischen Nationalen Forschungsrates (CSIC), Eloísa del Pino. Waziri erklärte, dass die beiden Gräber durch die gemeinsame ägyptische-spanische archäologische Mission des Obersten Rates der Antiquitäten und CSIC entdeckt wurden, die seit 2002 arbeiteten. Er sagte, dass die Mission Ausgrabungen und Restaurierungsarbeiten durchführte und Forschungsarbeiten im Zusammenhang mit den Gräbern veröffentlichte, die sich im Gebiet Dra Abu al-Naga am Westufer von Luxor befinden. Es gelang ihnen, viele Gräber, Särge, Mumies und einen Begräbnisgarten zu entdecken.	yes
Important tombs from an important era	Wichtige Gräber aus einer wichtigen Epoche	yes
Wazir explained that these two tombs belong to prominent people, who lived during the beginning of the 18th dynasty of the New Kingdom - one of the most important eras of ancient Egypt. He said that the layout of the tombs are T-shaped, a style commonly used in tombs from the 18th dynasty. These consistent of an entrance, a column hall leading to a burial shaft, and walls featuring distinct inscriptions. Waziri added that Djehuty was supervisor of the state treasury and overviewed works of craftsmen and artists during the reign of Queen Hatshepsut.	Wazir erklärte, dass diese beiden Gräber zu prominenten Menschen gehören, die zu Beginn der 18. Dynastie des Alten Ägyptens lebten - eine der wichtigsten Epochen des Alten Ägyptens. Er sagte, dass das Layout der Gräber T-förmig ist, ein Stil, der üblicherweise in Gräbern der 18. Dynastie verwendet wird. Diese konsistent aus einem Eingang, einem Säulensaal, der zu einem Begräbnisturm führt, und Wänden mit unterschiedlichen Inschriften. Waziri fügte hinzu, dass Djehuty die Aufsicht über die Staatskasse und Überblickswerke von Handwerkern und Künstlern während der Herrschaft von Königin Hatshepsut war.	yes
Djehuty was also responsible for recording Hatshepsut's journey to Puntland, and providing electrum (a mixture of gold and silver) for covering the top of the obelisks that she placed in the Karnak temples. In addition, he was in charge of the process of moving the obelisks. The room that precedes the Djehuty's burial chamber features inscriptions engraved with 43 chapters of the Book of the Dead, the first time that the chapters of the book were written on the walls of tombs before being written on linen and papyrus. Hery, held the position of superintendent of the royal stores of the sacred royal wife and mother, Ahhotep.	Djehuty war auch verantwortlich für die Aufnahme von Hatshepsuts Reise nach Puntland und lieferte Elektrum (eine Mischung aus Gold und Silber) für die Deckung der Obelisken, die sie in den Karnak-Tempeln platzierte. Darüber hinaus war er für den Prozess des Bewegens der Obelisken verantwortlich. Der Raum, der Bestattungskammer von Djehuty voranging, enthält 43 Kapitel des Totenbuches, das erste Mal, dass die Kapitel des Buches auf den Wänden der Gräber geschrieben wurden, bevor sie auf Leinen und Papyrus geschrieben wurden. Hery hatte die Position des Superintendenten der königlichen Geschäfte der heiligen königlichen Frau und Mutter Ahhotep.	no
Jared O'Mara should never have been a Labour candidate, says Rachel Reeves	Jared O'Mara hätte nie Labour-Kandidaten gewesen sein sollen, sagt Rachel Reeves	yes
The disgraced former MP Jared O'Mara "should never have been selected as a Labour candidate" and deserves his four-year jail sentence, the shadow chancellor has said. Rachel Reeves was talking to the Guardian in the Bolton North East constituency on Friday, hours after key figures in the local party quit in protest at how Labour's national executive committee (NEC) was controlling the parliamentary selection process for the next general election.	Rachel Reeves sprach am Freitag mit dem Guardian im Wahlkreis Bolton North East, Stunden nachdem Schlüsselfiguren der lokalen Partei aus Protest gegen die Kontrolle des parlamentarischen Auswahlprozesses für die nächsten Parlamentswahlen aufgegeben hatten.	yes
