בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Three Cheetah cubs born in Iran	yes
"המצב שלהם חמור באופן קיצוני", אמר אכברי וציין כי הברדלסים נפלו קורבן לבצורת באזורי המחיה שלהם, לציד ואף לתאונות דרכים.	"Their situation is extremely serious," Akbari said, noting that cheetahs have fallen victim to drought in their habitats, hunting and even road accidents.	no
הברדלס נחשב לחיה המהירה בעולם שמסוגלת להגיע למהירות של כ-100 קמ"ש.	The cheetah is considered the fastest animal in the world, capable of reaching speeds of 100 mph.	no
את הברדלסים ניתן למצוא במקומות שונים על פני הגלובוס, מהודו ועד סנגל שבמערב אפריקה.	Cheetahs can be found in various places across the globe, from India to Senegal in West Africa.	no
ספוטיפיי רוצה לשדרג לכם את הרכב: בדקנו את ה-Car Thing	Spotify wants to Upgrade your car: We tested the Car Thing	yes
בשקט בשקט, ספוטיפיי החלה לנסות את מזלה גם בעולם החומרה •	Quietly, Spotify has begun to try its luck in the hardware world, too. •	yes
אחרי שנים של פיתוח - Car Thing נחשף והושק כניסוי קטן בארה"ב •	After years of development, Car Thing was unveiled and launched as a small experiment in the US •	yes
שמנו יד על המכשיר הראשון בישראל •	We got our hands on the first device in Israel. •	yes
החזון: להפוך את הרכבים הישנים שלכם לחכמים	Make your old cars smart	yes
ה-Car Thing הוא מוצר החומרה הראשון של ספוטיפיי, ונבנה במיוחד על מנת לספק פתרון לאנשים בעלי רכבים ישנים.	The Car Thing is Spotify's first hardware product and was built specifically to provide a solution for people with older vehicles.	yes
לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה"ב, כאן בישראל.	A few weeks ago, I got an initial opportunity to try the new product, which is currently only available to individual experimenters in the US, here in Israel.	yes
עבורי, הטיימינג של המשלוח היה יוצא מן הכלל, שכן הרכב הביתי שלנו התקלקל ונאלצנו לנהוג במשך כמה ימים עם רכב חליפי בעל מערכת ישנה.	For me, the timing of the delivery was extraordinary, as our home car broke down and we had to drive for several days with a replacement vehicle with an old system.	yes
אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.	After two weeks of toying, I realized how the car thing could easily become an integral part of many people's system.	yes
ומנגד, עם רשימת המתנה ארוכה וחוסר וודאות בנוגע להשקה עולמית, אני מאמין שרבים יעדיפו כבר להשתמש בפתרונות אחרים.	On the other hand, with a long waiting list and uncertainty about a global launch, I believe many would already prefer to use other solutions.	yes
מרעיון למציאות	From Idea to Reality	no
אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.	Somewhere in 2018, Spotify users started to get an interesting offer in their email box - the option to purchase a new device with voice control and fourth-generation connectivity, which would turn any old system into a smart car.	no
השמועות אט אט דעכו עד שנה לאחר מכן, כשאתר Financial Times חשף כי החברה מתכננת להציג בקרוב מוצר חדש לרכב המדמה רדיו חכם עם חיבוריות בלוטות'.	The rumours slowly fizzled out until a year later, when the Financial Times revealed that the company was soon planning to introduce a new car product that simulates a smart radio with Bluetooth connectivity.	no
כמה חודשים לאחר מכן, השמועות הללו חזרו שוב לכותרות אחרי ששירות המוזיקה התעדכן עם מצב הרכב - אותו אחד שאנו מכירים כיום מהאפליקציה - המופעל ברגע שהסמארטפון מזהה חיבור למערכת באוטו.	A few months later, those rumors made headlines again after the music service was updated with the car mode - the same one we now know from the app - activated as soon as the smartphone detects a connection to the system in the car.	no
שנתיים עברו מאז.	Two years have passed since then.	no
אחרי אינספור שמועות והדלפות, ספוטיפיי חשפה בחודש אפריל האחרון את "Car Thing", המערכת החכמה שלה לכלי רכב.	After countless rumors and leaks, Spotify last April unveiled "Car Thing," its smart vehicle system.	no
ספוטיפיי בחרה לשחרר את המכשיר החדש באופן מוגבל מאוד, עם רשימת המתנה ארוכה ועיכובים רבים בכל הנוגע למשלוחים.	Spotify has chosen to release the new device in a very limited way, with a long waiting list and many delays when it comes to shipments.	no
אז כמובן, מיד אחרי מסיבת העיתונאים שקיימה, נכנסתי לאתר ונרשמתי.	So of course, right after the press conference that was held, I went to the website and signed up.	no
חודשיים לאחר מכן, ההודעה המיוחלת הגיעה.	Two months later, the long-awaited announcement arrived.	no
התחברות מחודשת לאתר תקנה לי את האפשרות לרכוש את המכשיר עם הפתעה קטנה - הוא לא יעלה לי דבר.	Reconnecting to the site will give me the opportunity to purchase the device with a little surprise - it will cost me nothing.	no
אחרי חודש נוסף של המתנה, השליח סוף סוף דפק לי בדלת, מלווה בקופסה קטנה עם הלוגו של ספוטיפיי עליה.	After another month of waiting, the courier finally knocked on my door, accompanied by a small box with the Spotify logo on it.	no
ה-Car Thing	The Car Thing	no
בראש ובראשונה, המכשיר של ספוטיפיי הרשים אותי מאוד באיכות הבנייה שלו.	First and foremost, Spotify's device impressed me greatly with the quality of its construction.	no
וא מעט יותר קטן מהאייפון 11 שלי וכולל בקדמתו מסך מגע גדול, בהיר וחד משציפיתי.	And it's slightly smaller than my iPhone 11 and features a larger, brighter and sharper touchscreen than I expected.	no
כמו כן, תוכלו למצוא לצד המסך כפתור עגול וחוגה שתוכלו לסובב כדי לנווט בין מסכי הממשק.	You'll also find a round button and dial next to the screen that you can rotate to navigate between the interface screens.	no
ולמרות החוגה הענקית, אותה אתם יכולים לראות בתמונות, ה-Car Thing מצליח לשמור על פרופיל דקיק יחסית ולא לבלוט יותר מדי מהדשבורד.	And despite the huge dial, which you can see in the photos, the Car Thing manages to maintain a relatively slim profile and not stand out too much from the dashboard.	no
באופן אישי, הייתי מעדיף שהחברה תאפשר לשנות את פעילות החוגה על מנת שאוכל לשלוט בווליום של הסמארטפון, שכן אני יכול לנווט גם באמצעות מסך המגע.	Personally, I would prefer that the company allow me to change the dial activity so that I can control the volume of the smartphone, as I can also navigate using the touch screen.	no
אולי זה יתאפשר בעדכון גרסה עתידי.	It might be possible in a future version update.	no
המכשיר מגיע בקופסת קרטון קטנה ומינימליסטית, הכוללת בין היתר כבל USB Type C ומתאמים שונים להתקנתו.	The device comes in a small, minimalist cardboard box, which includes, among other things, a USB Type-C cable and various adapters to install.	no
רבים מכם בטח זוכרים כיצד בעבר היינו נוהגים לנתק את מכשירי הרדיו ולהחביא אותם במגירה אחרי היציאה מהרכב.	Many of you may remember how in the past we used to unplug radios and hide them in a drawer after getting out of the car.	no
ה-Car Thing ללא ספק מחזיר את ההרגשה הזאת עם צורת הבנייה שלו.	The Car Thing certainly brings back that feeling with its construction form.	no
כלל המתאמים התחברו לגוף המכשיר באמצעות מגנט שהיה חזק מאוד, מה שמנע ממנו ליפול גם בעת נסיעה על כבישי עפר.	The adapters were attached to the body of the device using a magnet that was very strong, preventing it from falling even when driving on dirt roads.	no
נוסף על כך, לאורך כל חלקו העליון ניתן למצוא כפתורים קטנים, אותם אפשר להגדיר בקלות להפעלת פלייליסטים שונים או פודקאסטים.	In addition, along the entire top you can find small buttons, which can be easily configured to run different playlists or podcasts.	no
באמצעות לחיצה ארוכה על אחד מהכפתורים בזמן השמיעה, או באמצעות בקשה מהעוזרת הקולית, הגדרתי כמה פלייליסטים שאני שומע באופן תכוף ואת תכנית הרדיו שאני מאזין לה מדי בוקר בדרכים.	By long pressing one of the buttons while listening, or by asking the voice assistant, I defined how many playlists I hear frequently and the radio show I listen to every morning on the go.	no
בכך, הפיצ'ר גרם לי להרגיש שה-Car Thing הוא יותר כמו רדיו לרכב מאשר הרחבה של הסמארטפון שלי.	In doing so, the feature made me feel that the Car Thing was more like a car radio than an extension of my smartphone.	no
מרכב ישן לרכב חכם	From Old car to smart car	no
אחרי התקנה פיזית פשוטה למדי, חיברתי את ה-Car Thing לחשמל.	After a fairly simple physical installation, I plugged the Car Thing into electricity.	no
הופתעתי לטובה מתהליך ההגדרה.	I was pleasantly surprised by the setting process.	no
ההוראות היו ברורות, החיבור לאפליקציית ספוטיפיי לקח פחות מ-5 דקות, וכמה רגעים לאחר מכן הגעתי למסך הבית.	The instructions were clear, connecting to the Spotify app took less than 5 minutes, and a few moments later I reached the home screen.	no
למעשה, המכשיר מתחבר לסמארטפון דרך בלוטות' ושולט על האפליקציה כמו שלט, ולכן יכול להעתיק ממנה את כל המידע על החשבון שלנו.	In fact, the device connects to the smartphone via Bluetooth and controls the app like a remote, so can copy all our account information from it.	no
משמע, עדיין תהיו חייבים לחבר את הסמארטפון שלכם לרכב, בין אם דרך בלוטות' או דרך כבל AUX על מנת לשמוע את המוזיקה.	This means you'll still have to connect your smartphone to the car, either via Bluetooth or via an AUX cable in order to hear the music.	no
מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.	The home screen is familiar to all app users, since like the app on a smartphone, it places an emphasis on album photos and playlists.	no
כמו כן, במסך הבית, כמו זה שבאפליקציה, תוכלו למצוא המלצות למוזיקה בהתאם לטעם שלכם, את מסך החיפוש ואת הספריה האישית שלכם.	Also, on the home screen, like the one in the app, you can find music recommendations based on your tastes, your search screen and your personal library.	no
כאמור, תוכלו לנווט בין המסכים השונים באמצעות מסך המגע או באמצעות המחוגה הידנית.	As mentioned above, you can navigate between the different screens using the touch screen or the manual dial.	no
יתרה מכך, תוכלו בכל רגע נתון לקרוא לעוזרת הקולית של המכשיר באמצעות אמירת "היי ספוטיפיי".	Better yet, you can at any given moment call the device's voice assistant by saying "Hey Spotify."	no
באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.	Through it, you can play songs, playlists, albums and even search for podcasts.	no
מניסוני היא זיהתה די בקלות את הקול שלי גם כשהמוזיקה התנגנה ברקע והמזגן נשף ישירות על המכשיר.	From my experience she quite easily recognized my voice even when the music was playing in the background and the air conditioner blew directly onto the device.	no
זאת ככל הנראה הודות לארבעת המיקרופונים שהותקנו בחלקו העליון.	This is probably due to the four microphones installed at the top.	no
חשוב לציין שכרגע העוזרת הקולית אינה תומכת בעברית, ונכון לעת פרסום הכתבה, אין מידע על מתי עדכון שכזה יגיע.	It is important to note that at the moment the voice assistant does not support Hebrew, and as of the time of publication, there is no information on when such an update will arrive.	no
אז האם שווה לחכות לו?	Is it worth waiting for?	no
חוויית השימוש שלי במכשיר הייתה נהדרת, וזו הפתעה חיובית בעיניי בהתחשב בכך שהוא עדיין בשלב שחרור ראשוני.	My experience of using the device has been great, which is a positive surprise to me considering it is still in an initial release phase.	no
גם בשימוש אינטנסיבי בנסיעות ארוכות, המכשיר המשיך לעבוד בצורה חלקה מבלי להתנתק מהסמארטפון שלי.	Even when used intensively on long trips, the device continued to work smoothly without disconnecting from my smartphone.	no
בכל זאת, מדי פעם נרשם גמגום קטן בממשק, אבל אני מאמין שספוטיפיי תטפל בבאגים שכאלה עם עדכוני גרסה עתידיים.	Still, occasionally a little stutter is recorded in the interface, but I believe Spotify will address such bugs with future version updates.	no
ניכר שהחברה השבדית עבדה עליו הרבה בשנים האחרונות, ומבין הגרסאות השונות שדלפו באינטרנט בתקופה הזו, העיצוב של המוצר הסופי הוא כנראה האהוב עליי.	It's evident that the Swedish company has worked on it a lot in recent years, and of the various versions that have leaked online in this period, the design of the final product is probably my favorite.	no
עדיין, כשראיתי את ה-Car Thing בפעם הראשונה, תהיתי למי בדיוק החברה מנסה לייעד אותו.	Still, when I saw the Car Thing for the first time, I wondered who exactly the company was trying to designate it for.	no
הרי פעילותו מסתכמת בשליטה על האפליקציה בסמארטפון, ולא הרבה מעבר לזה.	After all, it comes down to controlling the app on a smartphone, and not much else.	no
מה זה שונה מלקנות מעמד לרכב בכמה שקלים ולחבר אותו כך שהסמארטפון יהיה קרוב יותר אלינו בעת נהיגה?	What's different from buying a car stand for a few shekels and plugging it in so the smartphone is closer to us while driving?	no
השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.	That question is reinforced when you consider that iPhones and Android devices are much more powerful than Spotify's, and most of the time will buy the user a lot more functionality.	no
למרות כל זאת, ככל שהשתמשתי ב-Car Thing יותר ויותר, הבנתי כיצד ביכולתו לשפר את חוויית הנהיגה.	Even so, as I used Car Thing more and more, I realized how it could improve the driving experience.	no
היכולת לראות את ה-Waze על גבי מסך הסמארטפון שלי ולשלוט במוזיקה על גבי מסך אחר לחלוטין, זו אחת שלמדתי להעריך בשבועיים האחרונים.	Being able to see Waze on my smartphone screen and control music on a completely different screen is one I've learned to appreciate over the past two weeks.	no
שאלה אחת נותרה - האם ספוטיפיי בכלל תשיק את המכשיר לקהל הרחב?	One question remains - will Spotify even launch the device to the general public?	no
ואם כן, האם הוא יושק גם כאן במדינתנו הקטנה?	And if so, will it also be launched here in our small country?	no
החברה השבדית לא מספרת כרגע הרבה.	The Swedish company is not saying much at the moment.	no
היא אפילו לא שיתפה כמה נסיינים למכשיר היא מפעילה כרגע ברחבי העולם, וכמה היא מתכננת להוסיף בהשקה המצומצמת בארצות הברית.	It hasn't even shared how many testers for the device it currently operates around the world, and how many it plans to add at its upcoming launch in the United States.	no
הדבר היחיד שאנו יודעים בוודאות זה המחיר שצפוי לעמוד על 79 דולרים (כ-255 שקלים).	The only thing we know for sure is that the price is expected to be 79 dollars (about 255 shekels).	no
לבינתיים, ה-Car Thing מספק הצצה ראשונית לקונספט שספוטיפיי מנסים לפצח כבר שנים.	In the meantime, Car Thing provides an initial glimpse into a concept Spotify has been trying to crack for years.	no
מספוטיפיי ישראל נמסר כי אין מידע כרגע על תכנית להשקת המכשיר בארץ	Spotify Israel says it has no information at this time about a plan to launch the device in Israel	no
.	.	no
גייסתם טאלנט לחברה?	Did you recruit talent for the company?	yes
ככה תשמרו שהמתחרים לא "יחטפו" לכם אותו.	That way, you can make sure your competitors don't" steal " you.	yes
המשק עדיין נמצא בשוק עבודה שנשלט ברובו על ידי העובדים, והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר - הטאלנטים •	The economy is still in a labor market that is largely dominated by workers, and this is often true when it comes to the most desirable workers - the talent •	yes
להלן כמה עצות שיעזרו לכם לשמור עליו במקום העבודה	Here are some tips to help you keep it in the workplace	yes
.	.	no
על אף העלייה שנרשמה בחודש האחרון, שיעור האבטלה בישראל ממשיך להיות מהנמוכים בעולם, ובעשירייה הראשונה מבין מדינות ה-OECD, עם שיעור של 3.5% (150.6 אלף מובטלים, על-פי הלמ"ס).	Despite the increase recorded in the past month, the unemployment rate in Israel continues to be among the lowest in the world, and in the top 10 of the OECD countries, with a rate of 3.5% (150.6 thousand unemployed, according to the CBS).	yes
כלומר, המשק עדיין נמצא בשוק עבודה שנשלט ברובו על-ידי העובדים והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר – הטאלנטים.	In other words, the economy is still in a labor market that is largely dominated by workers, and this is often true when it comes to the most desirable workers-the talent.	yes
בכל הנוגע לאותם אנשי מקצוע ומנהלים המהווים מוקדי ידע, ניסיון ויכולת מוכחים – המגמות בשוק העבודה מלמדות כי התחרות עליהם, הטאלנטים כפי שהם מכונים על-ידי המעסיקים, עדיין קיימת במלוא הכוח.	When it comes to those professionals and managers who are centers of proven knowledge, experience and ability – the trends in the labor market show that competition for them, the talent as they are called by employers, is still in full force.	yes
המשמעות של זה עבור מעסיקים היא שבמצב שוק העבודה הנוכחי אין להם את הלוקסוס של לנוח על זרי הדפנה אפילו דקה לאחר גיוסו של טאלנט נחשק, שכן ברגע שהוא יכנס בשערי החברה – חברה אחרת כבר תנסה לחטוף אותו אליה.	What this means for employers is that in the current labor market situation they do not have the luxury of resting on their laurels even a minute after recruiting a coveted talent, for as soon as he enters the company gates, another company will try to snatch him up.	yes
כלומר, התחרות על הטאלנטים כה עזה שרבים שגם לאחר גיוסם הם ימשיכו לקבל שלל הצעות עבודה מפתות, כאשר 30% מהעובדים אכן עוזבים כחודש בלבד מקבלת המשרה ותחילת העבודה.	In other words, the competition for talent is so intense that even after they are recruited, they will continue to receive a variety of tempting job offers, with 30% of workers leaving within a month of starting a job.	yes
זו הסיבה שמעסיקים נבונים יעברו באופן מידי משלב גיוס הטאלנט לשלב השימור שלו, כאשר הדרך מתחיל בראש ובראשונה בהיערכות מראש ונקיטת יצירתיות כבר בתהליך הקליטה שלו.	That is why intelligent employers will immediately move from the recruitment phase of talent to the retention phase, where the path begins first and foremost by preparing in advance and taking creativity in its absorption process.	no
תהליך קליטה יעיל, מובנה ומתחשב יגרום לטאלנט להתלהב ממקום העבודה החדש שלו כבר מהיום הראשון ואף לצפות לבאות.	An efficient, structured and thoughtful absorption process will make talent excited about their new workplace from day one and even look forward to the future.	no
להלן מספר עצות כיצד להיערך ולנהל תהליך קליטה נכון שיסייע בשימורו של הטאלנט החדש:	Here are some tips on how to prepare and manage a proper absorption process that will help preserve the new talent:	no
זה לא סוד - שיתוף ומוכנות הארגון |	It's no secret - sharing and organization readiness |	no
שתפו את הגורמים שיעבדו איתו על גיוסו, הסבירו להם מדוע הוא חיוני וחשוב לחברה ולתפקיד, וכיצד אתם רואים את תרומתו.	Share the factors that will work with him on his recruitment, explain to them why he is vital and important to society and the role, and how you view his contribution.	no
עובד חדש שמגיע למקום בו מצפים לו ומבינים את ערכו, ירגיש רצוי וישאף להוכיח את הציפיות שתולים בן.	A new employee who comes to a place where he is expected and understands his value will feel welcome and strive to prove the expectations that a son has.	no
ידע הוא כוח - תיאום ציפיות |	Knowledge is power-Coordinating expectations |	no
כבר ביום הראשון ערכו עם הטאלנט שיחת תיאום ציפיות.	On the first day, they had a meeting with the talent to coordinate expectations.	no
הכירו את הרקע המקצועי שלו ובדקו איפה הוא רואה את עצמו בעתיד, כדי שתוכלו להציג לו את הכלים המגוונים והייחודיים שאתם ומקום העבודה יכולים לספק לו כדי להגיע לשם.	Know his professional background and see where he sees himself in the future, so you can present him with the diverse and unique tools that you and the workplace can provide him to get there.	no
כולנו אנשים – הכרות אישית |	We are all people-we know each other personally |	no
במהלך ימי הקליטה נסו להכיר את הטאלנט מעבר לתכונותיו המקצועיות והתעניינו בתחביבים ובתחומי העניין שלו.	During the absorption days, try to get to know the talent beyond his professional qualities and take an interest in his hobbies and interests.	no
עובד חדש שמגלים בו עניין ומאפשרים לו לממש ולבטא את עצמו מעבר לגבולות תפקידו יעריך זאת וירצה לשמור על כך.	A new employee who takes an interest in him and allows him to exercise and express himself beyond the limits of his role will appreciate this and want to maintain it.	no
הסקרנות מקדמת |	Curiosity advances |	no
כבר בשלב הקליטה אתם יכולים ליצור אטרקטיביות שתגרום לטאלנט לרצות להשתלב מהר.	Already at the absorption stage you can create attractiveness that will make the talent want to integrate quickly.	no
עשו זאת לאו דווקא על-ידי שיח של בונוסים והטבות, אלא על-ידי חשיפתו לתחום מלהיב או לטכנולוגיה מעניינת, שכן גירויים מסוג זה ליצירתיות מובילים לסקרנות ולעניין גובר במקום העבודה.	Do this not necessarily by discussing bonuses and benefits, but by exposing it to an exciting field or interesting technology, since such stimuli for creativity lead to increased curiosity and interest in the workplace.	no
כמו כן, עודדו את הטאלנט להשמיע את מחשבותיו ודעותיו לפרויקטים השונים בחברה והבהירו לו שהן חשובות לארגון.	They also encouraged the talent to voice their thoughts and opinions to the various projects within the company and made it clear to them that they were important to the organization.	no
הכותבת הינה מנכ"לית Manpower ישראל – חברת ההשמה וכוח האדם הגדולה בישראל	The writer is CEO of Manpower Israel – the largest manpower placement company in Israel	no
חשמול בכיס: עלות אי־סגירת התחנות הפחמיות ביוני - מיליארד שקלים	Electrification in your Pocket: The cost of not closing the coal plants in June-NIS billion	yes
דו"ח של מרכז המחקר והמידע של הכנסת: אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד  שקלים	Report by the Knesset Research and Information Center: Failure to close the Coal Plants on a date set in June 2022 is estimated at NIS 1 billion	yes
• חברת החשמל: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה"	IEC: "The policy on the use of fuels is dictated first and foremost by the Ministry of Energy"	yes
.	.	no
העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו"ח של מרכז המחקר והמידע של הכנסת.	The economic cost of not closing the coal plants by the June 2022 deadline is estimated at NIS 1 billion for 2022, according to a report by the Knesset Research and Information Center.	yes
לפי הדו"ח, עלות זו מגולמת בתעריף החשמל לצרכן, שכאמור צפוי לעלות בחודשים הקרובים בגלל התייקרות הפחם.	According to the report, this cost is embodied in the consumer electricity tariff, which is expected to rise in the coming months because of the dearth of coal.	yes
נוסף על כך, ב־2023 צפויה כמות עודפת נוספת של שימוש בפחם של כ־900 אלף טונות, כך שהדבר יתבטא בעלות נוספת למשק החשמל בגין אי־סגירת התחנות הפחמיות, בהנחה שמחיר הגז הטבעי יישאר נמוך משמעותית ביחס למחיר הפחם.	In addition, in 2023, an additional surplus of coal use of approximately 900,000 tons is expected, so this will result in an additional cost to the electricity sector for not closing the coal plants, assuming that the price of natural gas will remain significantly lower relative to the price of coal.	yes
בדו"ח נכתב כי המשמעות של הפחתת כמיליארד שקלים בתעריף החשמל ב־2022 היתה הפחתה של כ־4% בתעריף צריכת החשמל לצרכן הביתי.	The report said that the reduction of about one billion shekels in the electricity tariff in 2022 meant a reduction of about 4% in the electricity consumption rate for the household consumer.	yes
כלומר, העלות הכלכלית של אי־סגירת התחנות היא כמיליארד שקלים, וסך ההוזלה שהיתה יכולה להיות לצרכן הביתי היא כ־4%.	In other words, the economic cost of not closing the stations is about NIS 1 billion, and the total discount that could have been for the home consumer is about 4%.	yes
יש לציין כי במסגרת הרפורמה במשק החשמל הוחלט בין היתר על הקמת חברה־בת של חברת החשמל, אשר תקים יחידות המופעלות בגז טבעי, שנועדו להחליף את היחידות הפחמיות 4-1 באתר אורות רבין.	It should be noted that as part of the reform of the electricity sector, it was decided, inter alia, to establish a subsidiary of the IEC, which will establish units powered by natural gas, designed to replace the 4-1 coal units at the Orot Rabin site.	yes
בהמשך להחלטה זו התקבלה החלטת ממשלה ביולי 2018, הקובעת כי יש להפסיק את פעילותן של יחידות הייצור הפחמיות 4-1 בתחנת הכוח אורות רבין.	Following this decision, a government decision was made in July 2018, stating that the 4-1 coal production units at the Orot Rabin power plant should be discontinued.	no
בהחלטה נקבעו לוחות זמנים, כך שהקמת היחידה הראשונה בגז טבעי תחל בינואר 2020 והפעלתה תחל ביוני 2022, ובהתאם לכך גם יחידות הייצור הפחמיות 4-1 יפסיקו לפעול במועד זה.	The decision set timetables, so that the construction of the first natural gas unit will begin in January 2020 and its operation will begin in June 2022, and accordingly the coal production units 4-1 will cease operating at that time.	no
מחברת החשמל נמסר בתגובה: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה.	The IEC said in response: "The policy on the use of fuels is dictated first and foremost by the Ministry of Energy.	no
בהתאם להחלטות המשרד, מיושמת בישראל זה כמה שנים מדיניות של צמצום השימוש בפחם למינימום האפשרי גם כאשר מחיר הפחם נמוך ממחיר הגז".	According to the ministry's decisions, for several years a policy of reducing the use of coal to the minimum possible has been implemented in Israel even when the price of coal is lower than the price of gas."	no
משלמים את המחיר: כל מה שצריך לדעת לקראת עליית הריבית	Paying the Price: Everything you need to know about Rising Interest Rates	yes
גזירות ללא הרף: בשבוע הבא הריבית על השקל צפויה לעלות בחצי אחוז •	Next week, the interest rate on the shekel is expected to rise by half a percentage point.  •	yes
בכמה יתייקר התשלום על המשכנתא?	How much will the mortgage payment cost?	yes
ומה מומלץ לעשות? •	And what is best to do? •	yes
כל התשובות	All the answers	yes
האינפלציה המחריפה בישראל, שכבר הגיעה לקצב של יותר מ־4% בשנה האחרונה, תאלץ את בנק ישראל להעלות את הריבית על השקל כבר בשבוע הבא.	The worsening inflation rate in Israel, which has already reached more than 4% in the past year, will force the Bank of Israel to raise interest rates on the shekel as early as next week.	yes
הערכות האנליסטים מדברות על שיעור העלאה שנע בין 0.25% ל־0.5%.	Analysts ' estimates range from 0.25 percent to 0.5 percent.	yes
אם אכן תעלה הריבית בשיעור של חצי אחוז, היא תעמוד כבר על 1.25%, הרמה הגבוהה זה תשע שנים.	If interest rates did rise by half a percentage point, it would already stand at 1.25 per cent, the highest level in nine years.	yes
זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.	For years, interest rates in the economy have been close to zero.	yes
העלייה החדה בשיעור הריבית מייקרת במאות שקלים את החזרי המשכנתאות ומכבידה בצורה דרסטית על משקי הבית.	The sharp rise in interest rates is making mortgage repayments more expensive and putting a drastic strain on households.	yes
בעזרת שי צרור, מומחה למשכנתאות, בדקנו כמה נשלם יותר ומה מומלץ לעשות כבר עכשיו.	With the help of Shai Tzaruz, a mortgage expert, we looked at how much we would pay more and what we should do now.	no
אם הריבית תעלה בחצי אחוז - בכמה יתייקר התשלום החודשי על המשכנתא?	If the interest rate increases by half a percentage point , how much will the monthly payment on the mortgage cost?	no
