בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: three cheetah cubs were born in Iran	yes
היכולת לראות את ה-Waze על גבי מסך הסמארטפון שלי ולשלוט במוזיקה על גבי מסך אחר לחלוטין, זו אחת שלמדתי להעריך בשבועיים האחרונים.	Being able to see Waze on my smartphone screen and control music on a completely different screen is one I've come to appreciate over the past two weeks.	no
שאלה אחת נותרה - האם ספוטיפיי בכלל תשיק את המכשיר לקהל הרחב?	One question remains - will Spotify even launch the device to the general public?	no
ואם כן, האם הוא יושק גם כאן במדינתנו הקטנה?	And if so, will it be launched here in our small country as well?	no
החברה השבדית לא מספרת כרגע הרבה.	The Swedish company doesn't say much at the moment.	no
היא אפילו לא שיתפה כמה נסיינים למכשיר היא מפעילה כרגע ברחבי העולם, וכמה היא מתכננת להוסיף בהשקה המצומצמת בארצות הברית.	She didn't even share how many experimenters for the device she is currently operating around the world, and how much she plans to add at the limited launch in the United States.	no
הדבר היחיד שאנו יודעים בוודאות זה המחיר שצפוי לעמוד על 79 דולרים (כ-255 שקלים).	The only thing we know for sure is the price, which is expected to be 79 dollars (about 255 shekels).	no
לבינתיים, ה-Car Thing מספק הצצה ראשונית לקונספט שספוטיפיי מנסים לפצח כבר שנים.	For now, Car Thing provides an initial glimpse into a concept Spotify has been trying to crack for years.	no
מספוטיפיי ישראל נמסר כי אין מידע כרגע על תכנית להשקת המכשיר בארץ	Spotify Israel said that there is currently no information on a plan to launch the device in Israel	no
.	.	no
גייסתם טאלנט לחברה?	Have you recruited talent for the company?	yes
ככה תשמרו שהמתחרים לא "יחטפו" לכם אותו.	This way you will keep the competitors from "hijacking" it for you.	yes
המשק עדיין נמצא בשוק עבודה שנשלט ברובו על ידי העובדים, והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר - הטאלנטים •	The economy is still in a labor market that is largely dominated by workers, and this is even more true when it comes to the most desirable workers - the talent •	yes
להלן כמה עצות שיעזרו לכם לשמור עליו במקום העבודה	Here are some tips to help you keep it safe in the workplace	yes
.	.	no
על אף העלייה שנרשמה בחודש האחרון, שיעור האבטלה בישראל ממשיך להיות מהנמוכים בעולם, ובעשירייה הראשונה מבין מדינות ה-OECD, עם שיעור של 3.5% (150.6 אלף מובטלים, על-פי הלמ"ס).	Despite the increase in the past month, the unemployment rate in Israel continues to be among the lowest in the world, and in the top ten OECD countries, with a rate of 3.5% (150,600 unemployed, according to the Central Bureau of Statistics).	yes
כלומר, המשק עדיין נמצא בשוק עבודה שנשלט ברובו על-ידי העובדים והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר – הטאלנטים.	In other words, the economy is still in a labor market that is largely dominated by workers, and this is even more true when it comes to the most desirable workers – talent.	yes
בכל הנוגע לאותם אנשי מקצוע ומנהלים המהווים מוקדי ידע, ניסיון ויכולת מוכחים – המגמות בשוק העבודה מלמדות כי התחרות עליהם, הטאלנטים כפי שהם מכונים על-ידי המעסיקים, עדיין קיימת במלוא הכוח.	When it comes to those professionals and managers who are proven centers of knowledge, experience and ability – trends in the labor market show that competition for them, talent as they are called by employers, still exists in full force.	yes
המשמעות של זה עבור מעסיקים היא שבמצב שוק העבודה הנוכחי אין להם את הלוקסוס של לנוח על זרי הדפנה אפילו דקה לאחר גיוסו של טאלנט נחשק, שכן ברגע שהוא יכנס בשערי החברה – חברה אחרת כבר תנסה לחטוף אותו אליה.	What this means for employers is that in the current state of the labor market, they don't have the luxury of resting on their laurels even a minute after hiring a desirable talent, because as soon as he enters the company's gates, another company will already try to hijack him.	yes
כלומר, התחרות על הטאלנטים כה עזה שרבים שגם לאחר גיוסם הם ימשיכו לקבל שלל הצעות עבודה מפתות, כאשר 30% מהעובדים אכן עוזבים כחודש בלבד מקבלת המשרה ותחילת העבודה.	In other words, the competition for talent is so fierce that many will continue to receive a variety of tempting job offers even after their recruitment, with 30% of employees actually leaving only a month after receiving the job and starting work.	yes
זו הסיבה שמעסיקים נבונים יעברו באופן מידי משלב גיוס הטאלנט לשלב השימור שלו, כאשר הדרך מתחיל בראש ובראשונה בהיערכות מראש ונקיטת יצירתיות כבר בתהליך הקליטה שלו.	This is why wise employers will immediately move from the stage of recruiting talent to its retention stage, when the path begins first and foremost with preparing in advance and getting creative already in its onboarding process.	no
תהליך קליטה יעיל, מובנה ומתחשב יגרום לטאלנט להתלהב ממקום העבודה החדש שלו כבר מהיום הראשון ואף לצפות לבאות.	An efficient, structured and thoughtful onboarding process will get talent excited about their new workplace from day one and even look forward to what's to come.	no
להלן מספר עצות כיצד להיערך ולנהל תהליך קליטה נכון שיסייע בשימורו של הטאלנט החדש:	Here are some tips on how to prepare and manage the proper onboarding process that will help retain the new talent:	no
זה לא סוד - שיתוף ומוכנות הארגון |	It's no secret - sharing and readiness |	no
שתפו את הגורמים שיעבדו איתו על גיוסו, הסבירו להם מדוע הוא חיוני וחשוב לחברה ולתפקיד, וכיצד אתם רואים את תרומתו.	Share with the people who will work with him on his recruitment, explain to them why he is vital and important to the company and the position, and how you see his contribution.	no
עובד חדש שמגיע למקום בו מצפים לו ומבינים את ערכו, ירגיש רצוי וישאף להוכיח את הציפיות שתולים בן.	A new employee who arrives at a place where he is expected and appreciated will feel welcome and strive to prove the expectations placed on Ben.	no
ידע הוא כוח - תיאום ציפיות |	Knowledge is Power - Aligning Expectations |	no
כבר ביום הראשון ערכו עם הטאלנט שיחת תיאום ציפיות.	On the very first day, they held a conversation with the talent to coordinate expectations.	no
הכירו את הרקע המקצועי שלו ובדקו איפה הוא רואה את עצמו בעתיד, כדי שתוכלו להציג לו את הכלים המגוונים והייחודיים שאתם ומקום העבודה יכולים לספק לו כדי להגיע לשם.	Get to know their professional background and see where they see themselves in the future, so you can show them the diverse and unique tools that you and the workplace can provide them with to get there.	no
כולנו אנשים – הכרות אישית |	We Are All People – Personal Introduction |	no
במהלך ימי הקליטה נסו להכיר את הטאלנט מעבר לתכונותיו המקצועיות והתעניינו בתחביבים ובתחומי העניין שלו.	During the absorption days, try to get to know the talent beyond his professional qualities and take an interest in his hobbies and interests.	no
עובד חדש שמגלים בו עניין ומאפשרים לו לממש ולבטא את עצמו מעבר לגבולות תפקידו יעריך זאת וירצה לשמור על כך.	A new employee who shows interest in him and allows him to realize and express himself beyond the boundaries of his job will appreciate this and will want to maintain it.	no
הסקרנות מקדמת |	Curiosity Promotes |	no
כבר בשלב הקליטה אתם יכולים ליצור אטרקטיביות שתגרום לטאלנט לרצות להשתלב מהר.	Already at the onboarding stage, you can create attractiveness that will make the talent want to integrate quickly.	no
עשו זאת לאו דווקא על-ידי שיח של בונוסים והטבות, אלא על-ידי חשיפתו לתחום מלהיב או לטכנולוגיה מעניינת, שכן גירויים מסוג זה ליצירתיות מובילים לסקרנות ולעניין גובר במקום העבודה.	Do this not necessarily by talking about bonuses and benefits, but by exposing it to an exciting field or interesting technology, as such stimuli for creativity lead to curiosity and increased interest in the workplace.	no
כמו כן, עודדו את הטאלנט להשמיע את מחשבותיו ודעותיו לפרויקטים השונים בחברה והבהירו לו שהן חשובות לארגון.	In addition, encourage the talent to voice his thoughts and opinions for the various projects in the company and make it clear to him that they are important to the organization.	no
הכותבת הינה מנכ"לית Manpower ישראל – חברת ההשמה וכוח האדם הגדולה בישראל	The writer is the CEO of Manpower Israel – Israel's largest placement and manpower company	no
חשמול בכיס: עלות אי־סגירת התחנות הפחמיות ביוני - מיליארד שקלים	Electrification in the pocket: The cost of not closing coal plants in June - NIS 1 billion	yes
דו"ח של מרכז המחקר והמידע של הכנסת: אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד  שקלים	Report by the Knesset Research and Information Center: Non-closure of coal-fired plants on the date set in June 2022 is estimated at NIS 1 billion	yes
• חברת החשמל: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה"	• Israel Electric Corporation: "The policy on the use of fuels is dictated first and foremost by the Ministry of Energy"	yes
.	.	no
העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו"ח של מרכז המחקר והמידע של הכנסת.	The economic cost of not closing the coal-fired plants on the date set in June 2022 is estimated at NIS 1 billion for 2022, according to a report by the Knesset Research and Information Center.	yes
לפי הדו"ח, עלות זו מגולמת בתעריף החשמל לצרכן, שכאמור צפוי לעלות בחודשים הקרובים בגלל התייקרות הפחם.	According to the report, this cost is reflected in the consumer electricity tariff, which, as noted, is expected to increase in the coming months due to the increase in the price of coal.	yes
נוסף על כך, ב־2023 צפויה כמות עודפת נוספת של שימוש בפחם של כ־900 אלף טונות, כך שהדבר יתבטא בעלות נוספת למשק החשמל בגין אי־סגירת התחנות הפחמיות, בהנחה שמחיר הגז הטבעי יישאר נמוך משמעותית ביחס למחיר הפחם.	In addition, an additional excess of coal use of about 900,000 tons is expected in 2023, so that this will be reflected in an additional cost to the electricity sector due to the failure to close the coal plants, assuming that the price of natural gas remains significantly lower than the price of coal.	yes
בדו"ח נכתב כי המשמעות של הפחתת כמיליארד שקלים בתעריף החשמל ב־2022 היתה הפחתה של כ־4% בתעריף צריכת החשמל לצרכן הביתי.	The report states that the NIS 1 billion reduction in the electricity tariff in 2022 meant a reduction of about 4 per cent in the electricity consumption tariff for household consumers.	yes
כלומר, העלות הכלכלית של אי־סגירת התחנות היא כמיליארד שקלים, וסך ההוזלה שהיתה יכולה להיות לצרכן הביתי היא כ־4%.	In other words, the economic cost of not closing the stations is about NIS 1 billion, and the total reduction that could have been for the home consumer is about 4%.	yes
יש לציין כי במסגרת הרפורמה במשק החשמל הוחלט בין היתר על הקמת חברה־בת של חברת החשמל, אשר תקים יחידות המופעלות בגז טבעי, שנועדו להחליף את היחידות הפחמיות 4-1 באתר אורות רבין.	It should be noted that as part of the reform in the electricity sector, it was decided, among other things, to establish a subsidiary of the Israel Electric Corporation, which will build units powered by natural gas, intended to replace the coal-fired units 1-4 at the Orot Rabin site.	yes
בהמשך להחלטה זו התקבלה החלטת ממשלה ביולי 2018, הקובעת כי יש להפסיק את פעילותן של יחידות הייצור הפחמיות 4-1 בתחנת הכוח אורות רבין.	Following this decision, the government passed a decision in July 2018, stating that the activity of coal-fired production units 1-4 at the Orot Rabin power station should be stopped.	no
בהחלטה נקבעו לוחות זמנים, כך שהקמת היחידה הראשונה בגז טבעי תחל בינואר 2020 והפעלתה תחל ביוני 2022, ובהתאם לכך גם יחידות הייצור הפחמיות 4-1 יפסיקו לפעול במועד זה.	The decision sets timetables, so that the construction of the first natural gas unit will begin in January 2020 and its operation will begin in June 2022, and accordingly, the coal-fired production units 1-4 will also cease operating on this date.	no
מחברת החשמל נמסר בתגובה: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה.	The Israel Electric Corporation said in response: "The policy on the use of fuels is dictated first and foremost by the Ministry of Energy.	no
בהתאם להחלטות המשרד, מיושמת בישראל זה כמה שנים מדיניות של צמצום השימוש בפחם למינימום האפשרי גם כאשר מחיר הפחם נמוך ממחיר הגז".	In accordance with the ministry's decisions, a policy of reducing the use of coal to a minimum has been implemented in Israel for several years, even when the price of coal is lower than the price of gas."	no
משלמים את המחיר: כל מה שצריך לדעת לקראת עליית הריבית	Paying the price: everything you need to know ahead of the interest rate increase	yes
גזירות ללא הרף: בשבוע הבא הריבית על השקל צפויה לעלות בחצי אחוז •	Decrees constantly: Next week, the interest rate on the shekel is expected to increase by half a percentage point •	yes
בכמה יתייקר התשלום על המשכנתא?	How much will the mortgage payment cost?	yes
ומה מומלץ לעשות? •	And what is recommended to do? •	yes
כל התשובות	All answers	yes
האינפלציה המחריפה בישראל, שכבר הגיעה לקצב של יותר מ־4% בשנה האחרונה, תאלץ את בנק ישראל להעלות את הריבית על השקל כבר בשבוע הבא.	The worsening inflation in Israel, which has already reached a rate of more than 4 percent in the past year, will force the Bank of Israel to raise the interest rate on the shekel as early as next week.	yes
הערכות האנליסטים מדברות על שיעור העלאה שנע בין 0.25% ל־0.5%.	Analysts' estimates call for an increase rate ranging from 0.25% to 0.5%.	yes
אם אכן תעלה הריבית בשיעור של חצי אחוז, היא תעמוד כבר על 1.25%, הרמה הגבוהה זה תשע שנים.	If the interest rate is indeed raised by half a percentage point, it will already be 1.25 percent, the highest level in nine years.	yes
זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.	This is after years in which the interest rate in the economy was close to zero.	yes
העלייה החדה בשיעור הריבית מייקרת במאות שקלים את החזרי המשכנתאות ומכבידה בצורה דרסטית על משקי הבית.	The sharp increase in the interest rate increases mortgage repayments by hundreds of shekels and drastically burdens households.	yes
בעזרת שי צרור, מומחה למשכנתאות, בדקנו כמה נשלם יותר ומה מומלץ לעשות כבר עכשיו.	With the help of Shai Tsror, a mortgage expert, we checked how much more we would pay and what should be done now.	no
