בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Bird Cubs Born in Iran	yes
ולמרות החוגה הענקית, אותה אתם יכולים לראות בתמונות, ה-Car Thing מצליח לשמור על פרופיל דקיק יחסית ולא לבלוט יותר מדי מהדשבורד.	And despite the giant circle, which you can see in the pictures, the Car Thing manages to keep a relatively thin profile and not stand out too much from the dashboard.	no
באופן אישי, הייתי מעדיף שהחברה תאפשר לשנות את פעילות החוגה על מנת שאוכל לשלוט בווליום של הסמארטפון, שכן אני יכול לנווט גם באמצעות מסך המגע.	Personally, I'd prefer if the company allowed me to change the activity of the loop so that I could control the volume of the smartphone, because I can also navigate through the touchscreen.	no
אולי זה יתאפשר בעדכון גרסה עתידי.	Maybe this will be possible in a future update.	no
המכשיר מגיע בקופסת קרטון קטנה ומינימליסטית, הכוללת בין היתר כבל USB Type C ומתאמים שונים להתקנתו.	The device comes in a small, minimalist cardboard box, which includes a USB Type-C cable and various adapters for its installation.	no
רבים מכם בטח זוכרים כיצד בעבר היינו נוהגים לנתק את מכשירי הרדיו ולהחביא אותם במגירה אחרי היציאה מהרכב.	Many of you probably remember how we used to turn off the radios and hide them in the drawer after we got out of the car.	no
ה-Car Thing ללא ספק מחזיר את ההרגשה הזאת עם צורת הבנייה שלו.	The Car Thing definitely brings that feeling back with its construction.	no
כלל המתאמים התחברו לגוף המכשיר באמצעות מגנט שהיה חזק מאוד, מה שמנע ממנו ליפול גם בעת נסיעה על כבישי עפר.	All the adapters connected to the body of the device by a magnet that was very strong, which prevented it from falling even when driving on dirt roads.	no
נוסף על כך, לאורך כל חלקו העליון ניתן למצוא כפתורים קטנים, אותם אפשר להגדיר בקלות להפעלת פלייליסטים שונים או פודקאסטים.	In addition, along the top you can find small buttons, which can be easily set to play different playlists or podcasts.	no
באמצעות לחיצה ארוכה על אחד מהכפתורים בזמן השמיעה, או באמצעות בקשה מהעוזרת הקולית, הגדרתי כמה פלייליסטים שאני שומע באופן תכוף ואת תכנית הרדיו שאני מאזין לה מדי בוקר בדרכים.	By long pressing of one of the buttons while listening, or by requesting from the voice assistant, I set some playlists that I hear frequently and the radio program that I listen to every morning on the road.	no
בכך, הפיצ'ר גרם לי להרגיש שה-Car Thing הוא יותר כמו רדיו לרכב מאשר הרחבה של הסמארטפון שלי.	In doing so, the feature made me feel that the Car Thing is more like a car radio than an extension of my smartphone.	no
מרכב ישן לרכב חכם	From old car to smart car	no
אחרי התקנה פיזית פשוטה למדי, חיברתי את ה-Car Thing לחשמל.	After a fairly simple physical installation, I connected the Car Thing to electricity.	no
הופתעתי לטובה מתהליך ההגדרה.	I was surprised at the quality of the setup process.	no
ההוראות היו ברורות, החיבור לאפליקציית ספוטיפיי לקח פחות מ-5 דקות, וכמה רגעים לאחר מכן הגעתי למסך הבית.	The instructions were clear, it took less than five minutes to sign in to Spotify, and a few moments later I was on my home screen.	no
למעשה, המכשיר מתחבר לסמארטפון דרך בלוטות' ושולט על האפליקציה כמו שלט, ולכן יכול להעתיק ממנה את כל המידע על החשבון שלנו.	In fact, the device connects to the smartphone through a node and controls the app like a control panel, so it can copy all of our account information from it.	no
משמע, עדיין תהיו חייבים לחבר את הסמארטפון שלכם לרכב, בין אם דרך בלוטות' או דרך כבל AUX על מנת לשמוע את המוזיקה.	So you'll still have to connect your smartphone to the car, whether it's through a spindle or through an AUX cable to hear the music.	no
מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.	The home screen is familiar to all users of the app, because like the smartphone app, it emphasizes album photos and playlists.	no
כמו כן, במסך הבית, כמו זה שבאפליקציה, תוכלו למצוא המלצות למוזיקה בהתאם לטעם שלכם, את מסך החיפוש ואת הספריה האישית שלכם.	Also, on the home screen, like the one in the app, you can find music recommendations to suit your taste, your search screen, and your personal library.	no
כאמור, תוכלו לנווט בין המסכים השונים באמצעות מסך המגע או באמצעות המחוגה הידנית.	As mentioned, you can navigate between the different screens using the touch screen or using the manual scrollbar.	no
יתרה מכך, תוכלו בכל רגע נתון לקרוא לעוזרת הקולית של המכשיר באמצעות אמירת "היי ספוטיפיי".	What's more, you can call your device's voice assistant at any time by saying "Hey Spotify".	no
באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.	With it, you can play songs, playlists, albums, and even search for podcasts.	no
מניסוני היא זיהתה די בקלות את הקול שלי גם כשהמוזיקה התנגנה ברקע והמזגן נשף ישירות על המכשיר.	In my experience, she recognized my voice fairly easily even when the music was playing in the background and the air conditioner was dancing directly on the device.	no
זאת ככל הנראה הודות לארבעת המיקרופונים שהותקנו בחלקו העליון.	That's probably because of the four microphones we put on top of it.	no
חשוב לציין שכרגע העוזרת הקולית אינה תומכת בעברית, ונכון לעת פרסום הכתבה, אין מידע על מתי עדכון שכזה יגיע.	It is important to note that the voice assistant currently does not support Hebrew, and at the time of publication, there is no information on when such an update will arrive.	no
אז האם שווה לחכות לו?	So is it worth waiting for?	no
חוויית השימוש שלי במכשיר הייתה נהדרת, וזו הפתעה חיובית בעיניי בהתחשב בכך שהוא עדיין בשלב שחרור ראשוני.	My experience with the device has been great, which is a positive surprise to me considering it's still in its early release.	no
גם בשימוש אינטנסיבי בנסיעות ארוכות, המכשיר המשיך לעבוד בצורה חלקה מבלי להתנתק מהסמארטפון שלי.	Even with intensive use on long trips, the device continued to work smoothly without disconnecting from my smartphone.	no
בכל זאת, מדי פעם נרשם גמגום קטן בממשק, אבל אני מאמין שספוטיפיי תטפל בבאגים שכאלה עם עדכוני גרסה עתידיים.	However, there have been occasional slight glitches in the interface, but I believe Spotify will address such bugs with future release updates.	no
ניכר שהחברה השבדית עבדה עליו הרבה בשנים האחרונות, ומבין הגרסאות השונות שדלפו באינטרנט בתקופה הזו, העיצוב של המוצר הסופי הוא כנראה האהוב עליי.	The Swedish company has obviously been working on it a lot over the last few years, and of the different versions that have been leaked online during that time, the design of the final product is probably my favorite.	no
עדיין, כשראיתי את ה-Car Thing בפעם הראשונה, תהיתי למי בדיוק החברה מנסה לייעד אותו.	Still, when I first saw the Car Thing, I wondered who exactly the company was trying to target it for.	no
הרי פעילותו מסתכמת בשליטה על האפליקציה בסמארטפון, ולא הרבה מעבר לזה.	After all, it's all about controlling the app on your smartphone, not much more.	no
מה זה שונה מלקנות מעמד לרכב בכמה שקלים ולחבר אותו כך שהסמארטפון יהיה קרוב יותר אלינו בעת נהיגה?	What's different about buying a car for a few cents and connecting it so that the smartphone is closer to you when you're driving?	no
השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.	This question is reinforced when you consider that iPhone and Android devices are much more powerful than Spotify, and will often buy the user much more functionality.	no
למרות כל זאת, ככל שהשתמשתי ב-Car Thing יותר ויותר, הבנתי כיצד ביכולתו לשפר את חוויית הנהיגה.	However, the more I used Car Thing, the more I realized how it could improve the driving experience.	no
היכולת לראות את ה-Waze על גבי מסך הסמארטפון שלי ולשלוט במוזיקה על גבי מסך אחר לחלוטין, זו אחת שלמדתי להעריך בשבועיים האחרונים.	The ability to see Waze on my smartphone screen and control music on a completely different screen is one I've learned to appreciate in the last couple of weeks.	no
שאלה אחת נותרה - האם ספוטיפיי בכלל תשיק את המכשיר לקהל הרחב?	One question remains - will Spotify even release the device to the general public?	no
ואם כן, האם הוא יושק גם כאן במדינתנו הקטנה?	And if so, will it be launched here in our little country?	no
החברה השבדית לא מספרת כרגע הרבה.	The Swedish company isn't saying much right now.	no
היא אפילו לא שיתפה כמה נסיינים למכשיר היא מפעילה כרגע ברחבי העולם, וכמה היא מתכננת להוסיף בהשקה המצומצמת בארצות הברית.	She didn't even share how many signals to the device she's currently running around the world, and how many she plans to add in the limited launch in the United States.	no
הדבר היחיד שאנו יודעים בוודאות זה המחיר שצפוי לעמוד על 79 דולרים (כ-255 שקלים).	The only thing we know for sure is the expected price of $79.	no
לבינתיים, ה-Car Thing מספק הצצה ראשונית לקונספט שספוטיפיי מנסים לפצח כבר שנים.	In the meantime, the Car Thing provides a first glimpse into a concept that Spotify has been trying to crack for years.	no
מספוטיפיי ישראל נמסר כי אין מידע כרגע על תכנית להשקת המכשיר בארץ	Israel's Spotify says there's no word yet on a plan to launch the device in the country.	no
.	I'm not going anywhere.	no
גייסתם טאלנט לחברה?	Have you recruited talent for the company?	yes
ככה תשמרו שהמתחרים לא "יחטפו" לכם אותו.	That way you don't let your competitors steal it.	yes
המשק עדיין נמצא בשוק עבודה שנשלט ברובו על ידי העובדים, והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר - הטאלנטים •	The economy is still a labor market dominated largely by workers, and the same is true of the most desirable workers -- talent.	yes
להלן כמה עצות שיעזרו לכם לשמור עליו במקום העבודה	Here are some suggestions to help you maintain it in the workplace	yes
.	I'm not going anywhere.	no
על אף העלייה שנרשמה בחודש האחרון, שיעור האבטלה בישראל ממשיך להיות מהנמוכים בעולם, ובעשירייה הראשונה מבין מדינות ה-OECD, עם שיעור של 3.5% (150.6 אלף מובטלים, על-פי הלמ"ס).	Despite the rise recorded last month, Israel's unemployment rate remains among the lowest in the world, and in the top ten among OECD countries, with a rate of 3.5% (150.6 thousand unemployed, according to the ILO).	yes
כלומר, המשק עדיין נמצא בשוק עבודה שנשלט ברובו על-ידי העובדים והדבר נכון שבעתיים בכל הנוגע לעובדים הנחשקים ביותר – הטאלנטים.	That is, the economy is still in a labor market dominated mostly by workers, and the same is true of the most sought-after workers -- talent.	yes
בכל הנוגע לאותם אנשי מקצוע ומנהלים המהווים מוקדי ידע, ניסיון ויכולת מוכחים – המגמות בשוק העבודה מלמדות כי התחרות עליהם, הטאלנטים כפי שהם מכונים על-ידי המעסיקים, עדיין קיימת במלוא הכוח.	As for those professionals and managers who are proven centers of knowledge, experience and ability, trends in the labor market teach that competition for talent, as it is defined by employers, is still at its peak.	yes
המשמעות של זה עבור מעסיקים היא שבמצב שוק העבודה הנוכחי אין להם את הלוקסוס של לנוח על זרי הדפנה אפילו דקה לאחר גיוסו של טאלנט נחשק, שכן ברגע שהוא יכנס בשערי החברה – חברה אחרת כבר תנסה לחטוף אותו אליה.	What this means for employers is that in the current job market situation, they don't have the luxury of resting on their laurels even a minute after recruiting a desired talent, because as soon as he enters the company, another company will already be trying to kidnap him.	yes
כלומר, התחרות על הטאלנטים כה עזה שרבים שגם לאחר גיוסם הם ימשיכו לקבל שלל הצעות עבודה מפתות, כאשר 30% מהעובדים אכן עוזבים כחודש בלבד מקבלת המשרה ותחילת העבודה.	That is, the competition for talent is so fierce that even after recruitment, many will continue to receive a plethora of tempting job offers, with 30 percent of employees actually leaving within a month of getting the job and starting work.	yes
זו הסיבה שמעסיקים נבונים יעברו באופן מידי משלב גיוס הטאלנט לשלב השימור שלו, כאשר הדרך מתחיל בראש ובראשונה בהיערכות מראש ונקיטת יצירתיות כבר בתהליך הקליטה שלו.	That's why smart employers will immediately move from the recruitment phase to the retention phase, where the path starts first and foremost with preparation and creativity right from the beginning of the recruitment process.	no
תהליך קליטה יעיל, מובנה ומתחשב יגרום לטאלנט להתלהב ממקום העבודה החדש שלו כבר מהיום הראשון ואף לצפות לבאות.	An efficient, structured, thoughtful hiring process will make the talent excited about their new workplace from day one and even look forward to the next.	no
להלן מספר עצות כיצד להיערך ולנהל תהליך קליטה נכון שיסייע בשימורו של הטאלנט החדש:	Here are some tips on how to prepare and manage a proper recruitment process that will help retain new talent:	no
זה לא סוד - שיתוף ומוכנות הארגון |	It's no secret -- organizational collaboration and readiness.	no
שתפו את הגורמים שיעבדו איתו על גיוסו, הסבירו להם מדוע הוא חיוני וחשוב לחברה ולתפקיד, וכיצד אתם רואים את תרומתו.	Share with the people who will be working with him about his recruitment, explain to them why he's vital and important to the company and the role, and how you see his contribution.	no
עובד חדש שמגיע למקום בו מצפים לו ומבינים את ערכו, ירגיש רצוי וישאף להוכיח את הציפיות שתולים בן.	A new employee who comes to a place where he is expected and appreciated will feel welcome and will strive to prove the expectations that hang over Ben.	no
ידע הוא כוח - תיאום ציפיות |	Knowledge is power -- alignment of expectations.	no
כבר ביום הראשון ערכו עם הטאלנט שיחת תיאום ציפיות.	On the first day, they had an expectations call with the talent.	no
הכירו את הרקע המקצועי שלו ובדקו איפה הוא רואה את עצמו בעתיד, כדי שתוכלו להציג לו את הכלים המגוונים והייחודיים שאתם ומקום העבודה יכולים לספק לו כדי להגיע לשם.	Get to know his professional background and see where he sees himself in the future, so you can introduce him to the diverse and unique tools that you and your workplace can provide him to get there.	no
כולנו אנשים – הכרות אישית |	We're all human beings.	no
במהלך ימי הקליטה נסו להכיר את הטאלנט מעבר לתכונותיו המקצועיות והתעניינו בתחביבים ובתחומי העניין שלו.	During the recruitment days, try to get to know the talent beyond his professional qualities and take an interest in his hobbies and interests.	no
עובד חדש שמגלים בו עניין ומאפשרים לו לממש ולבטא את עצמו מעבר לגבולות תפקידו יעריך זאת וירצה לשמור על כך.	A new employee who's shown interest and allowed to express himself beyond the confines of his job will appreciate it and want to keep it.	no
הסקרנות מקדמת |	Curiosity is driving.	no
כבר בשלב הקליטה אתם יכולים ליצור אטרקטיביות שתגרום לטאלנט לרצות להשתלב מהר.	Right at the recruitment stage, you can create attractiveness that makes talent want to fit in quickly.	no
עשו זאת לאו דווקא על-ידי שיח של בונוסים והטבות, אלא על-ידי חשיפתו לתחום מלהיב או לטכנולוגיה מעניינת, שכן גירויים מסוג זה ליצירתיות מובילים לסקרנות ולעניין גובר במקום העבודה.	Do it not by talking about bonuses and perks, but by exposing him to an exciting field or interesting technology, because these kinds of stimulations to creativity lead to increased curiosity and interest in the workplace.	no
כמו כן, עודדו את הטאלנט להשמיע את מחשבותיו ודעותיו לפרויקטים השונים בחברה והבהירו לו שהן חשובות לארגון.	Also, encourage the talent to voice their thoughts and opinions to the various projects in the company and make it clear to them that they are important to the organization.	no
הכותבת הינה מנכ"לית Manpower ישראל – חברת ההשמה וכוח האדם הגדולה בישראל	The writer is the CEO of Manpower Israel.	no
חשמול בכיס: עלות אי־סגירת התחנות הפחמיות ביוני - מיליארד שקלים	Pocket electricity: Cost of non-closure of coal plants in June - one billion dollars	yes
דו"ח של מרכז המחקר והמידע של הכנסת: אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד  שקלים	Knesset Research and Information Center report: Non-closure of coal plants by the June 2022 deadline estimated at one billion shekels	yes
• חברת החשמל: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה"	• Electricity company: "Fuel policy is primarily dictated by the Department of Energy"	yes
.	I'm not going anywhere.	no
העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו"ח של מרכז המחקר והמידע של הכנסת.	The economic cost of not closing coal plants by the June 2022 deadline is estimated at NIS 1 billion for 2022, according to a report by the Knesset Research and Information Center.	yes
לפי הדו"ח, עלות זו מגולמת בתעריף החשמל לצרכן, שכאמור צפוי לעלות בחודשים הקרובים בגלל התייקרות הפחם.	According to the report, this cost is reflected in the electricity price to the consumer, which is expected to rise in the coming months due to the rise in the price of coal.	yes
נוסף על כך, ב־2023 צפויה כמות עודפת נוספת של שימוש בפחם של כ־900 אלף טונות, כך שהדבר יתבטא בעלות נוספת למשק החשמל בגין אי־סגירת התחנות הפחמיות, בהנחה שמחיר הגז הטבעי יישאר נמוך משמעותית ביחס למחיר הפחם.	In addition, an additional excess of about 900,000 tons of coal is expected to be used in 2023, resulting in additional costs to the electricity industry from the non-closure of coal plants, assuming that the price of natural gas remains significantly lower than the price of coal.	yes
בדו"ח נכתב כי המשמעות של הפחתת כמיליארד שקלים בתעריף החשמל ב־2022 היתה הפחתה של כ־4% בתעריף צריכת החשמל לצרכן הביתי.	The report said that a cut of about a billion shekels in electricity tariffs by 2022 would mean a 4 percent reduction in the rate of electricity consumption for households.	yes
כלומר, העלות הכלכלית של אי־סגירת התחנות היא כמיליארד שקלים, וסך ההוזלה שהיתה יכולה להיות לצרכן הביתי היא כ־4%.	That is, the economic cost of not closing stations is about a billion shekels, and the amount that could have been cut for the domestic consumer is about 4 percent.	yes
יש לציין כי במסגרת הרפורמה במשק החשמל הוחלט בין היתר על הקמת חברה־בת של חברת החשמל, אשר תקים יחידות המופעלות בגז טבעי, שנועדו להחליף את היחידות הפחמיות 4-1 באתר אורות רבין.	It should be noted that as part of the reform of the electricity economy, it was decided to establish a subsidiary of the electricity company, which would set up natural gas-fired units, designed to replace the 4-1 carbon units at the Rabin Lighthouse.	yes
בהמשך להחלטה זו התקבלה החלטת ממשלה ביולי 2018, הקובעת כי יש להפסיק את פעילותן של יחידות הייצור הפחמיות 4-1 בתחנת הכוח אורות רבין.	Following this decision, a government decision was taken in July 2018, stating that the 4-1 coal-fired units at the Ohr Rabin power plant should cease operations.	no
בהחלטה נקבעו לוחות זמנים, כך שהקמת היחידה הראשונה בגז טבעי תחל בינואר 2020 והפעלתה תחל ביוני 2022, ובהתאם לכך גם יחידות הייצור הפחמיות 4-1 יפסיקו לפעול במועד זה.	The decision set timetables so that the construction of the first natural gas unit will begin in January 2020 and its operation will begin in June 2022, accordingly, the 4-1 carbon production units will also cease to operate at that time.	no
מחברת החשמל נמסר בתגובה: "מדיניות השימוש בדלקים מוכתבת בראש ובראשונה על ידי משרד האנרגיה.	In response, the electricity company said: "Fuel policy is written first and foremost by the Department of Energy.	no
בהתאם להחלטות המשרד, מיושמת בישראל זה כמה שנים מדיניות של צמצום השימוש בפחם למינימום האפשרי גם כאשר מחיר הפחם נמוך ממחיר הגז".	In accordance with the decisions of the ministry, a policy of reducing the use of coal to the minimum possible has been implemented in Israel for several years, even when the price of coal is lower than the price of gas".	no
משלמים את המחיר: כל מה שצריך לדעת לקראת עליית הריבית	Paying the Price: Everything You Need to Know About Interest Rising	yes
גזירות ללא הרף: בשבוע הבא הריבית על השקל צפויה לעלות בחצי אחוז •	Continuous Carrots: Interest rates on the shekel are expected to rise by half a percent next week	yes
בכמה יתייקר התשלום על המשכנתא?	How much will it cost to pay the mortgage?	yes
ומה מומלץ לעשות? •	And what is the best thing to do? • What are some of the benefits?	yes
כל התשובות	All the answers.	yes
האינפלציה המחריפה בישראל, שכבר הגיעה לקצב של יותר מ־4% בשנה האחרונה, תאלץ את בנק ישראל להעלות את הריבית על השקל כבר בשבוע הבא.	Severe inflation in Israel, which has already reached a rate of more than 4% in the past year, will force the Bank of Israel to raise interest rates on the shekel as early as next week.	yes
הערכות האנליסטים מדברות על שיעור העלאה שנע בין 0.25% ל־0.5%.	Analysts estimate the rate of increase to be between 0.25% and 0.5%.	yes
אם אכן תעלה הריבית בשיעור של חצי אחוז, היא תעמוד כבר על 1.25%, הרמה הגבוהה זה תשע שנים.	If you do raise the interest rate by half a percent, it'll be already at 1.25%, the highest level in nine years.	yes
זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.	That's after years of interest rates in the economy being near zero.	yes
העלייה החדה בשיעור הריבית מייקרת במאות שקלים את החזרי המשכנתאות ומכבידה בצורה דרסטית על משקי הבית.	The sharp rise in interest rates is costing hundreds of shillings in mortgage payments and is putting a drastic burden on households.	yes
בעזרת שי צרור, מומחה למשכנתאות, בדקנו כמה נשלם יותר ומה מומלץ לעשות כבר עכשיו.	With the help of a mortgage expert, we've been looking at how much more we can pay and what we should do now.	no
אם הריבית תעלה בחצי אחוז - בכמה יתייקר התשלום החודשי על המשכנתא?	If the interest goes up by half a percent, how much will the monthly mortgage payment cost?	no
במשכנתא בסכום של 1.2 מיליון שקל, שמורכבת מ־40% מסלול ריבית פריים, ההחזר החודשי יעלה ב־125 שקלים.	For a mortgage of NIS 1.2 million, with a 40% prime interest rate, the monthly repayment will be NIS 125.	no
