Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewalttätigem Protest vor britischem Flüchtlingshotel	yes
Kuch said police should have been called immediately because the students, who he said his daughter had been having problems with, smashed her face with a 20-ounce bottle. "If they called the police and did an investigation, those girls would not have posted videos from school," Kuch said. He also said his daughter, who had bruises on her body, should've been taken to the hospital. "We always address every issue of bullying and on the day of the incident four students were suspended," Dr. Triantafillos Parlapanides, superintendent of schools, told CBS New York.	Kuch sagte, die Polizei hätte sofort gerufen werden sollen, weil die Studenten, mit denen er sagte, seine Tochter habe Probleme gehabt, ihr Gesicht mit einer 20-Unzen-Flasche zertrümmert hätten. "Wenn sie die Polizei gerufen und eine Untersuchung durchgeführt hätten, hätten diese Mädchen keine Videos von der Schule gepostet", sagte Kuch. Er sagte auch, seine Tochter, die blaue Flecken am Körper hatte, hätte ins Krankenhaus gebracht werden sollen. "Wir sprechen immer jedes Thema von Mobbing an und am Tag des Vorfalls wurden vier Schüler suspendiert", sagte Dr. Triantafillos Parlapanides, Superintendent der Schulen, gegenüber CBS New York.	no
School officials told CBS New York that they notified the family and called Adriana's death horrible. Each teenager and their guardian was served with a copy of their complaint and were released pending future court appearances, the prosecutor told CBS News. Students at the school staged a walkout Wednesday in support of Adriana's family. If you or someone you know is in emotional distress or a suicidal crisis, you can reach the 988 Suicide & Crisis Lifeline by calling or texting 988. You can also chat with the 988 Suicide & Crisis Lifeline here. For more information about mental health care resources and support, The National Alliance on Mental Illness (NAMI) HelpLine can be reached Monday through Friday, 10 a.m.-10 p.m. ET, at 1-800-950-NAMI (6264) or email info@nami.org.	Schulbeamte teilten CBS New York mit, dass sie die Familie benachrichtigt und Adrianas Tod als schrecklich bezeichnet hätten. Jeder Teenager und sein Vormund erhielten eine Kopie ihrer Beschwerde und wurden bis zu zukünftigen Gerichtsauftritten freigelassen, Sagte der Staatsanwalt gegenüber CBS News. Schüler der Schule veranstalteten am Mittwoch einen Streik zur Unterstützung von Adrianas Familie. Wenn Sie oder jemand, den Sie kennen, in emotionaler Not oder in einer Selbstmordkrise sind, können Sie die 988 Suicide & Crisis Lifeline erreichen, indem Sie 988 anrufen oder eine SMS senden. Sie können hier auch mit der 988 Suicide & Crisis Lifeline chatten. Weitere Informationen zu Ressourcen und Unterstützung für die psychische Gesundheitsversorgung erhalten Sie bei der HelpLine der National Alliance on Mental Illness (NAMI) von Montag bis Freitag, 10 am-10 pm ET, unter 1-800-950-NAMI (6264) oder per E-Mail info@nami.org .	no
I talked to 30 health, wellness professionals about avoiding burnout	Ich habe mit 30 Gesundheits- und Wellnessfachleuten über die Vermeidung von Burnout gesprochen	yes
In our day-to-day lives, we're constantly looking for ways to increase our energy and avoid burnout, especially in our jobs. This can be extremely difficult for those in the healthcare industry, which is why I asked 30 health and wellness professionals the same question: "How do you manage your energy and not burn out in your profession?" Their careers range from infectious disease doctors to psychologists to mindfulness teachers - and they all had great advice to give on how to stay motivated and keep the ball rolling. Despite the large differences in their roles, there were several themes within their responses that stood out as ways to prevent burnout.	In unserem täglichen Leben suchen wir ständig nach Möglichkeiten, unsere Energie zu steigern und Burnout zu vermeiden, insbesondere in unseren Jobs. Dies kann für diejenigen in der Gesundheitsbranche äußerst schwierig sein, weshalb ich 30 Gesundheits- und Wellnessfachleuten dieselbe Frage gestellt habe: "Wie gehen Sie mit Ihrer Energie um und brennen in Ihrem Beruf nicht aus?" Ihre Karrieren reichen von Ärzten für Infektionskrankheiten über Psychologen bis hin zu Achtsamkeitslehrern - und sie alle hatten großartige Ratschläge zu geben, wie man motiviert bleibt und den Ball am Laufen hält. Trotz der großen Unterschiede in ihren Rollen gab es in ihren Antworten mehrere Themen, die sich als Möglichkeiten zur Verhinderung von Burnout herauskristallisierten.	yes
Here are the top four approaches that they use.	Hier sind die vier wichtigsten Ansätze, die sie verwenden.	yes
1.Build a strong community: As someone who works with patients who have terminal illnesses, Eufrosina Young thanks her strong support system for her ability to maintain her energy. Young is a board-certified neurologist and ALS specialist at the Upstate University Hospital's department of neurology, and says they "mobilize like an army of people" there. There isn't a cure for amyotrophic lateral sclerosis (ALS), but knowing that she isn't the only one putting in the hard work to develop treatments and provide better options for her patients, keeps Young going even on her hardest days. "We're not carrying the weight of the world, but being part of a world of people that are advocating for this work," she says.	1.Bauen Sie eine starke Gemeinschaft auf: Als jemand, der mit Patienten mit unheilbaren Krankheiten arbeitet, dankt Eufrosina Young ihrem starken Unterstützungssystem für ihre Fähigkeit, ihre Energie zu erhalten. Young ist staatlich geprüfter Neurologe und ALS-Spezialist an der neurologischen Abteilung des Upstate University Hospital und sagt, dass sie dort "wie eine Armee von Menschen mobilisieren". Es gibt keine Heilung für Amyotrophe Lateralsklerose (ALS), aber zu wissen, dass sie nicht die einzige ist, die hart daran arbeitet, Behandlungen zu entwickeln und ihren Patienten bessere Optionen zu bieten, hält Young auch an ihren härtesten Tagen am Laufen. "Wir tragen nicht das Gewicht der Welt, sondern sind Teil einer Welt von Menschen, die sich für diese Arbeit einsetzen", sagt sie.	yes
2.Rest when you need to: Working two jobs as a sleep researcher and an algorithm engineer, all while taking care of a new baby, would have definitely led Raphael Vallat to burnout if he didn't rest, he says. "I feel like when I'm about to burn out, basically every task feels like a mountain that you need to climb, and feels super urgent and important," says Vallat. In those moments, "you really need to take some time off and realize that these tasks can wait." Typically, Vallat finds moments in his day where he can pause and spend time in nature to ground himself before returning to work.	2.Ruhe dich aus, wenn du musst: Zwei Jobs als Schlafforscher und Algorithmeningenieur zu haben, während er sich um ein neues Baby kümmerte, hätte Raphael Vallat definitiv zum Burnout geführt, wenn er sich nicht ausgeruht hätte, sagt er. "Ich habe das Gefühl, wenn ich kurz vor dem Ausbrennen stehe, fühlt sich im Grunde jede Aufgabe wie ein Berg an, den man besteigen muss, und fühlt sich super dringend und wichtig an", sagt Vallat. In diesen Momenten "müssen Sie sich wirklich eine Auszeit nehmen und erkennen, dass diese Aufgaben warten können." Normalerweise findet Vallat Momente in seinem Tag, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.	no
3.Be passionate about what you're doing and remember your purpose: Up until spring of 2022, infectious disease specialist Céline Gounder worked 100 hours a week for seven days a week. Being on the frontlines during the pandemic ate up almost all of her time, but she avoided burnout by reminding herself about why her work is important. "I don't think work feels like work when you feel like you're having an impact," says Gounder. "If you're working crazy hours doing something that has no meaning to you, I think you really do need to step back and question what you're doing."	3.Be leidenschaft für das, was Sie tun, und erinnern Sie sich an Ihren Zweck: Bis zum Frühjahr 2022 arbeitete die Spezialistin für Infektionskrankheiten, Céline Gounder, sieben Tage die Woche 100 Stunden pro Woche. Während der Pandemie an vorderster Front zu stehen, hat fast ihre ganze Zeit in Anspruch genommen, aber sie vermied Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. "Ich glaube nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man das Gefühl hat, etwas zu bewirken", sagt Gounder. "Wenn du verrückte Stunden arbeitest und etwas tust, das für dich keine Bedeutung hat, denke ich, dass du wirklich einen Schritt zurücktreten und hinterfragen musst, was du tust."	no
4.Have other joys: Across the board, each of the experts said they engage in some hobby like exercise, dancing and even playing the guitar. It's extremely important to have a life you enjoy that exceeds what you accomplish in your job, says Christina Maslach, social psychologist, retired professor of psychology at U.C. Berkeley and author of "The Burnout Challenge: Managing People's Relationships with Their Jobs." "Look at your life as a whole, and make sure there's good things about it, and make sure you have time for them."	4.Habe andere Freuden: Auf der ganzen Linie sagte jeder der Experten, dass er sich mit Hobbys wie Sport, Tanzen und sogar Gitarrespielen beschäftigt. Es ist äußerst wichtig, ein Leben zu haben, das Ihnen Spaß macht und das über das hinausgeht, was Sie in Ihrem Job leisten, sagt Christina Maslach, Sozialpsychologin, pensionierte Professorin für Psychologie an der UC Berkeley und Autorin von "Die Burnout-Herausforderung: Umgang mit den Beziehungen der Menschen zu ihren Jobs."Schau dir dein Leben als Ganzes an und stelle sicher, dass es gute Dinge daran gibt und dass du Zeit für sie hast."	no
Juvenile charged with murder in December Chicago school shooting that left 2 dead	Jugendlicher im Dezember wegen Mordes angeklagt Schießerei in der Chicagoer Schule, die übrig blieb 2 tot	yes
A 16-year-old boy has been charged with murder in the fatal shooting of two students at a Chicago high school in December, police announced Friday. The suspect is charged with two counts of felony first-degree murder and two counts of felony attempted murder, Chicago Police superintendent David Brown announced. "We currently don't have a clear motive for why a 16 year old would want to shoot and kill other kids," Brown said. The suspect's name was not released Friday due to his age, although Brown said he would face the murder and attempted murder charges as an adult.	Ein 16-jähriger Junge wurde wegen Mordes an der tödlichen Erschießung von zwei Schülern an einer Chicagoer High School im Dezember angeklagt, teilte die Polizei am Freitag mit. Dem Verdächtigen werden zwei Fälle von Mord ersten Grades und zwei Fälle von versuchtem Mord vorgeworfen, Kündigte der Superintendent der Chicagoer Polizei, David Brown, an. "Wir haben derzeit kein klares Motiv dafür, warum ein 16-Jähriger andere Kinder erschießen und töten möchte", sagte Brown. Der Name des Verdächtigen wurde am Freitag aufgrund seines Alters nicht veröffentlicht, obwohl Brown sagte, er würde sich als Erwachsener der Anklage wegen Mordes und versuchten Mordes stellen.	yes
Four teenagers were shot December 16 at Benito Juarez High School. The victims who died were both boys, aged 14 and 15, police announced at the time. Investigators say tips from the public helped lead them to the suspect, who was arrested Thursday. "We are grateful for those who have been brave enough to come forward to ensure that the offender is caught and will now be held accountable," said Cook County State's Attorney Kim Foxx. The suspect is expected to appear in Bond Court Saturday, Brown said, where more details about the evidence they have collected will be presented.	Vier Teenager wurden am 16. Dezember an der Benito Juarez High School erschossen. Die Opfer, die starben, waren beide Jungen im Alter von 14 und 15 Jahren, teilte die Polizei damals mit. Die Ermittler sagen, dass Tipps aus der Öffentlichkeit dazu beigetragen haben, sie zu dem Verdächtigen zu führen, der am Donnerstag festgenommen wurde. "Wir sind dankbar für diejenigen, die mutig genug waren, sich zu melden, um sicherzustellen, dass der Täter gefasst wird und nun zur Rechenschaft gezogen wird", sagte Kim Foxx, Staatsanwalt von Cook County. Der Verdächtige wird voraussichtlich am Samstag vor dem Bond Court erscheinen, sagte Brown, wo weitere Einzelheiten zu den gesammelten Beweisen vorgelegt werden.	yes
Minnesota biologists rescue trapped black bear	Biologen aus Minnesota retten gefangenen Schwarzbären	yes
The Minnesota Department of Natural Resources came to the rescue of a bear-y unlucky bear after it became trapped in a ditch. The bear had hunkered down in a culvert alongside the road near Wannaska, Minnesota, according to a Facebook post from the department. But when the snow began to melt, the culvert started to flood, trapping the bear in deep snow and ice, according to the department. Staff from the department quickly responded to the scene and helped remove the bear. The department's bear biologist, Andrew Tri, "examined the bear and pronounced him healthy but groggy - obviously, because he'd been woken up from his winter sleep," according to the Facebook post. The department then relocated the bear to a state sanctuary to resume his hibernation. The sleepy carnivore was estimated to be 6 years old and between 375 and 400 pounds.	Das Minnesota Department of Natural Resources rettete einen bärenartigen Unglücksbären, nachdem er in einem Graben gefangen war. Der Bär hatte sich in einem Durchlass neben der Straße in der Nähe von Wannaska, Minnesota, niedergelassen, so ein Facebook-Beitrag der Abteilung. Aber als der Schnee zu schmelzen begann, begann der Durchlass zu überfluten und den Bären in tiefem Schnee und Eis einzufangen, so die Abteilung. Mitarbeiter der Abteilung reagierten schnell auf die Szene und halfen, den Bären zu entfernen. Der Bärenbiologe der Abteilung, Andrew Tri, "untersuchte den Bären und erklärte ihn für gesund, aber benommen - offensichtlich, weil er aus seinem Winterschlaf geweckt worden war", heißt es in dem Facebook-Post. Die Abteilung verlegte den Bären dann in ein staatliches Heiligtum, um seinen Winterschlaf wieder aufzunehmen. Der schläfrige Fleischfresser wurde auf 6 Jahre alt und zwischen 375 und 400 Pfund geschätzt.	yes
The department reminded residents that moving bears is a job best left to the professionals. If you're worried about a bear in your neighborhood, you should contact local authorities - not try to move or feed the sleeping giant. In this case, bystanders first tried to dig out the bear by themselves and offered him food, including Pop-Tarts, lettuce and Fancy Feast cat food. But, luckily for the well-intentioned diggers, "because bears don't have the desire to eat in the winter, the bear didn't bite." Minnesota is home to between 12,000 and 15,000 black bears, found mainly in the northern third of the state, according to the Department of Natural Resources. The predators hibernate for as long as six or seven months in the winter, during which time they do not eat and live off of their stored body fat.	Die Abteilung erinnerte die Bewohner daran, dass das Bewegen von Bären eine Aufgabe ist, die am besten den Profis überlassen wird. Wenn Sie sich Sorgen um einen Bären in Ihrer Nachbarschaft machen, sollten Sie sich an die örtlichen Behörden wenden - nicht versuchen, den schlafenden Riesen zu bewegen oder zu füttern. In diesem Fall versuchten Umstehende zunächst, den Bären selbst auszugraben und boten ihm Futter an, darunter Pop-Tarts, Salat und ausgefallenes Katzenfutter. Aber zum Glück für die gut gemeinten Bagger: "Weil Bären im Winter keine Lust haben zu fressen, hat der Bär nicht gebissen." In Minnesota leben nach Angaben des Ministeriums für natürliche Ressourcen zwischen 12.000 und 15.000 Schwarzbären, die hauptsächlich im nördlichen Drittel des Bundesstaates vorkommen. Die Raubtiere überwintern im Winter bis zu sechs oder sieben Monate lang, während dieser Zeit fressen und leben sie nicht von ihrem gespeicherten Körperfett.	yes
Photos: Following restorations, Egypt inaugurates the Djehuty and Hery tombs	Fotos: Nach Restaurierungen weiht Ägypten die Gräber Djehuty und Hery ein	yes
The tombs of Djehuty and Hery have been inaugurated on Thursday following the completion of restoration work. The inauguration was conducted by the Secretary General of the Supreme Council of Antiquities in Egypt Mostafa Waziri, Ambassador of Span to Egypt Alvaro Iranzo, and the President of the Spanish National Research Council (CSIC), Eloísa del Pino. Waziri explained that the two tombs were discovered through the joint Egyptian-Spanish archaeological mission from the Supreme Council of Antiquities and CSIC, working since 2002. He said that the mission carried out excavation and restoration work and published research related to the tombs, which are located in the Dra Abu al-Naga area on the west bank of Luxor. They succeeded in uncovering many tombs, coffins, mummies and a funerary garden.	Die Gräber von Djehuty und Hery wurden am Donnerstag nach Abschluss der Restaurierungsarbeiten eingeweiht. Die Einweihung wurde vom Generalsekretär des Obersten Rates für Altertümer in Ägypten, Mostafa Waziri, dem Botschafter von Span in Ägypten, Alvaro Iranzo, und der Präsidentin des spanischen Nationalen Forschungsrates (CSIC), Eloísa del Pino, durchgeführt. Waziri erklärte, dass die beiden Gräber durch die gemeinsame ägyptisch-spanische archäologische Mission des Obersten Rates für Altertümer und des CSIC entdeckt wurden, die seit 2002 tätig ist. Er sagte, dass die Mission Ausgrabungs- und Restaurierungsarbeiten durchgeführt und Forschungsergebnisse zu den Gräbern veröffentlicht habe, die sich im Gebiet Dra Abu al-Naga am Westufer von Luxor befinden. Es gelang ihnen, viele Gräber, Särge, Mumien und einen Grabgarten freizulegen.	yes
Important tombs from an important era	Bedeutende Gräber aus einer bedeutenden Epoche	yes
