Police arrest 15 after violent protest outside UK refugee hotel	Polizei nimmt 15 nach gewalttätigen Protesten vor britischem Flüchtlingshotel fest	yes
Kuch said police should have been called immediately because the students, who he said his daughter had been having problems with, smashed her face with a 20-ounce bottle. "If they called the police and did an investigation, those girls would not have posted videos from school," Kuch said. He also said his daughter, who had bruises on her body, should've been taken to the hospital. "We always address every issue of bullying and on the day of the incident four students were suspended," Dr. Triantafillos Parlapanides, superintendent of schools, told CBS New York.	Kuch sagte, die Polizei hätte sofort gerufen werden müssen, weil die Studenten, mit denen seine Tochter Probleme gehabt habe, ihr Gesicht mit einer 20-Unzen-Flasche zertrümmert hätten. "Wenn sie die Polizei gerufen und Nachforschungen angestellt hätten, hätten diese Mädchen keine Videos aus der Schule gepostet", sagte Kuch. Er sagte auch, dass seine Tochter, die Blutergüsse am Körper hatte, ins Krankenhaus hätte gebracht werden sollen. "Wir sprechen immer jedes Problem mit Mobbing an, und am Tag des Vorfalls wurden vier Schüler suspendiert", sagte Dr. Triantafillos Parlapanides, Superintendent of Schools, gegenüber CBS New York.	no
School officials told CBS New York that they notified the family and called Adriana's death horrible. Each teenager and their guardian was served with a copy of their complaint and were released pending future court appearances, the prosecutor told CBS News. Students at the school staged a walkout Wednesday in support of Adriana's family. If you or someone you know is in emotional distress or a suicidal crisis, you can reach the 988 Suicide & Crisis Lifeline by calling or texting 988. You can also chat with the 988 Suicide & Crisis Lifeline here. For more information about mental health care resources and support, The National Alliance on Mental Illness (NAMI) HelpLine can be reached Monday through Friday, 10 a.m.-10 p.m. ET, at 1-800-950-NAMI (6264) or email info@nami.org.	Schulbeamte sagten CBS New York, dass sie die Familie benachrichtigten und Adrianas Tod als schrecklich bezeichneten. Jedem Teenager und seinem Vormund wurde eine Kopie ihrer Klage zugestellt und sie wurden bis zu zukünftigen Gerichtsterminen freigelassen, sagte der Staatsanwalt gegenüber CBS News. Die Schüler der Schule legten am Mittwoch einen Streik ab, um Adrianas Familie zu unterstützen. Wenn Sie oder jemand, den Sie kennen, in emotionaler Not oder einer suizidalen Krise ist, können Sie die 988 Suicide &; Crisis Lifeline erreichen, indem Sie 988 anrufen oder eine SMS senden. Sie können hier auch mit der 988 Suicide &; Crisis Lifeline chatten. Weitere Informationen zu Ressourcen und Unterstützung für die psychische Gesundheit erhalten Sie von Montag bis Freitag von 10 bis 22 Uhr ET unter 1-800-950-NAMI (6264) oder per E-Mail info@nami.org.	no
I talked to 30 health, wellness professionals about avoiding burnout	Ich habe mit 30 Gesundheits- und Wellnessexperten über die Vermeidung von Burnout gesprochen	yes
In our day-to-day lives, we're constantly looking for ways to increase our energy and avoid burnout, especially in our jobs. This can be extremely difficult for those in the healthcare industry, which is why I asked 30 health and wellness professionals the same question: "How do you manage your energy and not burn out in your profession?" Their careers range from infectious disease doctors to psychologists to mindfulness teachers - and they all had great advice to give on how to stay motivated and keep the ball rolling. Despite the large differences in their roles, there were several themes within their responses that stood out as ways to prevent burnout.	In unserem täglichen Leben suchen wir ständig nach Möglichkeiten, unsere Energie zu steigern und Burnout zu vermeiden, insbesondere in unseren Jobs. Dies kann für diejenigen in der Gesundheitsbranche äußerst schwierig sein, weshalb ich 30 Gesundheits- und Wellnessfachleuten die gleiche Frage gestellt habe: "Wie managen Sie Ihre Energie und brennen in Ihrem Beruf nicht aus?" Ihre Karrieren reichen von Ärzten für Infektionskrankheiten über Psychologen bis hin zu Achtsamkeitslehrern - und sie alle hatten großartige Ratschläge zu geben, wie sie motiviert bleiben und den Ball am Laufen halten können. Trotz der großen Unterschiede in ihren Rollen gab es mehrere Themen in ihren Antworten, die als Möglichkeiten zur Vorbeugung von Burnout hervorstachen.	yes
Here are the top four approaches that they use.	Hier sind die vier wichtigsten Ansätze, die sie verwenden.	yes
1.Build a strong community: As someone who works with patients who have terminal illnesses, Eufrosina Young thanks her strong support system for her ability to maintain her energy. Young is a board-certified neurologist and ALS specialist at the Upstate University Hospital's department of neurology, and says they "mobilize like an army of people" there. There isn't a cure for amyotrophic lateral sclerosis (ALS), but knowing that she isn't the only one putting in the hard work to develop treatments and provide better options for her patients, keeps Young going even on her hardest days. "We're not carrying the weight of the world, but being part of a world of people that are advocating for this work," she says.	1. Bauen Sie eine starke Gemeinschaft auf: Als jemand, der mit Patienten arbeitet, die unheilbar krank sind, dankt Eufrosina Young ihrem starken Unterstützungssystem für ihre Fähigkeit, ihre Energie aufrechtzuerhalten. Young ist Facharzt für Neurologie und ALS-Spezialist an der Abteilung für Neurologie des Upstate University Hospital und sagt, dass sie dort "wie eine Armee von Menschen mobilisieren". Es gibt keine Heilung für Amyotrophe Lateralsklerose (ALS), aber das Wissen, dass sie nicht die Einzige ist, die harte Arbeit leistet, um Behandlungen zu entwickeln und ihren Patienten bessere Optionen zu bieten, hält Young selbst an ihren schwierigsten Tagen am Laufen. "Wir tragen nicht die Last der Welt, sondern sind Teil einer Welt von Menschen, die sich für diese Arbeit einsetzen", sagt sie.	yes
2.Rest when you need to: Working two jobs as a sleep researcher and an algorithm engineer, all while taking care of a new baby, would have definitely led Raphael Vallat to burnout if he didn't rest, he says. "I feel like when I'm about to burn out, basically every task feels like a mountain that you need to climb, and feels super urgent and important," says Vallat. In those moments, "you really need to take some time off and realize that these tasks can wait." Typically, Vallat finds moments in his day where he can pause and spend time in nature to ground himself before returning to work.	2. Ruhen Sie sich aus, wenn Sie es brauchen: Zwei Jobs als Schlafforscher und Algorithmus-Ingenieur zu haben, während er sich gleichzeitig um ein neues Baby kümmert, hätte Raphael Vallat definitiv zum Burnout geführt, wenn er sich nicht ausgeruht hätte, sagt er. "Ich habe das Gefühl, wenn ich kurz vor dem Burnout stehe, fühlt sich im Grunde jede Aufgabe wie ein Berg an, den man erklimmen muss, und fühlt sich super dringend und wichtig an", sagt Vallat. In diesen Momenten "muss man sich wirklich eine Auszeit nehmen und erkennen, dass diese Aufgaben warten können". Normalerweise findet Vallat Momente in seinem Tag, in denen er innehalten und Zeit in der Natur verbringen kann, um sich zu erden, bevor er zur Arbeit zurückkehrt.	no
3.Be passionate about what you're doing and remember your purpose: Up until spring of 2022, infectious disease specialist Céline Gounder worked 100 hours a week for seven days a week. Being on the frontlines during the pandemic ate up almost all of her time, but she avoided burnout by reminding herself about why her work is important. "I don't think work feels like work when you feel like you're having an impact," says Gounder. "If you're working crazy hours doing something that has no meaning to you, I think you really do need to step back and question what you're doing."	3.Be leidenschaftlich bei der Sache und erinnere dich an deine Bestimmung: Bis zum Frühjahr 2022 arbeitete die Spezialistin für Infektionskrankheiten Céline Gounder 100 Stunden pro Woche an sieben Tagen in der Woche. Während der Pandemie an vorderster Front zu stehen, nahm fast ihre gesamte Zeit in Anspruch, aber sie vermied ein Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist. "Ich glaube nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man das Gefühl hat, etwas zu bewirken", sagt Gounder. "Wenn du verrückte Stunden verbringst und etwas tust, das für dich keine Bedeutung hat, denke ich, dass du wirklich einen Schritt zurücktreten und hinterfragen musst, was du tust."	no
4.Have other joys: Across the board, each of the experts said they engage in some hobby like exercise, dancing and even playing the guitar. It's extremely important to have a life you enjoy that exceeds what you accomplish in your job, says Christina Maslach, social psychologist, retired professor of psychology at U.C. Berkeley and author of "The Burnout Challenge: Managing People's Relationships with Their Jobs." "Look at your life as a whole, and make sure there's good things about it, and make sure you have time for them."	4. Haben Sie andere Freuden: Auf der ganzen Linie gab jeder der Experten an, dass er sich mit einem Hobby wie Sport, Tanzen und sogar Gitarrespielen beschäftigt. Es ist extrem wichtig, ein Leben zu haben, das man genießt und das über das hinausgeht, was man in seinem Job erreicht, sagt Christina Maslach, Sozialpsychologin, pensionierte Professorin für Psychologie an der UC Berkeley und Autorin von "The Burnout Challenge: Managing People's Relationships with Their Jobs". "Betrachten Sie Ihr Leben als Ganzes und stellen Sie sicher, dass es gute Dinge gibt, und stellen Sie sicher, dass Sie Zeit dafür haben."	no
Juvenile charged with murder in December Chicago school shooting that left 2 dead	Jugendlicher, der wegen Mordes an einer Schule im Dezember in Chicago angeklagt wurde, bei der 2 Menschen starben	yes
A 16-year-old boy has been charged with murder in the fatal shooting of two students at a Chicago high school in December, police announced Friday. The suspect is charged with two counts of felony first-degree murder and two counts of felony attempted murder, Chicago Police superintendent David Brown announced. "We currently don't have a clear motive for why a 16 year old would want to shoot and kill other kids," Brown said. The suspect's name was not released Friday due to his age, although Brown said he would face the murder and attempted murder charges as an adult.	Ein 16-jähriger Junge ist wegen Mordes angeklagt worden, nachdem er im Dezember zwei Schüler an einer High School in Chicago erschossen hatte, wie die Polizei am Freitag mitteilte. Der Verdächtige wird wegen zweifachen Mordes ersten Grades und zweifachen versuchten Mordes angeklagt, teilte der Polizeichef von Chicago, David Brown, mit. "Wir haben derzeit kein klares Motiv dafür, warum ein 16-Jähriger andere Kinder erschießen und töten möchte", sagte Brown. Der Name des Verdächtigen wurde am Freitag aufgrund seines Alters nicht veröffentlicht, obwohl Brown sagte, dass er als Erwachsener wegen Mordes und versuchten Mordes angeklagt werden würde.	yes
Four teenagers were shot December 16 at Benito Juarez High School. The victims who died were both boys, aged 14 and 15, police announced at the time. Investigators say tips from the public helped lead them to the suspect, who was arrested Thursday. "We are grateful for those who have been brave enough to come forward to ensure that the offender is caught and will now be held accountable," said Cook County State's Attorney Kim Foxx. The suspect is expected to appear in Bond Court Saturday, Brown said, where more details about the evidence they have collected will be presented.	Vier Jugendliche wurden am 16. Dezember an der Benito Juarez High School erschossen. Bei den Opfern handelte es sich um Jungen im Alter von 14 und 15 Jahren, wie die Polizei damals mitteilte. Die Ermittler sagen, dass Hinweise aus der Öffentlichkeit dazu beigetragen haben, sie zu dem Verdächtigen zu führen, der am Donnerstag festgenommen wurde. "Wir sind dankbar für diejenigen, die mutig genug waren, sich zu melden, um sicherzustellen, dass der Täter gefasst wird und nun zur Rechenschaft gezogen wird", sagte die Staatsanwältin von Cook County, Kim Foxx. Der Verdächtige wird voraussichtlich am Samstag vor dem Bond Court erscheinen, sagte Brown, wo weitere Details zu den gesammelten Beweisen vorgelegt werden.	yes
Minnesota biologists rescue trapped black bear	Biologen aus Minnesota retten gefangenen Schwarzbären	yes
The Minnesota Department of Natural Resources came to the rescue of a bear-y unlucky bear after it became trapped in a ditch. The bear had hunkered down in a culvert alongside the road near Wannaska, Minnesota, according to a Facebook post from the department. But when the snow began to melt, the culvert started to flood, trapping the bear in deep snow and ice, according to the department. Staff from the department quickly responded to the scene and helped remove the bear. The department's bear biologist, Andrew Tri, "examined the bear and pronounced him healthy but groggy - obviously, because he'd been woken up from his winter sleep," according to the Facebook post. The department then relocated the bear to a state sanctuary to resume his hibernation. The sleepy carnivore was estimated to be 6 years old and between 375 and 400 pounds.	Das Minnesota Department of Natural Resources kam einem bärenartigen Pechbären zu Hilfe, nachdem er in einem Graben gefangen war. Der Bär hatte sich in einem Durchlass neben der Straße in der Nähe von Wannaska, Minnesota, niedergelassen, wie aus einem Facebook-Post des Ministeriums hervorgeht. Doch als der Schnee zu schmelzen begann, begann der Düker zu fluten und den Bären in tiefem Schnee und Eis gefangen zu halten, so die Behörde. Mitarbeiter der Abteilung reagierten schnell auf die Szene und halfen, den Bären zu entfernen. Der Bärenbiologe der Abteilung, Andrew Tri, "untersuchte den Bären und erklärte ihn für gesund, aber benommen - offensichtlich, weil er aus seinem Winterschlaf geweckt worden war", heißt es in dem Facebook-Post. Die Abteilung brachte den Bären dann in ein staatliches Schutzgebiet, um seinen Winterschlaf wieder aufzunehmen. Der schläfrige Fleischfresser wurde auf ein Alter von 6 Jahren und ein Gewicht zwischen 375 und 400 Pfund geschätzt.	yes
The department reminded residents that moving bears is a job best left to the professionals. If you're worried about a bear in your neighborhood, you should contact local authorities - not try to move or feed the sleeping giant. In this case, bystanders first tried to dig out the bear by themselves and offered him food, including Pop-Tarts, lettuce and Fancy Feast cat food. But, luckily for the well-intentioned diggers, "because bears don't have the desire to eat in the winter, the bear didn't bite." Minnesota is home to between 12,000 and 15,000 black bears, found mainly in the northern third of the state, according to the Department of Natural Resources. The predators hibernate for as long as six or seven months in the winter, during which time they do not eat and live off of their stored body fat.	Die Abteilung erinnerte die Anwohner daran, dass das Bewegen von Bären eine Aufgabe ist, die am besten den Profis überlassen wird. Wenn Sie sich Sorgen um einen Bären in Ihrer Nachbarschaft machen, sollten Sie sich an die örtlichen Behörden wenden - und nicht versuchen, den schlafenden Riesen zu bewegen oder zu füttern. In diesem Fall versuchten Umstehende zunächst, den Bären selbst auszugraben und boten ihm Futter an, darunter Pop-Tarts, Salat und Fancy Feast Katzenfutter. Aber, zum Glück für die wohlmeinenden Bagger, "weil Bären im Winter keine Lust zum Fressen haben, hat der Bär nicht gebissen." In Minnesota leben zwischen 12.000 und 15.000 Schwarzbären, die nach Angaben des Department of Natural Resources hauptsächlich im nördlichen Drittel des Bundesstaates zu finden sind. Die Raubtiere halten im Winter bis zu sechs oder sieben Monate Winterschlaf, in dieser Zeit fressen sie nicht und ernähren sich von ihrem gespeicherten Körperfett.	yes
Photos: Following restorations, Egypt inaugurates the Djehuty and Hery tombs	Fotos: Nach der Restaurierung weiht Ägypten die Gräber Djehuty und Hery ein	yes
The tombs of Djehuty and Hery have been inaugurated on Thursday following the completion of restoration work. The inauguration was conducted by the Secretary General of the Supreme Council of Antiquities in Egypt Mostafa Waziri, Ambassador of Span to Egypt Alvaro Iranzo, and the President of the Spanish National Research Council (CSIC), Eloísa del Pino. Waziri explained that the two tombs were discovered through the joint Egyptian-Spanish archaeological mission from the Supreme Council of Antiquities and CSIC, working since 2002. He said that the mission carried out excavation and restoration work and published research related to the tombs, which are located in the Dra Abu al-Naga area on the west bank of Luxor. They succeeded in uncovering many tombs, coffins, mummies and a funerary garden.	Die Gräber von Djehuty und Hery wurden am Donnerstag nach Abschluss der Restaurierungsarbeiten eingeweiht. Die Einweihung wurde vom Generalsekretär des Obersten Rates für Altertümer in Ägypten, Mostafa Waziri, dem Botschafter von Span in Ägypten, Alvaro Iranzo, und der Präsidentin des spanischen Nationalen Forschungsrats (CSIC), Eloísa del Pino, durchgeführt. Waziri erklärte, dass die beiden Gräber durch die gemeinsame ägyptisch-spanische archäologische Mission des Obersten Rates für Altertümer und des CSIC entdeckt wurden, die seit 2002 arbeitet. Er sagte, dass die Mission Ausgrabungs- und Restaurierungsarbeiten durchführte und Forschungsergebnisse im Zusammenhang mit den Gräbern veröffentlichte, die sich in der Gegend von Dra Abu al-Naga am Westufer von Luxor befinden. Es gelang ihnen, viele Gräber, Särge, Mumien und einen Grabgarten freizulegen.	yes
Important tombs from an important era	Bedeutende Gräber aus einer wichtigen Epoche	yes
